Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,decimal_scaling,Resample_0,0.25,0.2619047619047619,0.5182990157451689,1.8652002912990244
DodgerLoopDay,decimal_scaling,Resample_1,0.375,0.358843537414966,0.7789626561476373,1.5403609285897992
DodgerLoopDay,decimal_scaling,Resample_2,0.45,0.42230983302411873,0.8144309947299078,1.456643562947707
DodgerLoopDay,decimal_scaling,Resample_3,0.2375,0.2619047619047619,0.621475363740847,1.7258958937656423
DodgerLoopDay,decimal_scaling,Resample_4,0.3125,0.33106060606060606,0.7203231825372122,1.5947032104272874
DodgerLoopDay,decimal_scaling,Resample_5,0.325,0.3345543345543346,0.8275526998300673,1.5241007298681613
DodgerLoopDay,decimal_scaling,Resample_6,0.5,0.4995151906916613,0.833445164528236,1.398687489918497
DodgerLoopDay,decimal_scaling,Resample_7,0.3125,0.3168934240362812,0.7910444224128391,1.5518098220231882
DodgerLoopDay,decimal_scaling,Resample_8,0.4,0.40476190476190477,0.6764212360431331,1.5656783106532313
DodgerLoopDay,decimal_scaling,Resample_9,0.375,0.42653061224489797,0.7752342185178007,1.586085944672559
DodgerLoopDay,decimal_scaling,Resample_10,0.3,0.3372627372627373,0.7145450542319457,1.5661070135097916
DodgerLoopDay,decimal_scaling,Resample_11,0.4625,0.4723443223443224,0.8055458698139158,1.5487897926701844
DodgerLoopDay,decimal_scaling,Resample_12,0.2375,0.2857142857142857,0.4460533860916402,1.8566569486591356
DodgerLoopDay,decimal_scaling,Resample_13,0.4,0.46190476190476193,0.8267701272764816,1.5193776510458636
DodgerLoopDay,decimal_scaling,Resample_14,0.3875,0.3592185592185592,0.8529404946236205,1.4344103222066393
DodgerLoopDay,decimal_scaling,Resample_15,0.3,0.30476190476190473,0.5595916403550387,1.7340396195853554
DodgerLoopDay,decimal_scaling,Resample_16,0.35,0.39960039960039967,0.7774760816152934,1.5724616388081178
DodgerLoopDay,decimal_scaling,Resample_17,0.1625,0.16547103689960832,0.610794946021523,1.7449019176669762
DodgerLoopDay,decimal_scaling,Resample_18,0.35,0.3474358974358975,0.6886993625493081,1.6065661594058305
DodgerLoopDay,decimal_scaling,Resample_19,0.3,0.3562152133580705,0.78122296219598,1.5693665084323771
DodgerLoopDay,decimal_scaling,Resample_20,0.4,0.3948051948051948,0.7996958871153913,1.6150414742120844
DodgerLoopDay,decimal_scaling,Resample_21,0.2625,0.2857142857142857,0.4791337566824264,1.8144206911297478
DodgerLoopDay,decimal_scaling,Resample_22,0.3875,0.3529277739804056,0.774446539987987,1.4389801824953925
DodgerLoopDay,decimal_scaling,Resample_23,0.4125,0.40238095238095234,0.6776421483791852,1.6251266771957138
DodgerLoopDay,decimal_scaling,Resample_24,0.275,0.25510204081632654,0.622034037173502,1.873835891193472
DodgerLoopDay,decimal_scaling,Resample_25,0.375,0.33974358974358976,0.7044027621357237,1.5484513418985588
DodgerLoopDay,decimal_scaling,Resample_26,0.3625,0.4141923436041083,0.7913503926369178,1.4075032129021383
DodgerLoopDay,decimal_scaling,Resample_27,0.3125,0.3593073593073593,0.8095524697256357,1.4421802381270639
DodgerLoopDay,decimal_scaling,Resample_28,0.4,0.46754535147392284,0.8090605042137984,1.4809757405918345
DodgerLoopDay,decimal_scaling,Resample_29,0.375,0.40476190476190477,0.7563065062434997,1.5147272028719552
GesturePebbleZ1,decimal_scaling,Resample_0,0.8197674418604651,0.818484316789378,0.9823777278967608,0.5695273385713989
GesturePebbleZ1,decimal_scaling,Resample_1,0.8372093023255814,0.8512820512820513,0.9895344320280451,0.5040661504671848
GesturePebbleZ1,decimal_scaling,Resample_2,0.8837209302325582,0.8858273596176821,0.9934200474744258,0.4234263636199015
GesturePebbleZ1,decimal_scaling,Resample_3,0.8837209302325582,0.8860536852136315,0.9919689950224233,0.44617742722814296
GesturePebbleZ1,decimal_scaling,Resample_4,0.872093023255814,0.8723121897214435,0.987441352237191,0.44484123583551866
GesturePebbleZ1,decimal_scaling,Resample_5,0.9011627906976745,0.9007904998227579,0.993377763515008,0.4142622798019126
GesturePebbleZ1,decimal_scaling,Resample_6,0.9069767441860465,0.9131819992035046,0.9925687224898949,0.487158020800569
GesturePebbleZ1,decimal_scaling,Resample_7,0.8837209302325582,0.883576597944414,0.9889985752129898,0.44859016559099746
GesturePebbleZ1,decimal_scaling,Resample_8,0.9476744186046512,0.9523980893803573,0.9969387103501073,0.3520778669147696
GesturePebbleZ1,decimal_scaling,Resample_9,0.9011627906976745,0.9011186371100165,0.9906491802509312,0.403997833846389
GesturePebbleZ1,decimal_scaling,Resample_10,0.9011627906976745,0.8980323125150712,0.990264245450508,0.4012845230513327
GesturePebbleZ1,decimal_scaling,Resample_11,0.8372093023255814,0.8375159380906507,0.9836992767555759,0.5342384372610879
GesturePebbleZ1,decimal_scaling,Resample_12,0.8488372093023255,0.8466982671204684,0.9868891124201441,0.48805674702806545
GesturePebbleZ1,decimal_scaling,Resample_13,0.8662790697674418,0.8691170850051088,0.9878129166762897,0.4929052984357877
GesturePebbleZ1,decimal_scaling,Resample_14,0.936046511627907,0.9375578364288043,0.9970109926504804,0.32697434057754315
GesturePebbleZ1,decimal_scaling,Resample_15,0.8197674418604651,0.8388578092710403,0.9826039416623933,0.56722411492005
GesturePebbleZ1,decimal_scaling,Resample_16,0.8662790697674418,0.862025024674043,0.9800645518563824,0.46533208765039547
GesturePebbleZ1,decimal_scaling,Resample_17,0.813953488372093,0.821773288439955,0.9822347360369065,0.5397665286619668
GesturePebbleZ1,decimal_scaling,Resample_18,0.9186046511627907,0.9241509103641455,0.9940991769392493,0.38329842318080565
GesturePebbleZ1,decimal_scaling,Resample_19,0.8837209302325582,0.8928820221923671,0.993321998800159,0.4097560132267199
GesturePebbleZ1,decimal_scaling,Resample_20,0.8372093023255814,0.8417456585560035,0.9783614892291905,0.5108346210383243
GesturePebbleZ1,decimal_scaling,Resample_21,0.8372093023255814,0.8373517670069394,0.9896605494939409,0.5149816426933489
