Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,decimal_scaling,Resample_0,0.6,0.5885114885114885,0.7659688859320497,14.41746135564686
DodgerLoopDay,decimal_scaling,Resample_1,0.5125,0.4811894454751598,0.7213994369660297,17.571281027194612
DodgerLoopDay,decimal_scaling,Resample_2,0.5375,0.5111317254174397,0.7324055775142732,16.670189692466682
DodgerLoopDay,decimal_scaling,Resample_3,0.5,0.49486703772418056,0.7100862284456176,18.021826694558577
DodgerLoopDay,decimal_scaling,Resample_4,0.4375,0.42052947052947054,0.6737587066307913,20.274555031378394
DodgerLoopDay,decimal_scaling,Resample_5,0.5,0.4895604395604396,0.7140636105188344,18.021826694558577
DodgerLoopDay,decimal_scaling,Resample_6,0.65,0.6528520499108735,0.8003064164974028,12.615278686191003
DodgerLoopDay,decimal_scaling,Resample_7,0.525,0.5051282051282051,0.7264096163433363,17.120735359830643
DodgerLoopDay,decimal_scaling,Resample_8,0.525,0.5461919033347604,0.7190102052901228,17.120735359830647
DodgerLoopDay,decimal_scaling,Resample_9,0.3875,0.4439560439560439,0.6366117464624927,22.07673770083425
DodgerLoopDay,decimal_scaling,Resample_10,0.5,0.504905808477237,0.7093270238305929,18.021826694558577
DodgerLoopDay,decimal_scaling,Resample_11,0.5625,0.5551519908662766,0.7459443325439432,15.769098357738756
DodgerLoopDay,decimal_scaling,Resample_12,0.525,0.534079809079809,0.7220636738757834,17.120735359830647
DodgerLoopDay,decimal_scaling,Resample_13,0.525,0.49140442890442887,0.7281465749391466,17.120735359830647
DodgerLoopDay,decimal_scaling,Resample_14,0.5625,0.5158646908646908,0.7493000926405704,15.769098357738756
DodgerLoopDay,decimal_scaling,Resample_15,0.4875,0.48443223443223443,0.7002696146596212,18.472372361922538
DodgerLoopDay,decimal_scaling,Resample_16,0.4625,0.47502497502497504,0.6838577349168956,19.373463696650468
DodgerLoopDay,decimal_scaling,Resample_17,0.4875,0.47652030509173365,0.7019701466119103,18.472372361922538
DodgerLoopDay,decimal_scaling,Resample_18,0.5875,0.5794871794871794,0.7623416972422772,14.868007023010824
DodgerLoopDay,decimal_scaling,Resample_19,0.5,0.5025510204081632,0.7133336990554748,18.021826694558577
DodgerLoopDay,decimal_scaling,Resample_20,0.5375,0.5301864801864802,0.7315339179149921,16.670189692466682
DodgerLoopDay,decimal_scaling,Resample_21,0.525,0.5291708291708292,0.7225688328543617,17.120735359830647
DodgerLoopDay,decimal_scaling,Resample_22,0.525,0.4895604395604396,0.7273579050915198,17.120735359830647
DodgerLoopDay,decimal_scaling,Resample_23,0.5625,0.5670591313448456,0.7448285626798097,15.769098357738752
DodgerLoopDay,decimal_scaling,Resample_24,0.6,0.564698000412286,0.7693099282699579,14.41746135564686
DodgerLoopDay,decimal_scaling,Resample_25,0.5125,0.508913308913309,0.7204774673569885,17.571281027194612
DodgerLoopDay,decimal_scaling,Resample_26,0.425,0.4700351935646053,0.6716416679103246,20.72510069874236
DodgerLoopDay,decimal_scaling,Resample_27,0.5625,0.5713889285317857,0.7421470003431597,15.769098357738756
DodgerLoopDay,decimal_scaling,Resample_28,0.5,0.5203754578754578,0.7079327914749388,18.021826694558577
DodgerLoopDay,decimal_scaling,Resample_29,0.4625,0.47990105132962274,0.683014788203634,19.373463696650468
GesturePebbleZ1,decimal_scaling,Resample_0,0.8313953488372093,0.8293823298177673,0.8993988745128564,6.077127606304636
GesturePebbleZ1,decimal_scaling,Resample_1,0.8837209302325582,0.8960274327122152,0.9319714001754187,4.191122487106646
GesturePebbleZ1,decimal_scaling,Resample_2,0.9011627906976745,0.8989197530864198,0.9402865468674112,3.5624541140406487
GesturePebbleZ1,decimal_scaling,Resample_3,0.9593023255813954,0.9551146384479717,0.9755709991478625,1.4668928704873263
GesturePebbleZ1,decimal_scaling,Resample_4,0.872093023255814,0.8794025475767445,0.9239786474346753,4.61023473581731
GesturePebbleZ1,decimal_scaling,Resample_5,0.8662790697674418,0.8710516365355074,0.9198320650097205,4.819790860172642
GesturePebbleZ1,decimal_scaling,Resample_6,0.9302325581395349,0.9332042461445501,0.9579386619738783,2.5146734922639875
GesturePebbleZ1,decimal_scaling,Resample_7,0.9127906976744186,0.9114896916621055,0.9475767288267287,3.1433418653299836
GesturePebbleZ1,decimal_scaling,Resample_8,0.9069767441860465,0.9080791125383155,0.9445404208656144,3.352897989685317
GesturePebbleZ1,decimal_scaling,Resample_9,0.9069767441860465,0.9114583333333334,0.9453553025921446,3.352897989685317
GesturePebbleZ1,decimal_scaling,Resample_10,0.9069767441860465,0.8980371352785146,0.9442406852693942,3.352897989685317
GesturePebbleZ1,decimal_scaling,Resample_11,0.8546511627906976,0.8656143081430439,0.9152837515787157,5.238903108883307
GesturePebbleZ1,decimal_scaling,Resample_12,0.9011627906976745,0.9087033857748595,0.9414573322405311,3.5624541140406487
GesturePebbleZ1,decimal_scaling,Resample_13,0.9186046511627907,0.9228989401403194,0.9519027195751333,2.933785740974652
GesturePebbleZ1,decimal_scaling,Resample_14,0.9244186046511628,0.92618605408928,0.9535164197081053,2.72422961661932
GesturePebbleZ1,decimal_scaling,Resample_15,0.9127906976744186,0.9142367736586253,0.9479828399291487,3.1433418653299836
GesturePebbleZ1,decimal_scaling,Resample_16,0.9069767441860465,0.9084555131335169,0.9450135550633121,3.352897989685317
GesturePebbleZ1,decimal_scaling,Resample_17,0.8837209302325582,0.8930046496713163,0.9319532043361561,4.191122487106646
GesturePebbleZ1,decimal_scaling,Resample_18,0.9069767441860465,0.9107061806203962,0.9455649412430251,3.352897989685317
GesturePebbleZ1,decimal_scaling,Resample_19,0.9244186046511628,0.9267676767676768,0.9553918493973403,2.72422961661932
GesturePebbleZ1,decimal_scaling,Resample_20,0.8895348837209303,0.8915610849878091,0.9343052323360541,3.9815663627513134
GesturePebbleZ1,decimal_scaling,Resample_21,0.877906976744186,0.8836189481017068,0.9272831290764256,4.400678611461978
GesturePebbleZ1,decimal_scaling,Resample_22,0.877906976744186,0.8895502645502645,0.9279080859963215,4.400678611461978
GesturePebbleZ1,decimal_scaling,Resample_23,0.9127906976744186,0.9128141534391535,0.947687465790914,3.1433418653299845
GesturePebbleZ1,decimal_scaling,Resample_24,0.872093023255814,0.8675635475635475,0.923112487808525,4.6102347358173095
GesturePebbleZ1,decimal_scaling,Resample_25,0.9011627906976745,0.8969449005655902,0.9401091045110048,3.5624541140406483
GesturePebbleZ1,decimal_scaling,Resample_26,0.9186046511627907,0.9140873015873017,0.9517074292602462,2.933785740974652
GesturePebbleZ1,decimal_scaling,Resample_27,0.8662790697674418,0.8542817876775898,0.9193039485605958,4.819790860172643
GesturePebbleZ1,decimal_scaling,Resample_28,0.9011627906976745,0.8966114530630659,0.9414174546887314,3.5624541140406487
GesturePebbleZ1,decimal_scaling,Resample_29,0.9011627906976745,0.9001896143072613,0.9416063604907114,3.5624541140406487
GunPointAgeSpan,decimal_scaling,Resample_0,0.9841772151898734,0.9841346153846153,0.9841346153846154,0.5703109713467905
GunPointAgeSpan,decimal_scaling,Resample_1,0.9841772151898734,0.9841114005209377,0.9841114005209376,0.5703109713467905
GunPointAgeSpan,decimal_scaling,Resample_2,0.9841772151898734,0.9841565516965108,0.9841565516965108,0.5703109713467905
GunPointAgeSpan,decimal_scaling,Resample_3,0.9746835443037974,0.9751956652618905,0.9751956652618904,0.9124975541548648
GunPointAgeSpan,decimal_scaling,Resample_4,0.9778481012658228,0.9781406531757163,0.9781406531757163,0.7984353598855068
GunPointAgeSpan,decimal_scaling,Resample_5,0.9525316455696202,0.9529352835103186,0.9529352835103186,1.7109329140403713
GunPointAgeSpan,decimal_scaling,Resample_6,1.0,1.0,1.0,2.220446049250313e-16
GunPointAgeSpan,decimal_scaling,Resample_7,0.9651898734177216,0.9652552227434941,0.9652552227434942,1.2546841369629391
GunPointAgeSpan,decimal_scaling,Resample_8,0.990506329113924,0.9905804072470739,0.9905804072470737,0.3421865828080744
GunPointAgeSpan,decimal_scaling,Resample_9,0.9556962025316456,0.9557692307692307,0.9557692307692308,1.5968707197710132
GunPointAgeSpan,decimal_scaling,Resample_10,0.9778481012658228,0.9789156626506024,0.9789156626506025,0.7984353598855068
GunPointAgeSpan,decimal_scaling,Resample_11,0.990506329113924,0.9901315789473684,0.9901315789473684,0.3421865828080744
GunPointAgeSpan,decimal_scaling,Resample_12,0.9683544303797469,0.9685731487055991,0.968573148705599,1.140621942693581
GunPointAgeSpan,decimal_scaling,Resample_13,0.9715189873417721,0.971189702875015,0.9711897028750152,1.0265597484242228
GunPointAgeSpan,decimal_scaling,Resample_14,0.9873417721518988,0.9878048780487805,0.9878048780487805,0.4562487770774325
GunPointAgeSpan,decimal_scaling,Resample_15,0.9778481012658228,0.978125,0.978125,0.7984353598855068
GunPointAgeSpan,decimal_scaling,Resample_16,0.9778481012658228,0.9775395712282108,0.9775395712282108,0.7984353598855068
GunPointAgeSpan,decimal_scaling,Resample_17,0.9778481012658228,0.9787878787878788,0.9787878787878788,0.7984353598855067
GunPointAgeSpan,decimal_scaling,Resample_18,0.9683544303797469,0.9707602339181287,0.9707602339181287,1.1406219426935809
GunPointAgeSpan,decimal_scaling,Resample_19,0.9556962025316456,0.9564015227409337,0.9564015227409336,1.5968707197710132
GunPointAgeSpan,decimal_scaling,Resample_20,0.9778481012658228,0.9779450130443508,0.9779450130443509,0.7984353598855068
GunPointAgeSpan,decimal_scaling,Resample_21,0.9746835443037974,0.9740566983439594,0.9740566983439594,0.9124975541548648
GunPointAgeSpan,decimal_scaling,Resample_22,0.9841772151898734,0.98429718875502,0.9842971887550201,0.5703109713467905
GunPointAgeSpan,decimal_scaling,Resample_23,0.9873417721518988,0.9871794871794872,0.9871794871794872,0.4562487770774325
GunPointAgeSpan,decimal_scaling,Resample_24,0.9841772151898734,0.9841772151898734,0.9841772151898734,0.5703109713467905
GunPointAgeSpan,decimal_scaling,Resample_25,0.9873417721518988,0.9876622593738698,0.9876622593738696,0.4562487770774325
GunPointAgeSpan,decimal_scaling,Resample_26,0.9810126582278481,0.9805194805194806,0.9805194805194805,0.6843731656161487
GunPointAgeSpan,decimal_scaling,Resample_27,0.9778481012658228,0.9782730923694779,0.978273092369478,0.7984353598855068
GunPointAgeSpan,decimal_scaling,Resample_28,0.990506329113924,0.9905804072470739,0.9905804072470737,0.34218658280807446
GunPointAgeSpan,decimal_scaling,Resample_29,0.990506329113924,0.9905259784481032,0.9905259784481032,0.3421865828080744
MelbournePedestrian,decimal_scaling,Resample_0,0.9077490774907749,0.9075300889586604,0.9487453930219913,3.325060275748815
MelbournePedestrian,decimal_scaling,Resample_1,0.897908979089791,0.8987784708370636,0.9432778919918363,3.679733371828689
MelbournePedestrian,decimal_scaling,Resample_2,0.9106191061910619,0.909421740843614,0.9503691214932595,3.2216139560588517
MelbournePedestrian,decimal_scaling,Resample_3,0.8999589995899959,0.8978006658320542,0.9444406823959888,3.605843143478715
MelbournePedestrian,decimal_scaling,Resample_4,0.9028290282902829,0.9026908160991971,0.9460587270236727,3.502396823788752
MelbournePedestrian,decimal_scaling,Resample_5,0.8942189421894219,0.8949203755953544,0.9412200805391865,3.812735782858641
