Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,decimal_scaling,Resample_0,0.575,0.5656177156177156,0.751472951283044,15.31855269037479
DodgerLoopDay,decimal_scaling,Resample_1,0.525,0.5072665429808286,0.7288387522302575,17.120735359830643
DodgerLoopDay,decimal_scaling,Resample_2,0.525,0.4981447124304267,0.7251592007026788,17.120735359830647
DodgerLoopDay,decimal_scaling,Resample_3,0.525,0.5186765615337043,0.7245820267649452,17.120735359830647
DodgerLoopDay,decimal_scaling,Resample_4,0.425,0.4095404595404596,0.6661862746729336,20.72510069874236
DodgerLoopDay,decimal_scaling,Resample_5,0.525,0.5184065934065935,0.7282723288320303,17.120735359830647
DodgerLoopDay,decimal_scaling,Resample_6,0.6375,0.6409472880061114,0.7921794815128825,13.065824353554968
DodgerLoopDay,decimal_scaling,Resample_7,0.55,0.528937728937729,0.7410276274402208,16.219644025102717
DodgerLoopDay,decimal_scaling,Resample_8,0.5375,0.5566314637743209,0.7260237799507563,16.670189692466682
DodgerLoopDay,decimal_scaling,Resample_9,0.3875,0.4439560439560439,0.6364986754538993,22.07673770083425
DodgerLoopDay,decimal_scaling,Resample_10,0.5125,0.51789282146425,0.7166861907290201,17.571281027194612
DodgerLoopDay,decimal_scaling,Resample_11,0.5625,0.5551519908662766,0.7459443325439432,15.769098357738756
DodgerLoopDay,decimal_scaling,Resample_12,0.5,0.519000444000444,0.7071414817672721,18.021826694558577
DodgerLoopDay,decimal_scaling,Resample_13,0.4875,0.45569014319014317,0.7048062916631478,18.472372361922538
DodgerLoopDay,decimal_scaling,Resample_14,0.5625,0.5143856143856145,0.7486500384693894,15.769098357738756
DodgerLoopDay,decimal_scaling,Resample_15,0.5,0.4987179487179487,0.7074124718024782,18.021826694558577
DodgerLoopDay,decimal_scaling,Resample_16,0.4625,0.4715617715617716,0.6836414251613256,19.373463696650468
DodgerLoopDay,decimal_scaling,Resample_17,0.45,0.4352504638218924,0.6803098819938992,19.824009364014433
DodgerLoopDay,decimal_scaling,Resample_18,0.575,0.5636141636141636,0.7550893596875371,15.318552690374787
DodgerLoopDay,decimal_scaling,Resample_19,0.5,0.5025510204081632,0.7157935729731193,18.021826694558577
DodgerLoopDay,decimal_scaling,Resample_20,0.55,0.5431734931734932,0.7389934234563391,16.219644025102717
