Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,maximum_absolute_scaling,Resample_0,0.2625,0.2619047619047619,0.5317311824145621,1.8106252920018733
DodgerLoopDay,maximum_absolute_scaling,Resample_1,0.35,0.3181818181818182,0.6969076216179125,1.5619296441622623
DodgerLoopDay,maximum_absolute_scaling,Resample_2,0.4,0.3807977736549165,0.823927453886693,1.5017474101292225
DodgerLoopDay,maximum_absolute_scaling,Resample_3,0.225,0.2714285714285714,0.6455906769350832,1.727111789749013
DodgerLoopDay,maximum_absolute_scaling,Resample_4,0.375,0.35748418248418246,0.8249414018340324,1.4239879332367926
DodgerLoopDay,maximum_absolute_scaling,Resample_5,0.3875,0.4009680795395081,0.8469643853434189,1.3714723277537537
DodgerLoopDay,maximum_absolute_scaling,Resample_6,0.3875,0.3727106227106227,0.839775297777501,1.3590399324600804
DodgerLoopDay,maximum_absolute_scaling,Resample_7,0.3625,0.36385836385836384,0.8005695906891048,1.5255532464994976
DodgerLoopDay,maximum_absolute_scaling,Resample_8,0.4875,0.4904761904761905,0.7957878364158906,1.3489128762230342
DodgerLoopDay,maximum_absolute_scaling,Resample_9,0.2875,0.39262166405023546,0.737290447115074,1.5186954553484686
DodgerLoopDay,maximum_absolute_scaling,Resample_10,0.2375,0.2757242757242757,0.6965606315776659,1.6165919368093942
DodgerLoopDay,maximum_absolute_scaling,Resample_11,0.4375,0.4367109081394795,0.7932338033732755,1.4403654115937807
DodgerLoopDay,maximum_absolute_scaling,Resample_12,0.225,0.27272727272727276,0.4907088740224238,1.7739126783824255
DodgerLoopDay,maximum_absolute_scaling,Resample_13,0.3625,0.37619047619047624,0.8192955481748644,1.5915116773050628
DodgerLoopDay,maximum_absolute_scaling,Resample_14,0.3625,0.3208125208125208,0.7185849413120151,1.5705088886553604
DodgerLoopDay,maximum_absolute_scaling,Resample_15,0.3125,0.30303030303030304,0.6997488625560541,1.5997855769198295
DodgerLoopDay,maximum_absolute_scaling,Resample_16,0.375,0.43631368631368633,0.7826510398359829,1.4982457616096827
DodgerLoopDay,maximum_absolute_scaling,Resample_17,0.2875,0.2959183673469387,0.7153322980856662,1.720820905093651
DodgerLoopDay,maximum_absolute_scaling,Resample_18,0.2875,0.27380952380952384,0.7988014025770073,1.6110695471950998
DodgerLoopDay,maximum_absolute_scaling,Resample_19,0.3125,0.3766233766233767,0.6330724388747726,1.7122670771856463
