Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,maximum_absolute_scaling,Resample_0,0.4875,0.48356643356643364,0.7008551506261169,18.472372361922538
DodgerLoopDay,maximum_absolute_scaling,Resample_1,0.2625,0.24774273345701917,0.5750728652674468,26.582194374473897
DodgerLoopDay,maximum_absolute_scaling,Resample_2,0.3875,0.34833024118738404,0.6459705753184014,22.07673770083425
DodgerLoopDay,maximum_absolute_scaling,Resample_3,0.3375,0.34314098599812887,0.6153953132875432,23.87892037029011
DodgerLoopDay,maximum_absolute_scaling,Resample_4,0.325,0.31825674325674325,0.6068457714705376,24.329466037654075
DodgerLoopDay,maximum_absolute_scaling,Resample_5,0.375,0.3837170765742194,0.6411504303978552,22.52728336819822
DodgerLoopDay,maximum_absolute_scaling,Resample_6,0.475,0.42643141172552934,0.6979723814568806,18.922918029286503
DodgerLoopDay,maximum_absolute_scaling,Resample_7,0.3875,0.37872841444270017,0.6470729905278372,22.07673770083425
DodgerLoopDay,maximum_absolute_scaling,Resample_8,0.3625,0.37845249988107127,0.6294243414179505,22.977829035562184
DodgerLoopDay,maximum_absolute_scaling,Resample_9,0.3375,0.39497645211930926,0.608131420817988,23.87892037029011
DodgerLoopDay,maximum_absolute_scaling,Resample_10,0.4375,0.45091694020265455,0.6709500212095929,20.274555031378394
DodgerLoopDay,maximum_absolute_scaling,Resample_11,0.4125,0.39272869987155706,0.6580467229072031,21.175646366106328
DodgerLoopDay,maximum_absolute_scaling,Resample_12,0.35,0.3791930291930292,0.6181480302391967,23.428374702926146
DodgerLoopDay,maximum_absolute_scaling,Resample_13,0.425,0.37862970362970366,0.6670965496819244,20.72510069874236
DodgerLoopDay,maximum_absolute_scaling,Resample_14,0.4125,0.37993950493950496,0.6596569416331597,21.175646366106328
DodgerLoopDay,maximum_absolute_scaling,Resample_15,0.325,0.3207292707292707,0.604251668220825,24.329466037654075
DodgerLoopDay,maximum_absolute_scaling,Resample_16,0.3875,0.40588300588300585,0.6433757508478865,22.07673770083425
