Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,maximum_absolute_scaling,Resample_0,0.575,0.5674492174492175,0.7523135600768537,15.31855269037479
DodgerLoopDay,maximum_absolute_scaling,Resample_1,0.4625,0.4428159142444857,0.6909592494546848,19.373463696650468
DodgerLoopDay,maximum_absolute_scaling,Resample_2,0.4875,0.4417903525046382,0.7034475186649101,18.472372361922538
DodgerLoopDay,maximum_absolute_scaling,Resample_3,0.475,0.47295403009688725,0.6965533886091932,18.922918029286503
DodgerLoopDay,maximum_absolute_scaling,Resample_4,0.4625,0.43602231102231104,0.6876342841501065,19.373463696650468
DodgerLoopDay,maximum_absolute_scaling,Resample_5,0.55,0.5647959183673469,0.7432983055880891,16.219644025102717
DodgerLoopDay,maximum_absolute_scaling,Resample_6,0.525,0.4727135609488551,0.7216248152095066,17.120735359830647
DodgerLoopDay,maximum_absolute_scaling,Resample_7,0.5125,0.4940083725798012,0.7194857200242453,17.57128102719461
DodgerLoopDay,maximum_absolute_scaling,Resample_8,0.475,0.47791969934827083,0.6913462709498515,18.922918029286503
DodgerLoopDay,maximum_absolute_scaling,Resample_9,0.3625,0.4260596546310832,0.622513406991019,22.977829035562184
DodgerLoopDay,maximum_absolute_scaling,Resample_10,0.4875,0.49191879549022405,0.7029470916638341,18.472372361922538
DodgerLoopDay,maximum_absolute_scaling,Resample_11,0.5,0.48545502116930683,0.7097780437170444,18.021826694558577
DodgerLoopDay,maximum_absolute_scaling,Resample_12,0.4,0.41512376512376514,0.6475416603982421,21.62619203347029
DodgerLoopDay,maximum_absolute_scaling,Resample_13,0.4875,0.4581168831168831,0.7021606951289382,18.472372361922538
DodgerLoopDay,maximum_absolute_scaling,Resample_14,0.5375,0.4904678654678655,0.7336353613954816,16.670189692466682
DodgerLoopDay,maximum_absolute_scaling,Resample_15,0.4625,0.4514818514818515,0.6873635567140548,19.373463696650468
DodgerLoopDay,maximum_absolute_scaling,Resample_16,0.4625,0.4801476301476301,0.6844267225578761,19.373463696650468
DodgerLoopDay,maximum_absolute_scaling,Resample_17,0.475,0.47182024324881466,0.6924268118083183,18.922918029286503
DodgerLoopDay,maximum_absolute_scaling,Resample_18,0.525,0.5154456654456655,0.7270384378262552,17.120735359830647
DodgerLoopDay,maximum_absolute_scaling,Resample_19,0.475,0.491226035868893,0.701467139608114,18.922918029286503
DodgerLoopDay,maximum_absolute_scaling,Resample_20,0.5375,0.5317016317016316,0.7321611253196931,16.670189692466682
DodgerLoopDay,maximum_absolute_scaling,Resample_21,0.5375,0.5434565434565435,0.7303606192639288,16.670189692466682
DodgerLoopDay,maximum_absolute_scaling,Resample_22,0.5625,0.545352016404648,0.7491048513517689,15.769098357738756
DodgerLoopDay,maximum_absolute_scaling,Resample_23,0.475,0.47176434676434675,0.688194593773833,18.922918029286503
DodgerLoopDay,maximum_absolute_scaling,Resample_24,0.55,0.5205421562564421,0.7423082325707868,16.219644025102717
DodgerLoopDay,maximum_absolute_scaling,Resample_25,0.575,0.5521978021978022,0.7568116098495478,15.31855269037479
DodgerLoopDay,maximum_absolute_scaling,Resample_26,0.4875,0.5404654169360051,0.7070393777246835,18.472372361922538
DodgerLoopDay,maximum_absolute_scaling,Resample_27,0.525,0.5364238935667507,0.7187707983491772,17.120735359830647
DodgerLoopDay,maximum_absolute_scaling,Resample_28,0.4875,0.490602651316937,0.6998779342232149,18.472372361922538
DodgerLoopDay,maximum_absolute_scaling,Resample_29,0.4125,0.43119975262832405,0.6551382480158441,21.175646366106328
GesturePebbleZ1,maximum_absolute_scaling,Resample_0,0.8081395348837209,0.8048905247943531,0.8859847514862713,6.915352103725965
GesturePebbleZ1,maximum_absolute_scaling,Resample_1,0.813953488372093,0.8284435220576526,0.8902472446777245,6.705795979370634
GesturePebbleZ1,maximum_absolute_scaling,Resample_2,0.8895348837209303,0.8842592592592592,0.9335107244100455,3.9815663627513134
GesturePebbleZ1,maximum_absolute_scaling,Resample_3,0.9127906976744186,0.9103976432269443,0.948241815743458,3.1433418653299836
GesturePebbleZ1,maximum_absolute_scaling,Resample_4,0.8546511627906976,0.8578042711694073,0.9146625489693339,5.238903108883307
GesturePebbleZ1,maximum_absolute_scaling,Resample_5,0.8313953488372093,0.8295453230492162,0.8994079507257673,6.077127606304636
GesturePebbleZ1,maximum_absolute_scaling,Resample_6,0.877906976744186,0.8843914363009654,0.926900295110471,4.400678611461978
GesturePebbleZ1,maximum_absolute_scaling,Resample_7,0.8662790697674418,0.8650732834640881,0.9197014910376979,4.819790860172642
GesturePebbleZ1,maximum_absolute_scaling,Resample_8,0.8895348837209303,0.8923567999973155,0.9339897814542586,3.9815663627513134
GesturePebbleZ1,maximum_absolute_scaling,Resample_9,0.9011627906976745,0.9028838259441708,0.9413455062033624,3.5624541140406487
GesturePebbleZ1,maximum_absolute_scaling,Resample_10,0.877906976744186,0.8663925729442971,0.9265898525983031,4.400678611461978
GesturePebbleZ1,maximum_absolute_scaling,Resample_11,0.8430232558139535,0.8527321077608435,0.9079654192603833,5.658015357593971
GesturePebbleZ1,maximum_absolute_scaling,Resample_12,0.8546511627906976,0.8606413294110954,0.9135193586597538,5.238903108883307
GesturePebbleZ1,maximum_absolute_scaling,Resample_13,0.8953488372093024,0.8989090411504205,0.9376027496616536,3.772010238395981
GesturePebbleZ1,maximum_absolute_scaling,Resample_14,0.8895348837209303,0.8808097100032585,0.9324772004942266,3.981566362751314
GesturePebbleZ1,maximum_absolute_scaling,Resample_15,0.8546511627906976,0.8580592036598409,0.9137225116419747,5.238903108883307
GesturePebbleZ1,maximum_absolute_scaling,Resample_16,0.872093023255814,0.8672333580073763,0.9236461467252951,4.6102347358173095
GesturePebbleZ1,maximum_absolute_scaling,Resample_17,0.7906976744186046,0.801034151034151,0.8766374147368149,7.544020476791962
GesturePebbleZ1,maximum_absolute_scaling,Resample_18,0.877906976744186,0.8826041990870421,0.9284024165210458,4.400678611461978
GesturePebbleZ1,maximum_absolute_scaling,Resample_19,0.8837209302325582,0.8906926406926408,0.9313478765915163,4.191122487106646
GesturePebbleZ1,maximum_absolute_scaling,Resample_20,0.872093023255814,0.8744301077275215,0.9231005315808706,4.6102347358173095
GesturePebbleZ1,maximum_absolute_scaling,Resample_21,0.8430232558139535,0.8456238780376713,0.9063917513663987,5.658015357593971
GesturePebbleZ1,maximum_absolute_scaling,Resample_22,0.8313953488372093,0.8399470899470899,0.8994337174484234,6.077127606304636
GesturePebbleZ1,maximum_absolute_scaling,Resample_23,0.8953488372093024,0.8954475308641975,0.9377634099616857,3.772010238395981
GesturePebbleZ1,maximum_absolute_scaling,Resample_24,0.8546511627906976,0.8531944598611264,0.9128148968779629,5.238903108883307
GesturePebbleZ1,maximum_absolute_scaling,Resample_25,0.8372093023255814,0.8329653956090737,0.9010981227590662,5.8675714819493034
GesturePebbleZ1,maximum_absolute_scaling,Resample_26,0.8546511627906976,0.8489583333333334,0.9130714466982073,5.238903108883307
GesturePebbleZ1,maximum_absolute_scaling,Resample_27,0.8604651162790697,0.8487262321220342,0.9159295354150557,5.029346984527974
GesturePebbleZ1,maximum_absolute_scaling,Resample_28,0.9069767441860465,0.9019304583820712,0.9450285657998425,3.352897989685317
GesturePebbleZ1,maximum_absolute_scaling,Resample_29,0.8837209302325582,0.8813804496157437,0.9309460635891912,4.191122487106646
GunPointAgeSpan,maximum_absolute_scaling,Resample_0,0.9778481012658228,0.9778044871794871,0.9778044871794872,0.7984353598855068
GunPointAgeSpan,maximum_absolute_scaling,Resample_1,0.9588607594936709,0.9589060308555399,0.95890603085554,1.4828085255016552
GunPointAgeSpan,maximum_absolute_scaling,Resample_2,0.9746835443037974,0.9746024115691223,0.9746024115691223,0.9124975541548648
GunPointAgeSpan,maximum_absolute_scaling,Resample_3,0.9620253164556962,0.9630744531406783,0.9630744531406783,1.3687463312322972
GunPointAgeSpan,maximum_absolute_scaling,Resample_4,0.9746835443037974,0.9746744139451011,0.9746744139451012,0.9124975541548648
GunPointAgeSpan,maximum_absolute_scaling,Resample_5,0.939873417721519,0.940032057703867,0.940032057703867,2.1671816911178037
GunPointAgeSpan,maximum_absolute_scaling,Resample_6,0.9936708860759493,0.9940119760479043,0.9940119760479043,0.22812438853871633
GunPointAgeSpan,maximum_absolute_scaling,Resample_7,0.9525316455696202,0.9527847948995549,0.952784794899555,1.7109329140403713
GunPointAgeSpan,maximum_absolute_scaling,Resample_8,0.9651898734177216,0.9655683822350489,0.9655683822350489,1.254684136962939
GunPointAgeSpan,maximum_absolute_scaling,Resample_9,0.9335443037974683,0.9338141025641026,0.9338141025641026,2.3953060796565193
GunPointAgeSpan,maximum_absolute_scaling,Resample_10,0.9620253164556962,0.9635341365461847,0.9635341365461846,1.3687463312322972
GunPointAgeSpan,maximum_absolute_scaling,Resample_11,0.9746835443037974,0.9746469833119384,0.9746469833119384,0.9124975541548648
GunPointAgeSpan,maximum_absolute_scaling,Resample_12,0.9651898734177216,0.9646999799317679,0.9646999799317679,1.2546841369629391
