Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,mean_normalization,Resample_0,0.5625,0.5473359973359974,0.8821989011373532,1.1688962711844861
DodgerLoopDay,mean_normalization,Resample_1,0.6125,0.6213461142032571,0.90268138687111,1.196635110525975
DodgerLoopDay,mean_normalization,Resample_2,0.6375,0.6296382189239332,0.9150794631093545,1.1157897560484438
DodgerLoopDay,mean_normalization,Resample_3,0.625,0.610738467881325,0.8842569829530206,1.0996211436669268
DodgerLoopDay,mean_normalization,Resample_4,0.525,0.4969363969363969,0.8844036726655918,1.1924205759819464
DodgerLoopDay,mean_normalization,Resample_5,0.4875,0.5123844409558695,0.8909189897412517,1.1525669414292559
DodgerLoopDay,mean_normalization,Resample_6,0.525,0.5377514642220526,0.9114457228381294,1.1933753510102245
DodgerLoopDay,mean_normalization,Resample_7,0.475,0.45160474446188736,0.8666162939271299,1.1876912847769048
DodgerLoopDay,mean_normalization,Resample_8,0.4875,0.5106060606060606,0.8640743940119961,1.19262657031946
DodgerLoopDay,mean_normalization,Resample_9,0.45,0.5023547880690737,0.7967152872003618,1.2969679627153368
DodgerLoopDay,mean_normalization,Resample_10,0.6,0.6050378193235336,0.8972302097642786,1.1276839096101017
DodgerLoopDay,mean_normalization,Resample_11,0.6,0.5848984348984348,0.8615581929633395,1.22804948012611
DodgerLoopDay,mean_normalization,Resample_12,0.5875,0.5876678876678876,0.854565793654982,1.2024392332007434
DodgerLoopDay,mean_normalization,Resample_13,0.55,0.5464285714285714,0.8811751672484964,1.1260516564652332
DodgerLoopDay,mean_normalization,Resample_14,0.6375,0.5839022089022088,0.9181556180785663,1.1487893784838659
DodgerLoopDay,mean_normalization,Resample_15,0.525,0.5095571095571095,0.871252809527445,1.1908634338846529
DodgerLoopDay,mean_normalization,Resample_16,0.5,0.541958041958042,0.8448633181789678,1.2514755003031908
DodgerLoopDay,mean_normalization,Resample_17,0.5625,0.5589569160997733,0.8723728922129105,1.2146345299264771
DodgerLoopDay,mean_normalization,Resample_18,0.5375,0.5307692307692308,0.8984879944725419,1.2112432484124542
DodgerLoopDay,mean_normalization,Resample_19,0.45,0.4382730364873222,0.8603969142347578,1.2399141174045627
DodgerLoopDay,mean_normalization,Resample_20,0.65,0.6405760905760906,0.9208613309048472,1.1157807723756608
DodgerLoopDay,mean_normalization,Resample_21,0.6125,0.6113886113886114,0.8705381477704645,1.1380086433193366
DodgerLoopDay,mean_normalization,Resample_22,0.525,0.5384229805282437,0.9044238473460702,1.2287026396962903
DodgerLoopDay,mean_normalization,Resample_23,0.6125,0.6181667538810396,0.8861380453484736,1.2056725487387445
DodgerLoopDay,mean_normalization,Resample_24,0.6125,0.5863430220573077,0.9289923036320241,1.0266353175630918
DodgerLoopDay,mean_normalization,Resample_25,0.55,0.5424297924297924,0.8865394537652062,1.1332986584600857
DodgerLoopDay,mean_normalization,Resample_26,0.45,0.5143790849673202,0.8536725940591297,1.2611079826760307
DodgerLoopDay,mean_normalization,Resample_27,0.45,0.4812964812964813,0.8755145129028354,1.203224129043635
DodgerLoopDay,mean_normalization,Resample_28,0.5,0.5521978021978022,0.8668670505946079,1.2519082977394016
DodgerLoopDay,mean_normalization,Resample_29,0.5375,0.5661053232481804,0.8487906126251884,1.242873570813917
GesturePebbleZ1,mean_normalization,Resample_0,0.8023255813953488,0.8009852351623302,0.9730756254626536,0.6242349257734665
GesturePebbleZ1,mean_normalization,Resample_1,0.8081395348837209,0.8274725274725275,0.9914798537203516,0.5229671316914815
GesturePebbleZ1,mean_normalization,Resample_2,0.872093023255814,0.8730187176423736,0.9865333137558309,0.5277525929472195
GesturePebbleZ1,mean_normalization,Resample_3,0.9244186046511628,0.9281337116686578,0.994986059371695,0.48614897339635343
GesturePebbleZ1,mean_normalization,Resample_4,0.8604651162790697,0.8643484800440242,0.9850865188263322,0.5112444517559801
GesturePebbleZ1,mean_normalization,Resample_5,0.8372093023255814,0.842428216944346,0.9880385873756495,0.5128240346958896
GesturePebbleZ1,mean_normalization,Resample_6,0.8953488372093024,0.9000947554896386,0.9921982613949718,0.46305819685899374
GesturePebbleZ1,mean_normalization,Resample_7,0.8488372093023255,0.8489189928845101,0.9890143509793347,0.5409464739616335
GesturePebbleZ1,mean_normalization,Resample_8,0.9127906976744186,0.9193066034491147,0.9919191183063277,0.4673768305628822
GesturePebbleZ1,mean_normalization,Resample_9,0.8895348837209303,0.896243842364532,0.9929246335363995,0.40373633746750126
GesturePebbleZ1,mean_normalization,Resample_10,0.8662790697674418,0.8593457117595049,0.9866594988572474,0.44785167311610885
GesturePebbleZ1,mean_normalization,Resample_11,0.8837209302325582,0.8907663541284231,0.9868762836736045,0.5182679122812163
GesturePebbleZ1,mean_normalization,Resample_12,0.8546511627906976,0.8566069797094465,0.9888546523610338,0.5142081703749625
GesturePebbleZ1,mean_normalization,Resample_13,0.8430232558139535,0.848634470042516,0.9738567853616632,0.5407027722780947
GesturePebbleZ1,mean_normalization,Resample_14,0.8372093023255814,0.8440387748452265,0.9924543921259352,0.461426235009071
GesturePebbleZ1,mean_normalization,Resample_15,0.7790697674418605,0.800269839742291,0.9760336843468573,0.5949591343366867
GesturePebbleZ1,mean_normalization,Resample_16,0.8837209302325582,0.8820031535158347,0.9798553441010103,0.5147671529302215
GesturePebbleZ1,mean_normalization,Resample_17,0.8197674418604651,0.8286868686868686,0.985631706070326,0.5586612956588005
GesturePebbleZ1,mean_normalization,Resample_18,0.877906976744186,0.8820202094525412,0.992687960191959,0.4431240064378961
GesturePebbleZ1,mean_normalization,Resample_19,0.9127906976744186,0.9177489177489178,0.9924547348106422,0.39223818179453845
GesturePebbleZ1,mean_normalization,Resample_20,0.7965116279069767,0.806462096332786,0.9735590166497184,0.5764018097247078
GesturePebbleZ1,mean_normalization,Resample_21,0.872093023255814,0.8696407041234627,0.9890442931711374,0.4865385913637091
GesturePebbleZ1,mean_normalization,Resample_22,0.8895348837209303,0.9014550264550265,0.9900357867397882,0.4842641255855804
GesturePebbleZ1,mean_normalization,Resample_23,0.8546511627906976,0.8552634479717813,0.9876963688932131,0.46409799382158434
GesturePebbleZ1,mean_normalization,Resample_24,0.8546511627906976,0.8528545528545527,0.986571687095002,0.491032171228069
GesturePebbleZ1,mean_normalization,Resample_25,0.8895348837209303,0.8891053943927507,0.988827462171125,0.48610940681879117
GesturePebbleZ1,mean_normalization,Resample_26,0.8837209302325582,0.8853174603174603,0.9931515664452528,0.4578592125330665
GesturePebbleZ1,mean_normalization,Resample_27,0.8430232558139535,0.8381670095688087,0.9794293022103274,0.5142016319796423
GesturePebbleZ1,mean_normalization,Resample_28,0.8662790697674418,0.8651665466181595,0.988302438644612,0.4933347192903585
