Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,mean_normalization,Resample_0,0.5375,0.5282717282717283,0.7300569676280635,16.670189692466682
DodgerLoopDay,mean_normalization,Resample_1,0.4625,0.43714698000412283,0.6898934404315832,19.373463696650468
DodgerLoopDay,mean_normalization,Resample_2,0.5,0.4589517625231911,0.7122584541062802,18.021826694558577
DodgerLoopDay,mean_normalization,Resample_3,0.475,0.4784374355802927,0.6970833020671139,18.922918029286503
DodgerLoopDay,mean_normalization,Resample_4,0.4625,0.42871295371295376,0.6862374916355335,19.373463696650468
DodgerLoopDay,mean_normalization,Resample_5,0.45,0.461834990406419,0.6869574449561837,19.824009364014433
DodgerLoopDay,mean_normalization,Resample_6,0.6125,0.5741023682200153,0.7746941359965551,13.966915688282896
DodgerLoopDay,mean_normalization,Resample_7,0.5125,0.499677306820164,0.7190564101880552,17.57128102719461
DodgerLoopDay,mean_normalization,Resample_8,0.4375,0.4728105228105228,0.6720235801767803,20.274555031378394
DodgerLoopDay,mean_normalization,Resample_9,0.425,0.4860282574568289,0.6602791238612135,20.72510069874236
DodgerLoopDay,mean_normalization,Resample_10,0.5,0.5001248751248751,0.710608190929411,18.021826694558577
DodgerLoopDay,mean_normalization,Resample_11,0.525,0.5127277484420342,0.724393138766922,17.120735359830647
DodgerLoopDay,mean_normalization,Resample_12,0.425,0.4369352869352869,0.6615536060473982,20.72510069874236
DodgerLoopDay,mean_normalization,Resample_13,0.5125,0.4701881451881452,0.715917457710411,17.571281027194612
DodgerLoopDay,mean_normalization,Resample_14,0.55,0.4947524697524698,0.739581629864714,16.219644025102717
DodgerLoopDay,mean_normalization,Resample_15,0.475,0.46923076923076923,0.6926877759539897,18.922918029286503
DodgerLoopDay,mean_normalization,Resample_16,0.5125,0.521006771006771,0.7134377276389289,17.571281027194612
DodgerLoopDay,mean_normalization,Resample_17,0.45,0.43729128014842306,0.6779340581851299,19.824009364014433
DodgerLoopDay,mean_normalization,Resample_18,0.525,0.5147741147741148,0.7252571619356172,17.120735359830647
DodgerLoopDay,mean_normalization,Resample_19,0.45,0.46486549165120594,0.6884351960850854,19.824009364014433
DodgerLoopDay,mean_normalization,Resample_20,0.5625,0.5565934065934066,0.74571306783583,15.769098357738756
DodgerLoopDay,mean_normalization,Resample_21,0.5375,0.5454545454545455,0.7301443095083588,16.670189692466682
DodgerLoopDay,mean_normalization,Resample_22,0.5375,0.5344116409905884,0.7346762703187102,16.670189692466682
DodgerLoopDay,mean_normalization,Resample_23,0.5,0.49047182975754405,0.7036659383496552,18.021826694558577
DodgerLoopDay,mean_normalization,Resample_24,0.55,0.5201401772830344,0.7416605371477882,16.219644025102717
DodgerLoopDay,mean_normalization,Resample_25,0.55,0.5302197802197802,0.741006561418895,16.219644025102717
DodgerLoopDay,mean_normalization,Resample_26,0.4875,0.5601666307548661,0.7056514554412388,18.472372361922538
DodgerLoopDay,mean_normalization,Resample_27,0.475,0.48968491825634686,0.6892297683214502,18.922918029286503
DodgerLoopDay,mean_normalization,Resample_28,0.5125,0.49246685853828703,0.7142217868472085,17.571281027194612
DodgerLoopDay,mean_normalization,Resample_29,0.4375,0.4601113172541744,0.6695982076453724,20.274555031378394
GesturePebbleZ1,mean_normalization,Resample_0,0.8372093023255814,0.8364140773208719,0.9032796635406425,5.867571481949304
GesturePebbleZ1,mean_normalization,Resample_1,0.8023255813953488,0.8154785130328609,0.8832834741453947,7.124908228081297
GesturePebbleZ1,mean_normalization,Resample_2,0.8546511627906976,0.8498456790123456,0.9121654111511819,5.238903108883307
GesturePebbleZ1,mean_normalization,Resample_3,0.9186046511627907,0.9199271420037549,0.9515277447409554,2.9337857409746517
GesturePebbleZ1,mean_normalization,Resample_4,0.877906976744186,0.8788608079280312,0.9276990019496424,4.400678611461978
GesturePebbleZ1,mean_normalization,Resample_5,0.8430232558139535,0.8414867149906082,0.9060258504907505,5.658015357593971
