Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,median_normalization,Resample_0,0.5,0.49655344655344663,0.7073364907286729,18.021826694558577
DodgerLoopDay,median_normalization,Resample_1,0.3875,0.38147804576376,0.6449365099823291,22.07673770083425
DodgerLoopDay,median_normalization,Resample_2,0.4125,0.38265306122448983,0.6602437417654808,21.175646366106328
DodgerLoopDay,median_normalization,Resample_3,0.4125,0.4132859204287776,0.6582198338434135,21.175646366106328
DodgerLoopDay,median_normalization,Resample_4,0.275,0.269005994005994,0.5755563491807145,26.131648707109935
DodgerLoopDay,median_normalization,Resample_5,0.375,0.38122274550845975,0.6420307500058393,22.52728336819822
DodgerLoopDay,median_normalization,Resample_6,0.4625,0.4186891539832716,0.6902553643017597,19.373463696650468
DodgerLoopDay,median_normalization,Resample_7,0.3625,0.36785278213849637,0.6342129505690327,22.977829035562184
DodgerLoopDay,median_normalization,Resample_8,0.3375,0.3605109176537748,0.6140710249714155,23.87892037029011
DodgerLoopDay,median_normalization,Resample_9,0.3625,0.42762951334379906,0.6245648381469276,22.977829035562184
DodgerLoopDay,median_normalization,Resample_10,0.475,0.48352718709861564,0.6937432520252118,18.922918029286503
DodgerLoopDay,median_normalization,Resample_11,0.45,0.44058322629751207,0.6802343862446164,19.824009364014433
DodgerLoopDay,median_normalization,Resample_12,0.425,0.44207459207459215,0.6609315666157192,20.72510069874236
DodgerLoopDay,median_normalization,Resample_13,0.425,0.3897269397269397,0.6663314000556815,20.72510069874236
DodgerLoopDay,median_normalization,Resample_14,0.45,0.4065573315573316,0.6857939476155424,19.824009364014433
DodgerLoopDay,median_normalization,Resample_15,0.35,0.3428737928737929,0.6205409288958933,23.428374702926146
DodgerLoopDay,median_normalization,Resample_16,0.4,0.4182928182928182,0.6494859414029817,21.62619203347029
DodgerLoopDay,median_normalization,Resample_17,0.375,0.37548958977530406,0.6389192456859327,22.52728336819822
DodgerLoopDay,median_normalization,Resample_18,0.475,0.4590964590964591,0.6963661689186921,18.922918029286503
DodgerLoopDay,median_normalization,Resample_19,0.375,0.3891465677179963,0.6467993737021643,22.52728336819822
DodgerLoopDay,median_normalization,Resample_20,0.375,0.37259407259407257,0.6374314943368652,22.52728336819822
DodgerLoopDay,median_normalization,Resample_21,0.375,0.38401598401598397,0.6343144525818115,22.52728336819822
DodgerLoopDay,median_normalization,Resample_22,0.525,0.5208988380041012,0.7268651322593568,17.120735359830647
DodgerLoopDay,median_normalization,Resample_23,0.425,0.42726321297749864,0.660943403836076,20.72510069874236
DodgerLoopDay,median_normalization,Resample_24,0.45,0.4418367346938776,0.6838868199047652,19.824009364014433
DodgerLoopDay,median_normalization,Resample_25,0.475,0.46050061050061053,0.7002118335731957,18.922918029286503
DodgerLoopDay,median_normalization,Resample_26,0.45,0.47133520074696544,0.6804729966806906,19.824009364014433
DodgerLoopDay,median_normalization,Resample_27,0.375,0.39803054088768375,0.635560991457565,22.52728336819822
DodgerLoopDay,median_normalization,Resample_28,0.4375,0.4253335949764521,0.6747051580188617,20.274555031378394
