Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,median_normalization,Resample_0,0.525,0.5174492174492175,0.7221521184723076,17.120735359830647
DodgerLoopDay,median_normalization,Resample_1,0.4625,0.451948051948052,0.6898957991797656,19.373463696650468
DodgerLoopDay,median_normalization,Resample_2,0.5375,0.4930426716141002,0.7330643390425999,16.670189692466682
DodgerLoopDay,median_normalization,Resample_3,0.525,0.5248196248196249,0.7259652896447536,17.120735359830647
DodgerLoopDay,median_normalization,Resample_4,0.5,0.46421078921078923,0.7086489930503559,18.021826694558577
DodgerLoopDay,median_normalization,Resample_5,0.525,0.5471742543171114,0.7301496791695447,17.120735359830647
DodgerLoopDay,median_normalization,Resample_6,0.55,0.5153278094454565,0.7363079958807071,16.219644025102717
DodgerLoopDay,median_normalization,Resample_7,0.525,0.5056776556776558,0.7271526744739595,17.120735359830647
DodgerLoopDay,median_normalization,Resample_8,0.55,0.5689810189810189,0.7352814801684431,16.219644025102717
DodgerLoopDay,median_normalization,Resample_9,0.45,0.5178963893249607,0.6751612069522517,19.824009364014433
DodgerLoopDay,median_normalization,Resample_10,0.5,0.5082025117739403,0.7102964263006444,18.021826694558577
DodgerLoopDay,median_normalization,Resample_11,0.6875,0.676221397649969,0.8188407201710252,11.26364168409911
DodgerLoopDay,median_normalization,Resample_12,0.4625,0.4796065046065046,0.6842613588435199,19.373463696650468
DodgerLoopDay,median_normalization,Resample_13,0.5875,0.54248667998668,0.7574548481480214,14.868007023010824
DodgerLoopDay,median_normalization,Resample_14,0.5625,0.5168109668109668,0.7485703645713837,15.769098357738752
DodgerLoopDay,median_normalization,Resample_15,0.4625,0.45457875457875463,0.6853409241697977,19.373463696650468
DodgerLoopDay,median_normalization,Resample_16,0.5,0.504051504051504,0.7068657779287207,18.021826694558577
DodgerLoopDay,median_normalization,Resample_17,0.5,0.4769119769119769,0.7077998649645924,18.021826694558577
DodgerLoopDay,median_normalization,Resample_18,0.6,0.5801587301587301,0.7690641213390969,14.41746135564686
DodgerLoopDay,median_normalization,Resample_19,0.4875,0.4858920841063698,0.709221380883107,18.472372361922538
DodgerLoopDay,median_normalization,Resample_20,0.525,0.5253080253080252,0.7245981001096091,17.120735359830647
