Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,min_max_scaling,Resample_0,0.2625,0.2738095238095238,0.5009100437709153,1.83667148143832
DodgerLoopDay,min_max_scaling,Resample_1,0.3625,0.32838589981447125,0.7904902773824485,1.4682265356055848
DodgerLoopDay,min_max_scaling,Resample_2,0.3125,0.2857142857142857,0.7496232707509882,1.7096352979961982
DodgerLoopDay,min_max_scaling,Resample_3,0.2,0.22619047619047622,0.6656307434171728,1.7390386347342581
DodgerLoopDay,min_max_scaling,Resample_4,0.35,0.307026307026307,0.7388382546045758,1.54344858649068
DodgerLoopDay,min_max_scaling,Resample_5,0.3625,0.4024943310657596,0.8488763696493752,1.3766620074809186
DodgerLoopDay,min_max_scaling,Resample_6,0.4875,0.481778025895673,0.8012215094292781,1.4574231094149699
DodgerLoopDay,min_max_scaling,Resample_7,0.3875,0.38478981336124185,0.830638907908033,1.483897672518412
DodgerLoopDay,min_max_scaling,Resample_8,0.4,0.40476190476190477,0.6707399542869494,1.4207778642866908
DodgerLoopDay,min_max_scaling,Resample_9,0.3,0.37080062794348506,0.6294817632616141,1.6492862003212678
DodgerLoopDay,min_max_scaling,Resample_10,0.3625,0.3954045954045954,0.8350883668660275,1.4012077083714594
DodgerLoopDay,min_max_scaling,Resample_11,0.25,0.24945054945054945,0.6795271353482695,1.7839868913224208
DodgerLoopDay,min_max_scaling,Resample_12,0.1375,0.18181818181818182,0.4105941471671278,1.812997342753473
DodgerLoopDay,min_max_scaling,Resample_13,0.3125,0.273489010989011,0.7245669029550145,1.7156434727800676
DodgerLoopDay,min_max_scaling,Resample_14,0.3625,0.34624542124542124,0.7187915031649265,1.5675281324801762
DodgerLoopDay,min_max_scaling,Resample_15,0.25,0.24913419913419912,0.6924520176337893,1.679120535718134
DodgerLoopDay,min_max_scaling,Resample_16,0.4,0.4529082029082029,0.7807111107135116,1.4999863073835205
DodgerLoopDay,min_max_scaling,Resample_17,0.3875,0.41240981240981245,0.7596840496205163,1.4861392709852246
DodgerLoopDay,min_max_scaling,Resample_18,0.3625,0.36507936507936506,0.767252717357702,1.5935108262485005
DodgerLoopDay,min_max_scaling,Resample_19,0.2875,0.35064935064935066,0.7455806457863314,1.6929841369429113
DodgerLoopDay,min_max_scaling,Resample_20,0.1875,0.17082917082917085,0.6820014798586536,1.7049530814360074
DodgerLoopDay,min_max_scaling,Resample_21,0.2625,0.2857142857142857,0.5804043447359476,1.8026724342657097
DodgerLoopDay,min_max_scaling,Resample_22,0.375,0.40185691501480975,0.7734712352821502,1.3777449731671287
DodgerLoopDay,min_max_scaling,Resample_23,0.4,0.3880952380952381,0.6510364570003538,1.6635021313666005
DodgerLoopDay,min_max_scaling,Resample_24,0.3625,0.3565759637188209,0.7225278942137532,1.656494171913182
DodgerLoopDay,min_max_scaling,Resample_25,0.2625,0.2833333333333333,0.6925270160335282,1.6953464672198515
DodgerLoopDay,min_max_scaling,Resample_26,0.3625,0.42007469654528473,0.77733837949415,1.4555943179953434
DodgerLoopDay,min_max_scaling,Resample_27,0.3375,0.3766233766233767,0.7681188172730957,1.4928270019220335
DodgerLoopDay,min_max_scaling,Resample_28,0.4375,0.5127551020408163,0.8203112328290179,1.535060745355778
DodgerLoopDay,min_max_scaling,Resample_29,0.3625,0.4043956043956044,0.8086552568683609,1.463523609022771
GesturePebbleZ1,min_max_scaling,Resample_0,0.5116279069767442,0.508236048333147,0.8670368335766506,1.2686131864408017
GesturePebbleZ1,min_max_scaling,Resample_1,0.5930232558139535,0.6232242395285873,0.8851940764387487,1.1871786929511636
GesturePebbleZ1,min_max_scaling,Resample_2,0.5174418604651163,0.5253036638789327,0.8129718253753637,1.3560878418495252
GesturePebbleZ1,min_max_scaling,Resample_3,0.26744186046511625,0.26737213403880067,0.707958123221478,1.6636854038685103
GesturePebbleZ1,min_max_scaling,Resample_4,0.4883720930232558,0.5199975840426014,0.7758637608001707,1.4009705845477354
GesturePebbleZ1,min_max_scaling,Resample_5,0.6162790697674418,0.6280085320685987,0.9167405901707095,1.0120097593705155
GesturePebbleZ1,min_max_scaling,Resample_6,0.5232558139534884,0.5427632659178178,0.888523499237953,1.1738211996065837
GesturePebbleZ1,min_max_scaling,Resample_7,0.5174418604651163,0.5183695189442316,0.8457468234124462,1.2515230649533755
GesturePebbleZ1,min_max_scaling,Resample_8,0.42441860465116277,0.42715547736006193,0.8367444416616385,1.364137032615329
GesturePebbleZ1,min_max_scaling,Resample_9,0.5465116279069767,0.5665845648604269,0.8405084065492114,1.301646383562327
GesturePebbleZ1,min_max_scaling,Resample_10,0.48255813953488375,0.4782236154649948,0.8209223163151147,1.417868852995345
GesturePebbleZ1,min_max_scaling,Resample_11,0.5232558139534884,0.5530352714260761,0.9198240155481853,1.2498551690519129
GesturePebbleZ1,min_max_scaling,Resample_12,0.5872093023255814,0.5856508672764208,0.8775280994800441,1.2325619613325578
GesturePebbleZ1,min_max_scaling,Resample_13,0.37209302325581395,0.39018319394663487,0.7641096804272415,1.4601753620535802
GesturePebbleZ1,min_max_scaling,Resample_14,0.5872093023255814,0.6035858585858586,0.8903394151479919,1.2552471092339155
GesturePebbleZ1,min_max_scaling,Resample_15,0.4127906976744186,0.4596842203898051,0.7655262687442335,1.5047980578957774
GesturePebbleZ1,min_max_scaling,Resample_16,0.5,0.5028640287084654,0.885389027830519,1.1185656746132415
GesturePebbleZ1,min_max_scaling,Resample_17,0.48255813953488375,0.5101988135321468,0.8897212845657317,1.2246037490916424
GesturePebbleZ1,min_max_scaling,Resample_18,0.5174418604651163,0.5190540890269152,0.882391396409479,1.2406500543014851
GesturePebbleZ1,min_max_scaling,Resample_19,0.5697674418604651,0.5947218490321938,0.8860355096179793,1.1918890343896895
GesturePebbleZ1,min_max_scaling,Resample_20,0.5406976744186046,0.549849037456796,0.8665237949813984,1.248101849116931
GesturePebbleZ1,min_max_scaling,Resample_21,0.4186046511627907,0.4118747153229912,0.8265935525633482,1.4160076504735255
GesturePebbleZ1,min_max_scaling,Resample_22,0.6046511627906976,0.6176830566198382,0.9022557711228166,1.1878988793710545
GesturePebbleZ1,min_max_scaling,Resample_23,0.5348837209302325,0.5361662257495591,0.8250387336941545,1.3691868507340488
GesturePebbleZ1,min_max_scaling,Resample_24,0.43023255813953487,0.44875050875050876,0.8537203546231174,1.3289535252265334
GesturePebbleZ1,min_max_scaling,Resample_25,0.4186046511627907,0.43896521316061543,0.8031455476278343,1.4654695466112937
GesturePebbleZ1,min_max_scaling,Resample_26,0.42441860465116277,0.4168650793650794,0.7828630053419194,1.5712697409257086
GesturePebbleZ1,min_max_scaling,Resample_27,0.5930232558139535,0.5978885016366277,0.9006462459272744,1.223761262987312
