Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,min_max_scaling,Resample_0,0.5,0.49655344655344663,0.7082080918025874,18.021826694558577
DodgerLoopDay,min_max_scaling,Resample_1,0.2625,0.24427952999381566,0.5751794296323232,26.582194374473897
DodgerLoopDay,min_max_scaling,Resample_2,0.4125,0.3715213358070501,0.6611220904699164,21.175646366106328
DodgerLoopDay,min_max_scaling,Resample_3,0.3375,0.34314098599812887,0.6153953132875432,23.87892037029011
DodgerLoopDay,min_max_scaling,Resample_4,0.325,0.31825674325674325,0.6066294617149677,24.329466037654075
DodgerLoopDay,min_max_scaling,Resample_5,0.3625,0.36943136228850515,0.6337855529073734,22.977829035562184
DodgerLoopDay,min_max_scaling,Resample_6,0.475,0.42643141172552934,0.6979723814568806,18.922918029286503
DodgerLoopDay,min_max_scaling,Resample_7,0.3875,0.37872841444270017,0.647383678183181,22.07673770083425
DodgerLoopDay,min_max_scaling,Resample_8,0.3625,0.37845249988107127,0.6290849749021132,22.977829035562184
DodgerLoopDay,min_max_scaling,Resample_9,0.3375,0.39497645211930926,0.608131420817988,23.87892037029011
DodgerLoopDay,min_max_scaling,Resample_10,0.4375,0.45091694020265455,0.6709500212095929,20.274555031378394
DodgerLoopDay,min_max_scaling,Resample_11,0.4125,0.39272869987155706,0.6581564682978969,21.175646366106328
DodgerLoopDay,min_max_scaling,Resample_12,0.3375,0.3672882672882673,0.6097078592990258,23.87892037029011
DodgerLoopDay,min_max_scaling,Resample_13,0.4125,0.36764069264069266,0.6597436085054538,21.175646366106328
DodgerLoopDay,min_max_scaling,Resample_14,0.4125,0.37993950493950496,0.6596569416331597,21.175646366106328
DodgerLoopDay,min_max_scaling,Resample_15,0.325,0.3207292707292707,0.604251668220825,24.329466037654075
DodgerLoopDay,min_max_scaling,Resample_16,0.3875,0.40588300588300585,0.6431716275574189,22.07673770083425
DodgerLoopDay,min_max_scaling,Resample_17,0.35,0.35145330859616575,0.6236975720747918,23.428374702926146
DodgerLoopDay,min_max_scaling,Resample_18,0.4,0.3945054945054945,0.6541304013722369,21.62619203347029
DodgerLoopDay,min_max_scaling,Resample_19,0.3375,0.36386827458256027,0.6262327353878654,23.87892037029011
DodgerLoopDay,min_max_scaling,Resample_20,0.4125,0.3988511488511488,0.657577839701747,21.175646366106328
DodgerLoopDay,min_max_scaling,Resample_21,0.45,0.4645354645354645,0.6798430209202435,19.824009364014433
DodgerLoopDay,min_max_scaling,Resample_22,0.4625,0.47499342762500657,0.6893926338037304,19.373463696650468
DodgerLoopDay,min_max_scaling,Resample_23,0.425,0.41461276818419673,0.6620236753838629,20.72510069874236
DodgerLoopDay,min_max_scaling,Resample_24,0.4375,0.42524221809936086,0.674196256075215,20.274555031378394
DodgerLoopDay,min_max_scaling,Resample_25,0.4625,0.45622710622710627,0.6922797744119882,19.373463696650468
DodgerLoopDay,min_max_scaling,Resample_26,0.375,0.42384543561014143,0.6374519126148304,22.52728336819822
DodgerLoopDay,min_max_scaling,Resample_27,0.4,0.418866847438276,0.6469119220465063,21.62619203347029
DodgerLoopDay,min_max_scaling,Resample_28,0.45,0.4477258852258852,0.6768913159142023,19.824009364014433
DodgerLoopDay,min_max_scaling,Resample_29,0.3875,0.39894867037724185,0.6411572946221246,22.07673770083425
GesturePebbleZ1,min_max_scaling,Resample_0,0.4418604651162791,0.4427960263020052,0.6663671322243537,20.117387938111897
GesturePebbleZ1,min_max_scaling,Resample_1,0.47674418604651164,0.4745819397993311,0.6864281935544104,18.860051191979906
GesturePebbleZ1,min_max_scaling,Resample_2,0.4883720930232558,0.5010404221425727,0.6935053105144454,18.440938943269238
GesturePebbleZ1,min_max_scaling,Resample_3,0.5523255813953488,0.5649143767423337,0.7315255943317992,16.135821575360588
GesturePebbleZ1,min_max_scaling,Resample_4,0.48255813953488375,0.4924749533166565,0.6950695198480568,18.650495067624576
GesturePebbleZ1,min_max_scaling,Resample_5,0.5,0.5034830316142885,0.7000911910282674,18.021826694558577
GesturePebbleZ1,min_max_scaling,Resample_6,0.47674418604651164,0.4800293998759282,0.6862770939408046,18.860051191979903
GesturePebbleZ1,min_max_scaling,Resample_7,0.5,0.5024144012649759,0.6992699485232268,18.021826694558577
GesturePebbleZ1,min_max_scaling,Resample_8,0.5465116279069767,0.5432308943783567,0.7284484783983389,16.345377699715918
GesturePebbleZ1,min_max_scaling,Resample_9,0.5,0.4910816912972085,0.7007427724556997,18.021826694558577
GesturePebbleZ1,min_max_scaling,Resample_10,0.5290697674418605,0.5321833721833721,0.7167237461155299,16.974046072781913
GesturePebbleZ1,min_max_scaling,Resample_11,0.5116279069767442,0.5233774134636203,0.7109172418016378,17.602714445847912
GesturePebbleZ1,min_max_scaling,Resample_12,0.48255813953488375,0.48918288940426824,0.6908116049316725,18.650495067624572
GesturePebbleZ1,min_max_scaling,Resample_13,0.47674418604651164,0.47491699308532825,0.6880894681464864,18.860051191979906
GesturePebbleZ1,min_max_scaling,Resample_14,0.5232558139534884,0.5495617464972303,0.7133868494237127,17.183602197137244
GesturePebbleZ1,min_max_scaling,Resample_15,0.4941860465116279,0.5038334257318515,0.6979900748021554,18.231382818913907
GesturePebbleZ1,min_max_scaling,Resample_16,0.5232558139534884,0.5230842986511522,0.716884799782031,17.183602197137247
GesturePebbleZ1,min_max_scaling,Resample_17,0.4476744186046512,0.4553727753727754,0.6728467021219064,19.907831813756566
GesturePebbleZ1,min_max_scaling,Resample_18,0.5116279069767442,0.5140418989657054,0.7077323205207879,17.602714445847912
GesturePebbleZ1,min_max_scaling,Resample_19,0.5290697674418605,0.5185662039110315,0.7182619647809747,16.974046072781913
GesturePebbleZ1,min_max_scaling,Resample_20,0.5465116279069767,0.5439209975847906,0.7272532621829212,16.345377699715918
GesturePebbleZ1,min_max_scaling,Resample_21,0.5697674418604651,0.5697039359108325,0.7430671176168204,15.507153202294587
GesturePebbleZ1,min_max_scaling,Resample_22,0.46511627906976744,0.4733967341725962,0.6809851002295221,19.27916344069057
GesturePebbleZ1,min_max_scaling,Resample_23,0.5930232558139535,0.5936452821869489,0.7561036718394659,14.668928704873258
GesturePebbleZ1,min_max_scaling,Resample_24,0.5406976744186046,0.5535031635031634,0.7252628068349493,16.55493382407125
GesturePebbleZ1,min_max_scaling,Resample_25,0.45930232558139533,0.4698704615945996,0.6743945812736041,19.4887195650459
GesturePebbleZ1,min_max_scaling,Resample_26,0.5116279069767442,0.5131448412698413,0.7068535462021377,17.602714445847912
GesturePebbleZ1,min_max_scaling,Resample_27,0.45930232558139533,0.4636921257985726,0.6752307605514184,19.4887195650459
GesturePebbleZ1,min_max_scaling,Resample_28,0.48255813953488375,0.511137293395358,0.6935553963319192,18.650495067624572
GesturePebbleZ1,min_max_scaling,Resample_29,0.4883720930232558,0.49990767402532105,0.6946753355499564,18.440938943269238
GunPointAgeSpan,min_max_scaling,Resample_0,0.9556962025316456,0.9560897435897436,0.9560897435897436,1.5968707197710132
GunPointAgeSpan,min_max_scaling,Resample_1,0.939873417721519,0.9399118413143659,0.9399118413143659,2.1671816911178037
GunPointAgeSpan,min_max_scaling,Resample_2,0.9525316455696202,0.9524696550895325,0.9524696550895325,1.7109329140403713
GunPointAgeSpan,min_max_scaling,Resample_3,0.9462025316455697,0.9470800722456352,0.9470800722456352,1.9390573025790874
GunPointAgeSpan,min_max_scaling,Resample_4,0.9525316455696202,0.9528150671208175,0.9528150671208175,1.7109329140403713
GunPointAgeSpan,min_max_scaling,Resample_5,0.9588607594936709,0.959026247245041,0.959026247245041,1.4828085255016552
GunPointAgeSpan,min_max_scaling,Resample_6,0.939873417721519,0.9398585379576417,0.9398585379576417,2.1671816911178037
GunPointAgeSpan,min_max_scaling,Resample_7,0.9556962025316456,0.9560527687557641,0.9560527687557642,1.5968707197710132
GunPointAgeSpan,min_max_scaling,Resample_8,0.9335443037974683,0.9342231842231843,0.9342231842231843,2.3953060796565198
GunPointAgeSpan,min_max_scaling,Resample_9,0.9715189873417721,0.9715544871794872,0.9715544871794871,1.0265597484242228
GunPointAgeSpan,min_max_scaling,Resample_10,0.9493670886075949,0.9508433734939759,0.950843373493976,1.8249951083097293
GunPointAgeSpan,min_max_scaling,Resample_11,0.9683544303797469,0.9690308087291399,0.9690308087291399,1.140621942693581
GunPointAgeSpan,min_max_scaling,Resample_12,0.9620253164556962,0.9619506321493076,0.9619506321493076,1.368746331232297
GunPointAgeSpan,min_max_scaling,Resample_13,0.9462025316455697,0.9460483579935042,0.9460483579935042,1.9390573025790874
GunPointAgeSpan,min_max_scaling,Resample_14,0.930379746835443,0.9314826700898589,0.9314826700898587,2.5093682739258774
GunPointAgeSpan,min_max_scaling,Resample_15,0.939873417721519,0.9403044871794872,0.9403044871794872,2.1671816911178032
GunPointAgeSpan,min_max_scaling,Resample_16,0.9556962025316456,0.9554397916249249,0.9554397916249249,1.5968707197710132
GunPointAgeSpan,min_max_scaling,Resample_17,0.9556962025316456,0.9553281155930162,0.9553281155930162,1.5968707197710132
GunPointAgeSpan,min_max_scaling,Resample_18,0.9556962025316456,0.9574914297237346,0.9574914297237346,1.5968707197710132
GunPointAgeSpan,min_max_scaling,Resample_19,0.9367088607594937,0.9366860348627529,0.9366860348627531,2.2812438853871613
GunPointAgeSpan,min_max_scaling,Resample_20,0.930379746835443,0.9299618703592214,0.9299618703592214,2.5093682739258774
GunPointAgeSpan,min_max_scaling,Resample_21,0.9556962025316456,0.9552508119812342,0.9552508119812342,1.5968707197710132
GunPointAgeSpan,min_max_scaling,Resample_22,0.9367088607594937,0.9375100401606427,0.9375100401606425,2.2812438853871613
GunPointAgeSpan,min_max_scaling,Resample_23,0.9525316455696202,0.952724358974359,0.952724358974359,1.7109329140403713
GunPointAgeSpan,min_max_scaling,Resample_24,0.9588607594936709,0.9588607594936709,0.9588607594936709,1.4828085255016552
GunPointAgeSpan,min_max_scaling,Resample_25,0.9556962025316456,0.9566370614475747,0.9566370614475747,1.5968707197710132
GunPointAgeSpan,min_max_scaling,Resample_26,0.9430379746835443,0.9430014430014431,0.9430014430014431,2.053119496848445
GunPointAgeSpan,min_max_scaling,Resample_27,0.939873417721519,0.9402008032128514,0.9402008032128514,2.1671816911178037
GunPointAgeSpan,min_max_scaling,Resample_28,0.9367088607594937,0.9371492704826039,0.9371492704826038,2.2812438853871617
GunPointAgeSpan,min_max_scaling,Resample_29,0.9525316455696202,0.9524696550895325,0.9524696550895325,1.7109329140403713
MelbournePedestrian,min_max_scaling,Resample_0,0.7478474784747847,0.7475597418454561,0.8599018762777064,9.08849808704676
MelbournePedestrian,min_max_scaling,Resample_1,0.7429274292742928,0.7431699541672397,0.8572116386326617,9.265834635086696
MelbournePedestrian,min_max_scaling,Resample_2,0.7597375973759738,0.7579140577889826,0.8665747097571079,8.659934762616913
MelbournePedestrian,min_max_scaling,Resample_3,0.7437474374743748,0.7402543856175845,0.8576228546474666,9.236278543746707
MelbournePedestrian,min_max_scaling,Resample_4,0.7531775317753178,0.7537333947401275,0.8629457918974703,8.89638349333683
MelbournePedestrian,min_max_scaling,Resample_5,0.7384173841738417,0.7400898301077212,0.8546986796196145,9.42839313745664
MelbournePedestrian,min_max_scaling,Resample_6,0.7429274292742928,0.746248061758614,0.857259612121512,9.265834635086696
MelbournePedestrian,min_max_scaling,Resample_7,0.7462074620746207,0.7503430525685414,0.859115721296977,9.147610269726739
MelbournePedestrian,min_max_scaling,Resample_8,0.7453874538745388,0.7469350233074238,0.8585384172144189,9.177166361066726
MelbournePedestrian,min_max_scaling,Resample_9,0.7498974989749897,0.747995351972164,0.8611265677718305,9.014607858696786
MelbournePedestrian,min_max_scaling,Resample_10,0.7474374743747437,0.7474879287635802,0.859741129053719,9.103276132716756
MelbournePedestrian,min_max_scaling,Resample_11,0.7474374743747437,0.7481173409881375,0.8596218956276496,9.103276132716756
MelbournePedestrian,min_max_scaling,Resample_12,0.7453874538745388,0.7438820552301236,0.8584856677986972,9.17716636106673
MelbournePedestrian,min_max_scaling,Resample_13,0.7523575235752358,0.7517337762985393,0.8623479348056265,8.925939584676819
MelbournePedestrian,min_max_scaling,Resample_14,0.7412874128741287,0.7431209973516514,0.8562961761230925,9.324946817766676
MelbournePedestrian,min_max_scaling,Resample_15,0.7716277162771628,0.7694869346167739,0.8730551625203937,8.231371438187066
MelbournePedestrian,min_max_scaling,Resample_16,0.7478474784747847,0.7474918081345214,0.8600463217511456,9.08849808704676
MelbournePedestrian,min_max_scaling,Resample_17,0.7552275522755227,0.7588896916438386,0.8640222853703576,8.822493264986855
MelbournePedestrian,min_max_scaling,Resample_18,0.7478474784747847,0.7478558616604072,0.859976697707475,9.08849808704676
MelbournePedestrian,min_max_scaling,Resample_19,0.7457974579745797,0.7475340024909224,0.8589374178935714,9.162388315396733
MelbournePedestrian,min_max_scaling,Resample_20,0.7539975399753998,0.7513488425717513,0.863339006201272,8.86682740199684
MelbournePedestrian,min_max_scaling,Resample_21,0.7474374743747437,0.7477637943815136,0.8597084621812003,9.103276132716756
MelbournePedestrian,min_max_scaling,Resample_22,0.7613776137761378,0.7593540893859496,0.8673699382774923,8.600822579936933
MelbournePedestrian,min_max_scaling,Resample_23,0.7486674866748667,0.7468064518537186,0.8603399372042312,9.058941995706771
MelbournePedestrian,min_max_scaling,Resample_24,0.7560475604756047,0.754185119829917,0.8645344543059266,8.792937173646866
MelbournePedestrian,min_max_scaling,Resample_25,0.7580975809758097,0.7568036707912482,0.8655334070641167,8.719046945296892
MelbournePedestrian,min_max_scaling,Resample_26,0.7552275522755227,0.7543010156520323,0.8640865860347826,8.822493264986855
MelbournePedestrian,min_max_scaling,Resample_27,0.7503075030750308,0.7497281157079811,0.8612712082187961,8.99982981302679
MelbournePedestrian,min_max_scaling,Resample_28,0.7527675276752768,0.7514873456534616,0.8625642273156382,8.911161539006825
MelbournePedestrian,min_max_scaling,Resample_29,0.7531775317753178,0.7516824954592446,0.8629906370151437,8.89638349333683
SmoothSubspace,min_max_scaling,Resample_0,0.7666666666666667,0.7666666666666666,0.825,8.410185790794003
SmoothSubspace,min_max_scaling,Resample_1,0.8066666666666666,0.8080691565163615,0.8551925081172086,6.968439655229316
SmoothSubspace,min_max_scaling,Resample_2,0.78,0.7901770936775901,0.8363742177343774,7.929603745605773
SmoothSubspace,min_max_scaling,Resample_3,0.78,0.7779088176459892,0.8356154170994671,7.929603745605773
SmoothSubspace,min_max_scaling,Resample_4,0.8066666666666666,0.8043270641589969,0.8548424842484248,6.968439655229316
SmoothSubspace,min_max_scaling,Resample_5,0.8,0.7972735339194966,0.8513228043452118,7.2087306778234295
SmoothSubspace,min_max_scaling,Resample_6,0.8133333333333334,0.8080637788712323,0.8600813725097206,6.728148632635202
