Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,min_max_scaling,Resample_0,0.55,0.5412587412587413,0.7372940740215619,16.219644025102717
DodgerLoopDay,min_max_scaling,Resample_1,0.4875,0.4579571222428365,0.7047457508477281,18.472372361922538
DodgerLoopDay,min_max_scaling,Resample_2,0.475,0.42602040816326525,0.6974363197189284,18.922918029286503
DodgerLoopDay,min_max_scaling,Resample_3,0.525,0.5253246753246753,0.7260780797315864,17.120735359830647
DodgerLoopDay,min_max_scaling,Resample_4,0.5,0.46155511155511153,0.7085665514645931,18.021826694558577
DodgerLoopDay,min_max_scaling,Resample_5,0.475,0.4822257107971394,0.700093603987865,18.922918029286503
DodgerLoopDay,min_max_scaling,Resample_6,0.5625,0.5070909482674189,0.7451250619901411,15.769098357738756
DodgerLoopDay,min_max_scaling,Resample_7,0.5375,0.5217861503575788,0.7339815183435731,16.670189692466682
DodgerLoopDay,min_max_scaling,Resample_8,0.4625,0.499000999000999,0.6863355818124377,19.373463696650468
DodgerLoopDay,min_max_scaling,Resample_9,0.4125,0.47503924646781787,0.6530231957097629,21.175646366106328
DodgerLoopDay,min_max_scaling,Resample_10,0.5125,0.5111138861138861,0.7171197349409549,17.571281027194612
DodgerLoopDay,min_max_scaling,Resample_11,0.5125,0.5025236668093811,0.7176831820569654,17.571281027194612
DodgerLoopDay,min_max_scaling,Resample_12,0.425,0.4360195360195361,0.6620344140214306,20.72510069874236
DodgerLoopDay,min_max_scaling,Resample_13,0.4875,0.44669913419913415,0.7008491741510431,18.472372361922538
DodgerLoopDay,min_max_scaling,Resample_14,0.525,0.47459484959484965,0.7281217124373891,17.120735359830643
DodgerLoopDay,min_max_scaling,Resample_15,0.4875,0.4776723276723277,0.7014360059403386,18.472372361922538
DodgerLoopDay,min_max_scaling,Resample_16,0.5375,0.5556665556665557,0.7278317974320554,16.670189692466682
DodgerLoopDay,min_max_scaling,Resample_17,0.5125,0.49540300968872397,0.7146205804809602,17.571281027194612
DodgerLoopDay,min_max_scaling,Resample_18,0.5125,0.5044566544566544,0.7189457641370611,17.571281027194612
