Dataset,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,Resample_0,0.2625,0.2738095238095238,0.51071457314269,1.8527431006087602
DodgerLoopDay,Resample_1,0.35,0.29761904761904756,0.7041005150380301,1.567430054810578
DodgerLoopDay,Resample_2,0.5125,0.5025510204081634,0.8391167105841019,1.3684194919637132
DodgerLoopDay,Resample_3,0.3625,0.35714285714285715,0.7508026768006993,1.7461577338925771
DodgerLoopDay,Resample_4,0.45,0.41232101232101226,0.8363922475219809,1.4640851953100866
DodgerLoopDay,Resample_5,0.3125,0.3722135007849293,0.8133164749654265,1.459776495097988
DodgerLoopDay,Resample_6,0.4375,0.44466317995729765,0.8340970244843955,1.4200461067839787
DodgerLoopDay,Resample_7,0.3625,0.3678266178266178,0.7000219217772916,1.6003807476593743
DodgerLoopDay,Resample_8,0.2125,0.2619047619047619,0.5845654265426744,1.8209995590215726
DodgerLoopDay,Resample_9,0.2875,0.35588697017268445,0.6405234380047813,1.6414005268173688
DodgerLoopDay,Resample_10,0.3875,0.41538461538461535,0.8096496460854021,1.3548713577509708
DodgerLoopDay,Resample_11,0.4875,0.4952380952380952,0.8233955907594588,1.5158733291126212
DodgerLoopDay,Resample_12,0.225,0.27272727272727276,0.48891323521720553,1.750579013373611
DodgerLoopDay,Resample_13,0.3375,0.37261904761904757,0.6929484677095359,1.7472337764742654
DodgerLoopDay,Resample_14,0.4,0.389024864024864,0.7559792690847268,1.5043667596297141
DodgerLoopDay,Resample_15,0.4125,0.4218614718614719,0.769008108434808,1.645687902546506
DodgerLoopDay,Resample_16,0.325,0.3756243756243756,0.8023494743925216,1.5402476440024848
DodgerLoopDay,Resample_17,0.425,0.39226963512677804,0.7774534334822147,1.4944670591666125
DodgerLoopDay,Resample_18,0.4,0.3708791208791209,0.7057986185329714,1.59277863095325
DodgerLoopDay,Resample_19,0.2125,0.27272727272727276,0.6990591644992118,1.7270109175169324
DodgerLoopDay,Resample_20,0.225,0.2163836163836164,0.6953166699840223,1.6799825845974592
