Dataset,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,Resample_0,0.4625,0.46818181818181825,0.6873155232242151,19.373463696650468
DodgerLoopDay,Resample_1,0.3875,0.38198309626881055,0.6492470387356801,22.07673770083425
DodgerLoopDay,Resample_2,0.4,0.3661873840445269,0.6547815107597715,21.62619203347029
DodgerLoopDay,Resample_3,0.3375,0.3506136720422434,0.615771615666252,23.87892037029011
DodgerLoopDay,Resample_4,0.325,0.3161505161505162,0.6076595839087728,24.329466037654075
DodgerLoopDay,Resample_5,0.475,0.486834990406419,0.6982876984506163,18.922918029286503
DodgerLoopDay,Resample_6,0.425,0.39695598519127934,0.6732553245349507,20.72510069874236
DodgerLoopDay,Resample_7,0.4375,0.4288417931275074,0.6775683512841757,20.274555031378394
DodgerLoopDay,Resample_8,0.475,0.47791969934827083,0.6913462709498515,18.922918029286503
DodgerLoopDay,Resample_9,0.3,0.3692307692307692,0.5840964011113264,25.230557372382002
DodgerLoopDay,Resample_10,0.475,0.4947481090338233,0.695078953060783,18.922918029286503
DodgerLoopDay,Resample_11,0.45,0.431558917273203,0.6796260088602724,19.824009364014433
DodgerLoopDay,Resample_12,0.3375,0.36025363525363524,0.6138545479977369,23.87892037029011
DodgerLoopDay,Resample_13,0.4,0.35552364302364303,0.6529329497114453,21.62619203347029
DodgerLoopDay,Resample_14,0.4,0.3562964812964813,0.6574026750618912,21.62619203347029
DodgerLoopDay,Resample_15,0.375,0.36998001998001995,0.6363037297982139,22.52728336819822
DodgerLoopDay,Resample_16,0.35,0.3529248529248529,0.6180634754367527,23.428374702926146
DodgerLoopDay,Resample_17,0.375,0.37810760667903526,0.6360476021223114,22.52728336819822
DodgerLoopDay,Resample_18,0.425,0.4044566544566544,0.6672831104272696,20.72510069874236
DodgerLoopDay,Resample_19,0.3875,0.38181560502989076,0.6476676352896975,22.07673770083425
DodgerLoopDay,Resample_20,0.475,0.4663836163836165,0.6932892170495712,18.922918029286503
DodgerLoopDay,Resample_21,0.3625,0.3743256743256743,0.6275949445319984,22.977829035562184
DodgerLoopDay,Resample_22,0.5,0.4979757085020243,0.7113781506545944,18.021826694558577
DodgerLoopDay,Resample_23,0.45,0.45136490493633347,0.679943579409073,19.824009364014433
DodgerLoopDay,Resample_24,0.4375,0.41108018965161824,0.6758112921375121,20.274555031378394
DodgerLoopDay,Resample_25,0.525,0.5131257631257632,0.7285328503743471,17.120735359830647
DodgerLoopDay,Resample_26,0.4625,0.5083171730230553,0.6908130370816938,19.373463696650468
DodgerLoopDay,Resample_27,0.5,0.49576613862328145,0.7056077542477448,18.021826694558577
DodgerLoopDay,Resample_28,0.4,0.34214198499912785,0.646093599948576,21.62619203347029
DodgerLoopDay,Resample_29,0.4625,0.4813163027448742,0.683349696516555,19.373463696650468
GesturePebbleZ1,Resample_0,0.872093023255814,0.8710021937955754,0.9240026188190689,4.61023473581731
GesturePebbleZ1,Resample_1,0.9011627906976745,0.9119543650793651,0.9421768082060441,3.5624541140406487
GesturePebbleZ1,Resample_2,0.9476744186046512,0.9481481481481481,0.9683577375232072,1.8860051191979905
GesturePebbleZ1,Resample_3,0.9534883720930233,0.9566308243727599,0.9727547521756342,1.6764489948426584
GesturePebbleZ1,Resample_4,0.9534883720930233,0.9546695402298851,0.9723598562129603,1.6764489948426584
GesturePebbleZ1,Resample_5,0.9127906976744186,0.9167446531962661,0.9475473520941315,3.1433418653299836
GesturePebbleZ1,Resample_6,0.9534883720930233,0.9558769002595477,0.972160782242176,1.6764489948426584
GesturePebbleZ1,Resample_7,0.9825581395348837,0.98252447850149,0.9895347707847709,0.628668373065997
