Dataset,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,Resample_0,0.45,0.45281385281385284,0.6799656267438838,19.824009364014433
DodgerLoopDay,Resample_1,0.375,0.37286126571840855,0.6417763483564995,22.52728336819822
DodgerLoopDay,Resample_2,0.4125,0.38682745825602965,0.6613965744400526,21.175646366106328
DodgerLoopDay,Resample_3,0.375,0.3911088911088911,0.6377087799992234,22.52728336819822
DodgerLoopDay,Resample_4,0.3125,0.2979104229104229,0.6012466929566216,24.78001170501804
DodgerLoopDay,Resample_5,0.475,0.49040641897784754,0.698210702478098,18.922918029286503
DodgerLoopDay,Resample_6,0.4375,0.3815498227262933,0.6781797199223963,20.274555031378394
DodgerLoopDay,Resample_7,0.4125,0.40832025117739407,0.6631909101668836,21.175646366106328
DodgerLoopDay,Resample_8,0.45,0.4511797726083441,0.6757485268354834,19.824009364014433
DodgerLoopDay,Resample_9,0.325,0.39372056514913656,0.5963810816049622,24.329466037654075
DodgerLoopDay,Resample_10,0.4625,0.47967389753104034,0.6883687154290659,19.373463696650468
DodgerLoopDay,Resample_11,0.5,0.4740759240759241,0.7091760283843348,18.021826694558577
DodgerLoopDay,Resample_12,0.35,0.38247585747585744,0.6222524785567498,23.428374702926146
DodgerLoopDay,Resample_13,0.4125,0.37565351315351314,0.6600157616144656,21.175646366106328
DodgerLoopDay,Resample_14,0.4125,0.37216949716949715,0.6646575570105882,21.175646366106328
DodgerLoopDay,Resample_15,0.375,0.36906426906426903,0.6366329659702947,22.52728336819822
DodgerLoopDay,Resample_16,0.2875,0.27933177933177933,0.5820388956950664,25.681103039745967
DodgerLoopDay,Resample_17,0.35,0.35271078128220984,0.6244264920627444,23.428374702926146
DodgerLoopDay,Resample_18,0.4375,0.42032967032967034,0.6741152799147828,20.274555031378394
DodgerLoopDay,Resample_19,0.3875,0.3925865800865801,0.6495798158149165,22.07673770083425
DodgerLoopDay,Resample_20,0.4875,0.47867132867132867,0.700221990158815,18.472372361922538
DodgerLoopDay,Resample_21,0.375,0.38931068931068935,0.6349541114304255,22.52728336819822
DodgerLoopDay,Resample_22,0.5125,0.5020965876229033,0.7187464613260616,17.571281027194612
DodgerLoopDay,Resample_23,0.4375,0.4370617477760335,0.6740522082664931,20.274555031378394
