Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,power_transform,Resample_0,0.5625,0.5583083583083583,0.8884595234914212,1.1664041293811938
DodgerLoopDay,power_transform,Resample_1,0.6375,0.6363739435168007,0.8749175993017284,1.2590449758316606
DodgerLoopDay,power_transform,Resample_2,0.6625,0.6479591836734694,0.9151117149758454,1.1162574148326498
DodgerLoopDay,power_transform,Resample_3,0.575,0.5672422815279958,0.8730296827884546,1.1751266022016575
DodgerLoopDay,power_transform,Resample_4,0.5,0.48594738594738596,0.8787615633347133,1.2387750401495714
DodgerLoopDay,power_transform,Resample_5,0.4875,0.5184283969998256,0.8863726555966283,1.1584709857677957
DodgerLoopDay,power_transform,Resample_6,0.55,0.5746998099939277,0.9258824871182805,1.128783939082759
DodgerLoopDay,power_transform,Resample_7,0.5375,0.5221175649747078,0.89180774292441,1.2059196247948942
DodgerLoopDay,power_transform,Resample_8,0.55,0.5819180819180819,0.8653876652224474,1.1944887881704411
DodgerLoopDay,power_transform,Resample_9,0.4625,0.5255886970172684,0.8211005039736383,1.2964700158647204
DodgerLoopDay,power_transform,Resample_10,0.5875,0.5920650777793635,0.9175630107508758,1.1072242388777582
DodgerLoopDay,power_transform,Resample_11,0.5625,0.5410208838780267,0.8835974403772482,1.1535350942954055
DodgerLoopDay,power_transform,Resample_12,0.5625,0.5702075702075702,0.872912310979,1.2296377481148388
DodgerLoopDay,power_transform,Resample_13,0.575,0.5758699633699634,0.8994908491720477,1.1169600160223185
DodgerLoopDay,power_transform,Resample_14,0.6625,0.599025974025974,0.9291868129782651,1.0751681006200764
DodgerLoopDay,power_transform,Resample_15,0.6125,0.6100899100899101,0.8923334801149533,1.1196186357481035
DodgerLoopDay,power_transform,Resample_16,0.4375,0.48593073593073594,0.8273865961194407,1.2936699289595843
DodgerLoopDay,power_transform,Resample_17,0.55,0.5403628117913832,0.8956678792732069,1.117014286948367
DodgerLoopDay,power_transform,Resample_18,0.5125,0.5006105006105007,0.8752518667757201,1.2444304375504731
DodgerLoopDay,power_transform,Resample_19,0.4875,0.5080009276437848,0.8665915018818238,1.2707290737991424
DodgerLoopDay,power_transform,Resample_20,0.6375,0.6345654345654346,0.9245459324222874,1.1127880900570326
DodgerLoopDay,power_transform,Resample_21,0.6125,0.6140859140859141,0.8921663035752914,1.0740353255090205
DodgerLoopDay,power_transform,Resample_22,0.4875,0.47734239444765764,0.8682006391176407,1.2792849317087298
DodgerLoopDay,power_transform,Resample_23,0.5125,0.4985435199720914,0.8844542730951384,1.238085000161044
DodgerLoopDay,power_transform,Resample_24,0.6,0.5785198928056071,0.9146290693497351,1.0969688797260155
DodgerLoopDay,power_transform,Resample_25,0.6375,0.6207570207570209,0.8961387701334637,1.1371111884642944
DodgerLoopDay,power_transform,Resample_26,0.45,0.5235365941248294,0.8443269717150315,1.2718598972269717
DodgerLoopDay,power_transform,Resample_27,0.5625,0.6086136086136086,0.8883478196475174,1.1665180217276805
DodgerLoopDay,power_transform,Resample_28,0.5375,0.5622056514913657,0.8745281196314177,1.2023166923783037
DodgerLoopDay,power_transform,Resample_29,0.5375,0.5668902526045383,0.862501868234402,1.2129593398090295
GesturePebbleZ1,power_transform,Resample_0,0.8313953488372093,0.8278917516621448,0.9849361712300319,0.5462713060443056
GesturePebbleZ1,power_transform,Resample_1,0.8081395348837209,0.8315247252747252,0.9913530741900058,0.5421686415868021
GesturePebbleZ1,power_transform,Resample_2,0.9069767441860465,0.9069693349263241,0.9904177410635163,0.4180897133162519
GesturePebbleZ1,power_transform,Resample_3,0.9244186046511628,0.9246090416453319,0.9968006334045344,0.37434822631615616
GesturePebbleZ1,power_transform,Resample_4,0.8953488372093024,0.8916668763851909,0.9918962550506422,0.41748817808920774
GesturePebbleZ1,power_transform,Resample_5,0.9186046511627907,0.9236358265390523,0.9937174397452949,0.4046225106772466
GesturePebbleZ1,power_transform,Resample_6,0.9127906976744186,0.9157980746783121,0.9928841767979101,0.4766578113338876
GesturePebbleZ1,power_transform,Resample_7,0.8662790697674418,0.8665708812260536,0.9934284959850542,0.4720489431507218
GesturePebbleZ1,power_transform,Resample_8,0.8895348837209303,0.8978981170632024,0.9902670498554448,0.47667576934434347
GesturePebbleZ1,power_transform,Resample_9,0.9302325581395349,0.9380593185550082,0.9951479163128959,0.39218851613593575
GesturePebbleZ1,power_transform,Resample_10,0.9069767441860465,0.9023548482169171,0.9917358823223928,0.39020166450308985
GesturePebbleZ1,power_transform,Resample_11,0.8953488372093024,0.9013680608508196,0.993080089843271,0.5121774057856638
GesturePebbleZ1,power_transform,Resample_12,0.8081395348837209,0.8155035909226296,0.9844759701885977,0.5218566917299406
