Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,power_transform,Resample_0,0.4375,0.4410755910755911,0.672280541028871,20.274555031378394
DodgerLoopDay,power_transform,Resample_1,0.35,0.33368377654091935,0.6239821995123239,23.428374702926146
DodgerLoopDay,power_transform,Resample_2,0.4125,0.3715213358070501,0.6620004391743521,21.175646366106328
DodgerLoopDay,power_transform,Resample_3,0.3375,0.3382395382395383,0.6151439019274252,23.87892037029011
DodgerLoopDay,power_transform,Resample_4,0.3375,0.32833000333000334,0.6155269418205059,23.87892037029011
DodgerLoopDay,power_transform,Resample_5,0.325,0.3536324786324786,0.6101126243363998,24.32946603765408
DodgerLoopDay,power_transform,Resample_6,0.3875,0.34567883097294866,0.6485830411493355,22.07673770083425
DodgerLoopDay,power_transform,Resample_7,0.4125,0.40955869527298094,0.6621934897757524,21.175646366106328
DodgerLoopDay,power_transform,Resample_8,0.425,0.44822320536606247,0.6658206213977397,20.72510069874236
DodgerLoopDay,power_transform,Resample_9,0.3625,0.43830455259026685,0.6207578988176004,22.977829035562184
DodgerLoopDay,power_transform,Resample_10,0.4625,0.4850577993435136,0.6881834124128089,19.373463696650468
DodgerLoopDay,power_transform,Resample_11,0.425,0.4004971219256933,0.6681477729431695,20.72510069874236
DodgerLoopDay,power_transform,Resample_12,0.325,0.34587634587634586,0.6042293382171833,24.329466037654075
DodgerLoopDay,power_transform,Resample_13,0.425,0.39573759573759576,0.6694967835008321,20.72510069874236
DodgerLoopDay,power_transform,Resample_14,0.3875,0.3663253413253414,0.649023753803095,22.07673770083425
DodgerLoopDay,power_transform,Resample_15,0.4,0.3943389943389943,0.6497489716197965,21.62619203347029
DodgerLoopDay,power_transform,Resample_16,0.4125,0.4284382284382284,0.6556076543021881,21.175646366106328
DodgerLoopDay,power_transform,Resample_17,0.475,0.4796330653473511,0.6970532019521609,18.922918029286503
DodgerLoopDay,power_transform,Resample_18,0.4,0.3959706959706959,0.653180054868279,21.62619203347029
DodgerLoopDay,power_transform,Resample_19,0.3625,0.3790326736755308,0.6390980953398717,22.977829035562184
DodgerLoopDay,power_transform,Resample_20,0.45,0.4425740925740925,0.6802825478017294,19.824009364014433
DodgerLoopDay,power_transform,Resample_21,0.4,0.411988011988012,0.6492490961342356,21.62619203347029
DodgerLoopDay,power_transform,Resample_22,0.3875,0.3894430131272236,0.6513955737511871,22.07673770083425
DodgerLoopDay,power_transform,Resample_23,0.375,0.38504709576138146,0.6368985623373893,22.52728336819822
DodgerLoopDay,power_transform,Resample_24,0.4625,0.4445165945165945,0.6926929441779042,19.373463696650468
DodgerLoopDay,power_transform,Resample_25,0.45,0.45702075702075706,0.6864278838425298,19.824009364014433
DodgerLoopDay,power_transform,Resample_26,0.3625,0.4170293758529052,0.6381071658347252,22.977829035562184
DodgerLoopDay,power_transform,Resample_27,0.3,0.322431536717251,0.5917858239836834,25.230557372382002
DodgerLoopDay,power_transform,Resample_28,0.45,0.41875981161695447,0.6819311021617833,19.824009364014433
DodgerLoopDay,power_transform,Resample_29,0.35,0.3766733266733267,0.6220804565988658,23.428374702926146
GesturePebbleZ1,power_transform,Resample_0,0.7790697674418605,0.7749362533914814,0.8676167642405457,7.963132725502628
GesturePebbleZ1,power_transform,Resample_1,0.8372093023255814,0.8391944709879492,0.9038550248263505,5.8675714819493034
GesturePebbleZ1,power_transform,Resample_2,0.8255813953488372,0.8308890880127439,0.8950418076928053,6.286683730659969
GesturePebbleZ1,power_transform,Resample_3,0.8837209302325582,0.8817383868123115,0.9308182976998228,4.191122487106646
GesturePebbleZ1,power_transform,Resample_4,0.8081395348837209,0.8127458215681241,0.8853936508709553,6.915352103725966
GesturePebbleZ1,power_transform,Resample_5,0.8488372093023255,0.8509075203624702,0.9090810872970804,5.44845923323864
GesturePebbleZ1,power_transform,Resample_6,0.7674418604651163,0.7713849168605661,0.8611949845509845,8.382244974213291
GesturePebbleZ1,power_transform,Resample_7,0.8313953488372093,0.8312397372742201,0.8986212623111602,6.077127606304636
GesturePebbleZ1,power_transform,Resample_8,0.7906976744186046,0.7843693068022933,0.8743812144908001,7.544020476791962
GesturePebbleZ1,power_transform,Resample_9,0.8546511627906976,0.8580562397372743,0.913966150808256,5.238903108883307
GesturePebbleZ1,power_transform,Resample_10,0.8313953488372093,0.8283431128258715,0.8988196894204933,6.077127606304636
GesturePebbleZ1,power_transform,Resample_11,0.8081395348837209,0.8150831081865565,0.8860907677380017,6.915352103725965
GesturePebbleZ1,power_transform,Resample_12,0.8372093023255814,0.832343570642116,0.9027627676721348,5.8675714819493034
GesturePebbleZ1,power_transform,Resample_13,0.8372093023255814,0.836527942525347,0.9031249851619051,5.8675714819493034
GesturePebbleZ1,power_transform,Resample_14,0.8546511627906976,0.8666959921798632,0.9121371534141767,5.2389031088833065
GesturePebbleZ1,power_transform,Resample_15,0.7848837209302325,0.7879290545145118,0.8722758238530051,7.7535766011472935
GesturePebbleZ1,power_transform,Resample_16,0.8662790697674418,0.8634256553772098,0.9201454537311831,4.819790860172643
GesturePebbleZ1,power_transform,Resample_17,0.8662790697674418,0.8679365079365079,0.9211523222102861,4.819790860172642
GesturePebbleZ1,power_transform,Resample_18,0.8255813953488372,0.8223257700825903,0.8961998916249768,6.286683730659969
GesturePebbleZ1,power_transform,Resample_19,0.8546511627906976,0.8544869881076779,0.9141955758784813,5.238903108883307
GesturePebbleZ1,power_transform,Resample_20,0.7790697674418605,0.7738951063304512,0.8676703892629781,7.963132725502628
GesturePebbleZ1,power_transform,Resample_21,0.8546511627906976,0.8476414007448491,0.9132404377167526,5.238903108883307
GesturePebbleZ1,power_transform,Resample_22,0.8023255813953488,0.8049625980660463,0.8827436898557589,7.124908228081299
GesturePebbleZ1,power_transform,Resample_23,0.813953488372093,0.8155092592592593,0.8891492633964708,6.705795979370634
GesturePebbleZ1,power_transform,Resample_24,0.8372093023255814,0.8397295297295297,0.9025216803549119,5.8675714819493034
GesturePebbleZ1,power_transform,Resample_25,0.8081395348837209,0.8182877212187556,0.8841471738911152,6.915352103725965
GesturePebbleZ1,power_transform,Resample_26,0.8197674418604651,0.8175099206349206,0.8923552199080368,6.4962398550153
GesturePebbleZ1,power_transform,Resample_27,0.8430232558139535,0.8384647503088282,0.9055528619852089,5.658015357593971
GesturePebbleZ1,power_transform,Resample_28,0.8430232558139535,0.8407370746080423,0.9057531277999071,5.658015357593971
GesturePebbleZ1,power_transform,Resample_29,0.7965116279069767,0.8047658877070641,0.8782012126884258,7.334464352436631
GunPointAgeSpan,power_transform,Resample_0,0.9272151898734177,0.9272435897435898,0.9272435897435899,2.623430468195236
GunPointAgeSpan,power_transform,Resample_1,0.9018987341772152,0.9020436786215187,0.9020436786215187,3.5359280223501
GunPointAgeSpan,power_transform,Resample_2,0.9145569620253164,0.9146937467451829,0.9146937467451829,3.0796792452726685
