Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,power_transform,Resample_0,0.6,0.5959706959706959,0.7669189674571969,14.41746135564686
DodgerLoopDay,power_transform,Resample_1,0.475,0.48647701504844365,0.6974813631575632,18.922918029286503
DodgerLoopDay,power_transform,Resample_2,0.5375,0.49791280148423006,0.7330368906455863,16.670189692466682
DodgerLoopDay,power_transform,Resample_3,0.5,0.5053272124700696,0.7111499268799293,18.021826694558577
DodgerLoopDay,power_transform,Resample_4,0.4625,0.44516317016317014,0.6899127509870152,19.373463696650468
DodgerLoopDay,power_transform,Resample_5,0.5125,0.5216640502354789,0.7206348372156655,17.571281027194612
DodgerLoopDay,power_transform,Resample_6,0.5625,0.5470460911637383,0.7459249385057483,15.769098357738756
DodgerLoopDay,power_transform,Resample_7,0.525,0.5090790162218735,0.7266319027850023,17.120735359830647
DodgerLoopDay,power_transform,Resample_8,0.55,0.5786546786546786,0.7381967541917757,16.219644025102717
DodgerLoopDay,power_transform,Resample_9,0.4625,0.5161695447409733,0.6804354849130969,19.373463696650468
DodgerLoopDay,power_transform,Resample_10,0.5,0.5151562722991294,0.7111529567483494,18.021826694558577
DodgerLoopDay,power_transform,Resample_11,0.5875,0.5817753674896532,0.7617229105080767,14.868007023010824
DodgerLoopDay,power_transform,Resample_12,0.4375,0.46252636252636253,0.6712627065094046,20.274555031378394
DodgerLoopDay,power_transform,Resample_13,0.625,0.583462370962371,0.7822740283237312,13.51637002091893
DodgerLoopDay,power_transform,Resample_14,0.525,0.5074370074370075,0.7266016130114575,17.120735359830647
DodgerLoopDay,power_transform,Resample_15,0.55,0.5478021978021977,0.7375704597218512,16.219644025102717
DodgerLoopDay,power_transform,Resample_16,0.5125,0.5146575646575646,0.7149530208323898,17.571281027194612
DodgerLoopDay,power_transform,Resample_17,0.525,0.5219336219336219,0.729044317593001,17.120735359830643
DodgerLoopDay,power_transform,Resample_18,0.5875,0.586080586080586,0.7621313482298533,14.868007023010824
DodgerLoopDay,power_transform,Resample_19,0.4875,0.5096500721500722,0.7111012055873902,18.472372361922538
DodgerLoopDay,power_transform,Resample_20,0.575,0.5721778221778221,0.7540098648154915,15.31855269037479
DodgerLoopDay,power_transform,Resample_21,0.5625,0.5741258741258741,0.7448533728871173,15.769098357738756
DodgerLoopDay,power_transform,Resample_22,0.5875,0.5857616068142384,0.7633891110448541,14.868007023010824
DodgerLoopDay,power_transform,Resample_23,0.525,0.5182496075353218,0.7237105691678829,17.120735359830647
DodgerLoopDay,power_transform,Resample_24,0.575,0.56142032570604,0.7592714072582721,15.31855269037479
DodgerLoopDay,power_transform,Resample_25,0.525,0.5224053724053724,0.7299427041074026,17.120735359830647
DodgerLoopDay,power_transform,Resample_26,0.55,0.6240680887739712,0.7437665400351967,16.219644025102717
DodgerLoopDay,power_transform,Resample_27,0.4875,0.5141128712557285,0.6995322474638997,18.472372361922538
DodgerLoopDay,power_transform,Resample_28,0.4625,0.4572213500784929,0.6855778855708304,19.373463696650468
DodgerLoopDay,power_transform,Resample_29,0.5125,0.5446315589172731,0.7149558562578902,17.571281027194612
GesturePebbleZ1,power_transform,Resample_0,0.8953488372093024,0.891913846317582,0.9377045721080676,3.772010238395981
GesturePebbleZ1,power_transform,Resample_1,0.9127906976744186,0.9241071428571428,0.9492507125126414,3.1433418653299836
GesturePebbleZ1,power_transform,Resample_2,0.9476744186046512,0.9450617283950619,0.9682848866247129,1.8860051191979905
GesturePebbleZ1,power_transform,Resample_3,0.9651162790697675,0.9672043010752689,0.9793519394512772,1.257336746131994
GesturePebbleZ1,power_transform,Resample_4,0.9651162790697675,0.963854634863272,0.979307438663695,1.2573367461319938
GesturePebbleZ1,power_transform,Resample_5,0.9534883720930233,0.9548599787309465,0.9720006264016756,1.6764489948426584
GesturePebbleZ1,power_transform,Resample_6,0.9534883720930233,0.9561927518916766,0.9722156303010813,1.6764489948426584
GesturePebbleZ1,power_transform,Resample_7,0.9593023255813954,0.9597701149425287,0.9755730380730381,1.466892870487326
GesturePebbleZ1,power_transform,Resample_8,0.9534883720930233,0.9594647647713145,0.9727425216662006,1.6764489948426584
GesturePebbleZ1,power_transform,Resample_9,0.936046511627907,0.9409790640394089,0.9617487458224109,2.3051173679086547
GesturePebbleZ1,power_transform,Resample_10,0.9825581395348837,0.9811759504862954,0.9896774784250322,0.628668373065997
GesturePebbleZ1,power_transform,Resample_11,0.9651162790697675,0.9667598633115874,0.9799549549549549,1.2573367461319938
GesturePebbleZ1,power_transform,Resample_12,0.9593023255813954,0.9636870877383211,0.975614549802921,1.466892870487326
GesturePebbleZ1,power_transform,Resample_13,0.9651162790697675,0.9658690075356743,0.9793753543753544,1.257336746131994
GesturePebbleZ1,power_transform,Resample_14,0.9534883720930233,0.9550602802215705,0.9715020312188966,1.6764489948426584
GesturePebbleZ1,power_transform,Resample_15,0.9127906976744186,0.9260542870456664,0.9492130911593999,3.1433418653299836
GesturePebbleZ1,power_transform,Resample_16,0.9302325581395349,0.9274188137412774,0.9582206499818163,2.5146734922639875
GesturePebbleZ1,power_transform,Resample_17,0.9651162790697675,0.965050505050505,0.9792505053355893,1.2573367461319938
GesturePebbleZ1,power_transform,Resample_18,0.9593023255813954,0.9619850657654365,0.9760334947179654,1.466892870487326
GesturePebbleZ1,power_transform,Resample_19,0.9302325581395349,0.9366883116883118,0.9597820088300222,2.514673492263987
GesturePebbleZ1,power_transform,Resample_20,0.9186046511627907,0.9264792319749217,0.9517642642642642,2.933785740974652
GesturePebbleZ1,power_transform,Resample_21,0.9709302325581395,0.9723441309648208,0.982851460346568,1.0477806217766616
GesturePebbleZ1,power_transform,Resample_22,0.9186046511627907,0.9314221857325307,0.9521153583653584,2.933785740974652
GesturePebbleZ1,power_transform,Resample_23,0.9302325581395349,0.9321538800705468,0.958427095137877,2.5146734922639875
GesturePebbleZ1,power_transform,Resample_24,0.9244186046511628,0.9185789519122852,0.9542485803515902,2.72422961661932
GesturePebbleZ1,power_transform,Resample_25,0.9593023255813954,0.9595438788542237,0.9755170316301703,1.466892870487326
GesturePebbleZ1,power_transform,Resample_26,0.9593023255813954,0.9587301587301588,0.9759720107431376,1.466892870487326
GesturePebbleZ1,power_transform,Resample_27,0.9418604651162791,0.938400442635825,0.9649623079681638,2.095561243553323
GesturePebbleZ1,power_transform,Resample_28,0.9534883720930233,0.9540517242130147,0.9727039007092199,1.6764489948426584
GesturePebbleZ1,power_transform,Resample_29,0.9418604651162791,0.9480715363068305,0.9653524647535248,2.095561243553323
GunPointAgeSpan,power_transform,Resample_0,0.9683544303797469,0.9685096153846153,0.9685096153846154,1.1406219426935809
GunPointAgeSpan,power_transform,Resample_1,0.9493670886075949,0.9495892606692046,0.9495892606692047,1.8249951083097293
GunPointAgeSpan,power_transform,Resample_2,0.9651898734177216,0.9652485678804631,0.9652485678804631,1.2546841369629391
GunPointAgeSpan,power_transform,Resample_3,0.9683544303797469,0.9685731487055991,0.9685731487055989,1.1406219426935809
GunPointAgeSpan,power_transform,Resample_4,0.9462025316455697,0.9467241033860949,0.946724103386095,1.9390573025790874
GunPointAgeSpan,power_transform,Resample_5,0.9462025316455697,0.9464836706070927,0.9464836706070928,1.9390573025790876
GunPointAgeSpan,power_transform,Resample_6,0.9715189873417721,0.9716071213278141,0.9716071213278141,1.0265597484242228
GunPointAgeSpan,power_transform,Resample_7,0.930379746835443,0.9301094670997233,0.9301094670997232,2.5093682739258774
GunPointAgeSpan,power_transform,Resample_8,0.9588607594936709,0.9584335417668751,0.958433541766875,1.4828085255016552
GunPointAgeSpan,power_transform,Resample_9,0.9335443037974683,0.9337339743589743,0.9337339743589743,2.3953060796565198
GunPointAgeSpan,power_transform,Resample_10,0.9651898734177216,0.9668674698795181,0.966867469879518,1.254684136962939
GunPointAgeSpan,power_transform,Resample_11,0.9240506329113924,0.9253851091142491,0.925385109114249,2.737492662464594
GunPointAgeSpan,power_transform,Resample_12,0.9493670886075949,0.9489865542845675,0.9489865542845675,1.8249951083097293
GunPointAgeSpan,power_transform,Resample_13,0.9588607594936709,0.9587192750310758,0.9587192750310759,1.4828085255016552
GunPointAgeSpan,power_transform,Resample_14,0.9715189873417721,0.9715982028241335,0.9715982028241336,1.0265597484242228
GunPointAgeSpan,power_transform,Resample_15,0.9462025316455697,0.9467147435897436,0.9467147435897436,1.9390573025790874
GunPointAgeSpan,power_transform,Resample_16,0.9715189873417721,0.9715688238829894,0.9715688238829894,1.026559748424223
GunPointAgeSpan,power_transform,Resample_17,0.9430379746835443,0.9418021272325908,0.9418021272325908,2.053119496848445
GunPointAgeSpan,power_transform,Resample_18,0.9588607594936709,0.9609397055858035,0.9609397055858035,1.4828085255016552
GunPointAgeSpan,power_transform,Resample_19,0.9177215189873418,0.9190142256060909,0.919014225606091,2.9656170510033104
GunPointAgeSpan,power_transform,Resample_20,0.9462025316455697,0.9467991169977925,0.9467991169977925,1.9390573025790876
GunPointAgeSpan,power_transform,Resample_21,0.9556962025316456,0.9558522795621316,0.9558522795621316,1.5968707197710132
GunPointAgeSpan,power_transform,Resample_22,0.9493670886075949,0.9495582329317269,0.9495582329317269,1.8249951083097293
GunPointAgeSpan,power_transform,Resample_23,0.9556962025316456,0.9553685897435897,0.9553685897435897,1.5968707197710132
GunPointAgeSpan,power_transform,Resample_24,0.9556962025316456,0.9556962025316456,0.9556962025316454,1.5968707197710132
GunPointAgeSpan,power_transform,Resample_25,0.9588607594936709,0.9596310734236226,0.9596310734236226,1.4828085255016552
GunPointAgeSpan,power_transform,Resample_26,0.9588607594936709,0.9590748757415424,0.9590748757415424,1.4828085255016552
GunPointAgeSpan,power_transform,Resample_27,0.9462025316455697,0.9468674698795181,0.9468674698795181,1.9390573025790874
GunPointAgeSpan,power_transform,Resample_28,0.9525316455696202,0.9525813692480359,0.9525813692480359,1.7109329140403713
GunPointAgeSpan,power_transform,Resample_29,0.9620253164556962,0.962023795216921,0.962023795216921,1.3687463312322972
MelbournePedestrian,power_transform,Resample_0,0.8400984009840098,0.8400680272108844,0.9111644414678663,5.763437811297946
MelbournePedestrian,power_transform,Resample_1,0.8286182861828618,0.8292644612646157,0.9047344323096121,6.177223090057798
MelbournePedestrian,power_transform,Resample_2,0.8499384993849939,0.8490778742504006,0.9166590355729914,5.408764715218072
MelbournePedestrian,power_transform,Resample_3,0.8265682656826568,0.8237210335159662,0.9037396993340956,6.251113318407772
MelbournePedestrian,power_transform,Resample_4,0.8314883148831488,0.8323229141745191,0.9064839118807537,6.073776770367835
MelbournePedestrian,power_transform,Resample_5,0.8347683476834769,0.8359555224298107,0.9082641221632977,5.955552405007876
MelbournePedestrian,power_transform,Resample_6,0.8269782697826978,0.8298530232028645,0.9039450853346962,6.236335272737777
MelbournePedestrian,power_transform,Resample_7,0.8269782697826978,0.8307956814011526,0.904066243375727,6.236335272737777
MelbournePedestrian,power_transform,Resample_8,0.8372283722837228,0.8387306280563338,0.9095196549695972,5.866884130987908
MelbournePedestrian,power_transform,Resample_9,0.8273882738827388,0.825355362857574,0.9041182373370422,6.221557227067782
MelbournePedestrian,power_transform,Resample_10,0.8433784337843379,0.842636042576073,0.9130045299394313,5.645213445937987
MelbournePedestrian,power_transform,Resample_11,0.8273882738827388,0.8280576483945661,0.9039314253850579,6.221557227067782
MelbournePedestrian,power_transform,Resample_12,0.8347683476834769,0.832805968217756,0.9080846861921371,5.955552405007877
MelbournePedestrian,power_transform,Resample_13,0.8421484214842149,0.8421068703775763,0.9122574698655929,5.689547582947972
MelbournePedestrian,power_transform,Resample_14,0.8269782697826978,0.8287821206370418,0.9038213743244465,6.236335272737777
MelbournePedestrian,power_transform,Resample_15,0.8519885198851989,0.8498316006721203,0.9176801990463788,5.334874486868098
MelbournePedestrian,power_transform,Resample_16,0.8372283722837228,0.8377917079188515,0.9097246556986494,5.866884130987909
MelbournePedestrian,power_transform,Resample_17,0.8347683476834769,0.8375676952087371,0.9082164953468346,5.955552405007877
MelbournePedestrian,power_transform,Resample_18,0.8446084460844608,0.8445024242175332,0.9137899438280508,5.600879308928004
MelbournePedestrian,power_transform,Resample_19,0.8253382533825339,0.8276132297922573,0.9030749411002061,6.295447455417756
MelbournePedestrian,power_transform,Resample_20,0.8409184091840919,0.8389531908538392,0.9116415346539559,5.733881719957957
MelbournePedestrian,power_transform,Resample_21,0.8290282902829028,0.8289545556204638,0.9051010700026577,6.162445044387804
MelbournePedestrian,power_transform,Resample_22,0.8417384173841739,0.8396737243982475,0.9119730311913666,5.704325628617966
MelbournePedestrian,power_transform,Resample_23,0.8364083640836408,0.8349511015352155,0.9091272408297671,5.896440222327898
MelbournePedestrian,power_transform,Resample_24,0.8327183271832719,0.8315015254577194,0.9072150151290879,6.02944263335785
MelbournePedestrian,power_transform,Resample_25,0.8474784747847478,0.846231182618076,0.915258718326385,5.497432989238041
MelbournePedestrian,power_transform,Resample_26,0.8302583025830258,0.8298714800501757,0.9057605016939756,6.11811090737782
MelbournePedestrian,power_transform,Resample_27,0.8359983599835998,0.835318094662186,0.9088716118028725,5.911218267997893
MelbournePedestrian,power_transform,Resample_28,0.8351783517835178,0.8334586719193267,0.9082954907935633,5.940774359337882
MelbournePedestrian,power_transform,Resample_29,0.8351783517835178,0.8348519014024174,0.9086581108377589,5.940774359337882
SmoothSubspace,power_transform,Resample_0,0.9133333333333333,0.9133333333333332,0.935,3.1237832937234864
