Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,power_transform,Resample_0,0.5875,0.586979686979687,0.7599892390440927,14.868007023010824
DodgerLoopDay,power_transform,Resample_1,0.5,0.49985569985569983,0.713825560706681,18.021826694558577
DodgerLoopDay,power_transform,Resample_2,0.5375,0.4958256029684601,0.7324055775142733,16.670189692466682
DodgerLoopDay,power_transform,Resample_3,0.5125,0.5218820861678004,0.7172322825572418,17.571281027194612
DodgerLoopDay,power_transform,Resample_4,0.4625,0.4384615384615384,0.6889618893531555,19.373463696650468
DodgerLoopDay,power_transform,Resample_5,0.4625,0.47360893075178795,0.68932996820058,19.373463696650468
DodgerLoopDay,power_transform,Resample_6,0.525,0.5375604787369493,0.7252009738626828,17.120735359830647
DodgerLoopDay,power_transform,Resample_7,0.45,0.44422640851212275,0.6843079990036797,19.824009364014433
DodgerLoopDay,power_transform,Resample_8,0.55,0.5744422244422244,0.7387920291826993,16.219644025102717
DodgerLoopDay,power_transform,Resample_9,0.4125,0.4737833594976452,0.6510176390773406,21.175646366106328
DodgerLoopDay,power_transform,Resample_10,0.4875,0.5089481946624803,0.7046497584541063,18.472372361922538
DodgerLoopDay,power_transform,Resample_11,0.55,0.545380809666524,0.7402943390795051,16.219644025102717
DodgerLoopDay,power_transform,Resample_12,0.4125,0.4258963258963259,0.6564369484220134,21.175646366106328
DodgerLoopDay,power_transform,Resample_13,0.6,0.546449383949384,0.7679273070445009,14.41746135564686
DodgerLoopDay,power_transform,Resample_14,0.4875,0.46706904206904204,0.7050289215673637,18.472372361922538
DodgerLoopDay,power_transform,Resample_15,0.5125,0.5064102564102565,0.7161418882932796,17.571281027194612
DodgerLoopDay,power_transform,Resample_16,0.4875,0.4936119436119436,0.7004735785787749,18.472372361922538
DodgerLoopDay,power_transform,Resample_17,0.5,0.5057720057720058,0.7125051209252067,18.021826694558577
DodgerLoopDay,power_transform,Resample_18,0.4625,0.4521978021978022,0.6904835509987051,19.373463696650468
DodgerLoopDay,power_transform,Resample_19,0.4625,0.48305761698618843,0.698009761423297,19.373463696650468
DodgerLoopDay,power_transform,Resample_20,0.575,0.5700133200133201,0.7531695286810376,15.31855269037479
DodgerLoopDay,power_transform,Resample_21,0.5,0.5171828171828172,0.7087342789159792,18.021826694558577
DodgerLoopDay,power_transform,Resample_22,0.5375,0.5364096429885904,0.7346106431359514,16.670189692466682
DodgerLoopDay,power_transform,Resample_23,0.4875,0.48685243328100475,0.6998329451349149,18.472372361922538
DodgerLoopDay,power_transform,Resample_24,0.525,0.5118119975262833,0.7291533903222446,17.120735359830647
DodgerLoopDay,power_transform,Resample_25,0.475,0.46776556776556777,0.702003311148039,18.922918029286503
DodgerLoopDay,power_transform,Resample_26,0.5375,0.5927889104359692,0.7356906192727088,16.670189692466682
DodgerLoopDay,power_transform,Resample_27,0.425,0.45428381142666857,0.6615624073032378,20.72510069874236
DodgerLoopDay,power_transform,Resample_28,0.45,0.451138147566719,0.6768141536225961,19.824009364014433
DodgerLoopDay,power_transform,Resample_29,0.475,0.5080015222872366,0.6926746418430344,18.922918029286503
GesturePebbleZ1,power_transform,Resample_0,0.9011627906976745,0.8980866858237548,0.9412010756045711,3.5624541140406496
GesturePebbleZ1,power_transform,Resample_1,0.9186046511627907,0.9293154761904762,0.9526753700468878,2.933785740974652
GesturePebbleZ1,power_transform,Resample_2,0.9418604651162791,0.9401234567901234,0.9648815357161176,2.095561243553323
GesturePebbleZ1,power_transform,Resample_3,0.9709302325581395,0.9727598566308244,0.9829233680227059,1.0477806217766616
GesturePebbleZ1,power_transform,Resample_4,0.9418604651162791,0.9404494446234043,0.9652519194308303,2.095561243553323
GesturePebbleZ1,power_transform,Resample_5,0.9418604651162791,0.9428169679782584,0.9651513113331823,2.095561243553323
GesturePebbleZ1,power_transform,Resample_6,0.9302325581395349,0.9346873755475906,0.9586024169163415,2.5146734922639875
GesturePebbleZ1,power_transform,Resample_7,0.9534883720930233,0.9540229885057472,0.9721008158508159,1.6764489948426584
GesturePebbleZ1,power_transform,Resample_8,0.9302325581395349,0.9343048334247706,0.9587800701647503,2.5146734922639875
GesturePebbleZ1,power_transform,Resample_9,0.936046511627907,0.9409790640394089,0.9619314943604226,2.3051173679086547
GesturePebbleZ1,power_transform,Resample_10,0.9651162790697675,0.9643177129384027,0.9791591950921238,1.257336746131994
GesturePebbleZ1,power_transform,Resample_11,0.9593023255813954,0.9599660397074191,0.9765066790928859,1.4668928704873263
GesturePebbleZ1,power_transform,Resample_12,0.9534883720930233,0.9567426432938767,0.9719913613971239,1.6764489948426584
GesturePebbleZ1,power_transform,Resample_13,0.936046511627907,0.9356509816279931,0.9619788725291557,2.3051173679086547
GesturePebbleZ1,power_transform,Resample_14,0.9418604651162791,0.9426914304333659,0.964332759144797,2.095561243553323
GesturePebbleZ1,power_transform,Resample_15,0.9244186046511628,0.9357671248835042,0.9559021291907199,2.72422961661932
GesturePebbleZ1,power_transform,Resample_16,0.9244186046511628,0.9232840177133655,0.9549522641832836,2.72422961661932
GesturePebbleZ1,power_transform,Resample_17,0.9709302325581395,0.97010101010101,0.9826518658798072,1.0477806217766614
GesturePebbleZ1,power_transform,Resample_18,0.9534883720930233,0.9560326848130557,0.9725852188558964,1.6764489948426584
GesturePebbleZ1,power_transform,Resample_19,0.936046511627907,0.9426406926406927,0.9632542310522444,2.3051173679086547
GesturePebbleZ1,power_transform,Resample_20,0.9186046511627907,0.9245852925809824,0.951739982989983,2.933785740974652
GesturePebbleZ1,power_transform,Resample_21,0.9651162790697675,0.965677464298154,0.9793549568500645,1.257336746131994
GesturePebbleZ1,power_transform,Resample_22,0.9127906976744186,0.9254698047801497,0.9486431361431362,3.1433418653299836
GesturePebbleZ1,power_transform,Resample_23,0.9244186046511628,0.9276895943562611,0.9549788192758083,2.72422961661932
GesturePebbleZ1,power_transform,Resample_24,0.9302325581395349,0.9263679530346196,0.9576732378858367,2.5146734922639875
GesturePebbleZ1,power_transform,Resample_25,0.9534883720930233,0.9557671957671957,0.972197940947941,1.6764489948426584
GesturePebbleZ1,power_transform,Resample_26,0.9593023255813954,0.9587301587301588,0.9757843230554498,1.466892870487326
GesturePebbleZ1,power_transform,Resample_27,0.936046511627907,0.9318506872105073,0.9617072220758319,2.305117367908655
GesturePebbleZ1,power_transform,Resample_28,0.9476744186046512,0.9461935913548819,0.9692792431749733,1.8860051191979905
GesturePebbleZ1,power_transform,Resample_29,0.9418604651162791,0.9480715363068305,0.9653524647535248,2.095561243553323
GunPointAgeSpan,power_transform,Resample_0,0.9620253164556962,0.9620192307692308,0.9620192307692308,1.3687463312322972
GunPointAgeSpan,power_transform,Resample_1,0.9651898734177216,0.9648767782007613,0.9648767782007612,1.2546841369629391
GunPointAgeSpan,power_transform,Resample_2,0.9651898734177216,0.9652485678804631,0.9652485678804631,1.2546841369629391
GunPointAgeSpan,power_transform,Resample_3,0.9715189873417721,0.971603451735902,0.971603451735902,1.0265597484242228
GunPointAgeSpan,power_transform,Resample_4,0.9620253164556962,0.962252053696654,0.962252053696654,1.3687463312322972
GunPointAgeSpan,power_transform,Resample_5,0.9430379746835443,0.9431376477659787,0.9431376477659789,2.053119496848445
GunPointAgeSpan,power_transform,Resample_6,0.9715189873417721,0.9708837358839368,0.9708837358839368,1.026559748424223
GunPointAgeSpan,power_transform,Resample_7,0.9272151898734177,0.9266410040498817,0.9266410040498816,2.623430468195236
GunPointAgeSpan,power_transform,Resample_8,0.9841772151898734,0.9842472342472343,0.9842472342472341,0.5703109713467905
GunPointAgeSpan,power_transform,Resample_9,0.9430379746835443,0.9431891025641026,0.9431891025641026,2.053119496848445
GunPointAgeSpan,power_transform,Resample_10,0.9651898734177216,0.9668674698795181,0.966867469879518,1.254684136962939
GunPointAgeSpan,power_transform,Resample_11,0.9272151898734177,0.9281931964056482,0.9281931964056482,2.623430468195236
GunPointAgeSpan,power_transform,Resample_12,0.9462025316455697,0.9459562512542645,0.9459562512542645,1.9390573025790874
GunPointAgeSpan,power_transform,Resample_13,0.9715189873417721,0.9715906812622799,0.97159068126228,1.0265597484242228
GunPointAgeSpan,power_transform,Resample_14,0.9683544303797469,0.9683087291399229,0.9683087291399229,1.140621942693581
GunPointAgeSpan,power_transform,Resample_15,0.9493670886075949,0.95,0.9500000000000001,1.8249951083097293
GunPointAgeSpan,power_transform,Resample_16,0.9778481012658228,0.9780204367862152,0.9780204367862152,0.7984353598855068
GunPointAgeSpan,power_transform,Resample_17,0.9588607594936709,0.9580774633754766,0.9580774633754765,1.4828085255016552
GunPointAgeSpan,power_transform,Resample_18,0.9651898734177216,0.966263359548296,0.966263359548296,1.2546841369629391
GunPointAgeSpan,power_transform,Resample_19,0.9240506329113924,0.9252254057303145,0.9252254057303145,2.7374926624645934
GunPointAgeSpan,power_transform,Resample_20,0.9462025316455697,0.9467991169977925,0.9467991169977925,1.9390573025790876
GunPointAgeSpan,power_transform,Resample_21,0.9493670886075949,0.9499177994306107,0.9499177994306107,1.8249951083097293
GunPointAgeSpan,power_transform,Resample_22,0.9588607594936709,0.9592369477911646,0.9592369477911646,1.4828085255016552
GunPointAgeSpan,power_transform,Resample_23,0.9493670886075949,0.9491185897435898,0.9491185897435898,1.8249951083097293
GunPointAgeSpan,power_transform,Resample_24,0.9588607594936709,0.9588607594936709,0.9588607594936709,1.4828085255016552
GunPointAgeSpan,power_transform,Resample_25,0.9620253164556962,0.9629867781216092,0.9629867781216093,1.3687463312322972
GunPointAgeSpan,power_transform,Resample_26,0.9588607594936709,0.9589145422478755,0.9589145422478756,1.4828085255016552
