Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,quantile_uniform,Resample_0,0.2875,0.2857142857142857,0.5666783217180449,1.7550718967806387
DodgerLoopDay,quantile_uniform,Resample_1,0.3875,0.36875901875901873,0.7424092578716088,1.4943499348396736
DodgerLoopDay,quantile_uniform,Resample_2,0.375,0.33116883116883117,0.7346947738252088,1.53356542130401
DodgerLoopDay,quantile_uniform,Resample_3,0.25,0.2824675324675325,0.6772824876063289,1.6423443918698897
DodgerLoopDay,quantile_uniform,Resample_4,0.4625,0.4086580086580086,0.8107204145635192,1.4365858837154333
DodgerLoopDay,quantile_uniform,Resample_5,0.3,0.3174603174603175,0.7832532937903314,1.5929724410820512
DodgerLoopDay,quantile_uniform,Resample_6,0.325,0.3340336134453782,0.8168396315571664,1.3997850180428297
DodgerLoopDay,quantile_uniform,Resample_7,0.35,0.351953601953602,0.7220221191129003,1.5402009389220717
DodgerLoopDay,quantile_uniform,Resample_8,0.275,0.2857142857142857,0.6244881829684218,1.7928186813311295
DodgerLoopDay,quantile_uniform,Resample_9,0.3,0.41020408163265315,0.6698900303676423,1.6377683411012398
DodgerLoopDay,quantile_uniform,Resample_10,0.1375,0.14675324675324677,0.38925909343738674,1.8955178450786243
DodgerLoopDay,quantile_uniform,Resample_11,0.2875,0.2857142857142857,0.7617759888156784,1.7051333690242345
DodgerLoopDay,quantile_uniform,Resample_12,0.2125,0.25487012987012986,0.47803776248793406,1.766170559310312
DodgerLoopDay,quantile_uniform,Resample_13,0.3,0.2642857142857143,0.7701587715674625,1.6972436864467657
DodgerLoopDay,quantile_uniform,Resample_14,0.325,0.31230158730158736,0.7588852276519564,1.5795252304990968
DodgerLoopDay,quantile_uniform,Resample_15,0.3,0.2857142857142857,0.5635094644606707,1.782249948757532
DodgerLoopDay,quantile_uniform,Resample_16,0.3125,0.3766233766233766,0.7581532427101468,1.6567857529610936
DodgerLoopDay,quantile_uniform,Resample_17,0.275,0.24965986394557824,0.6506093633351748,1.7127831089517656
DodgerLoopDay,quantile_uniform,Resample_18,0.0,0.0,0.22707888021721195,1.981934611334811
DodgerLoopDay,quantile_uniform,Resample_19,0.2875,0.31887755102040816,0.7250657433340517,1.685403714893848
DodgerLoopDay,quantile_uniform,Resample_20,0.35,0.3371628371628371,0.7057224723114425,1.5102653154849826
DodgerLoopDay,quantile_uniform,Resample_21,0.2625,0.2857142857142857,0.6809580590834647,1.711883071026206
DodgerLoopDay,quantile_uniform,Resample_22,0.3875,0.31077694235588976,0.7412487922611186,1.3840685843851026
DodgerLoopDay,quantile_uniform,Resample_23,0.1875,0.15384615384615383,0.6602213943073042,1.8340237402319226
