Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,quantile_uniform,Resample_0,0.425,0.4278721278721279,0.6655642140048752,20.72510069874236
DodgerLoopDay,quantile_uniform,Resample_1,0.3125,0.3027932385075242,0.6048845431081795,24.78001170501804
DodgerLoopDay,quantile_uniform,Resample_2,0.3375,0.3116883116883117,0.6200318401405357,23.87892037029011
DodgerLoopDay,quantile_uniform,Resample_3,0.3375,0.3474025974025974,0.6159814424016001,23.87892037029011
DodgerLoopDay,quantile_uniform,Resample_4,0.3625,0.3768481518481518,0.6342341386711925,22.977829035562184
DodgerLoopDay,quantile_uniform,Resample_5,0.375,0.3760814582243154,0.6382580307716947,22.52728336819822
DodgerLoopDay,quantile_uniform,Resample_6,0.375,0.3244451626804568,0.6486562685230974,22.52728336819822
DodgerLoopDay,quantile_uniform,Resample_7,0.325,0.3131955346241061,0.61155462586357,24.329466037654075
DodgerLoopDay,quantile_uniform,Resample_8,0.3625,0.3858189429618001,0.6290457290499645,22.977829035562184
DodgerLoopDay,quantile_uniform,Resample_9,0.2875,0.36970172684458397,0.5767777993151127,25.68110303974597
DodgerLoopDay,quantile_uniform,Resample_10,0.4125,0.4346796061081775,0.6572961818987126,21.175646366106328
DodgerLoopDay,quantile_uniform,Resample_11,0.4375,0.4089244089244089,0.6735591729465072,20.274555031378394
DodgerLoopDay,quantile_uniform,Resample_12,0.3375,0.37256909756909756,0.6137545760762347,23.87892037029011
DodgerLoopDay,quantile_uniform,Resample_13,0.3875,0.336476023976024,0.6492895440596393,22.07673770083425
DodgerLoopDay,quantile_uniform,Resample_14,0.325,0.28242868242868246,0.6131569842467284,24.329466037654075
DodgerLoopDay,quantile_uniform,Resample_15,0.3375,0.33556443556443555,0.6133950270568966,23.87892037029011
DodgerLoopDay,quantile_uniform,Resample_16,0.35,0.3625985125985126,0.6182786602878517,23.428374702926146
DodgerLoopDay,quantile_uniform,Resample_17,0.3625,0.36722325293753866,0.6327398769836002,22.977829035562184
DodgerLoopDay,quantile_uniform,Resample_18,0.3625,0.34688644688644693,0.6309383076333329,22.977829035562184
DodgerLoopDay,quantile_uniform,Resample_19,0.3125,0.3293393114821686,0.605793046688556,24.78001170501804
DodgerLoopDay,quantile_uniform,Resample_20,0.4125,0.3974025974025975,0.6574776373885051,21.175646366106328
DodgerLoopDay,quantile_uniform,Resample_21,0.4375,0.4595404595404595,0.6713173264114212,20.274555031378394
DodgerLoopDay,quantile_uniform,Resample_22,0.425,0.4009617575407049,0.6668550524424399,20.72510069874236
DodgerLoopDay,quantile_uniform,Resample_23,0.3625,0.38035932321646604,0.6313647256763593,22.977829035562184
DodgerLoopDay,quantile_uniform,Resample_24,0.4125,0.40340136054421766,0.6638454951438624,21.175646366106328
DodgerLoopDay,quantile_uniform,Resample_25,0.425,0.40964590964590963,0.6680935549135972,20.72510069874236
DodgerLoopDay,quantile_uniform,Resample_26,0.375,0.4419593478417008,0.6474573228304571,22.52728336819822
DodgerLoopDay,quantile_uniform,Resample_27,0.325,0.3492935635792778,0.6068120816615028,24.32946603765408
DodgerLoopDay,quantile_uniform,Resample_28,0.475,0.45263169370312223,0.6946757951981014,18.922918029286503
DodgerLoopDay,quantile_uniform,Resample_29,0.325,0.35260453831882405,0.6054601631880164,24.329466037654075
GesturePebbleZ1,quantile_uniform,Resample_0,0.7267441860465116,0.727287443867672,0.8365667366237276,9.849137844700618
GesturePebbleZ1,quantile_uniform,Resample_1,0.7441860465116279,0.7323343021712588,0.8497550798805741,9.220469471634619
GesturePebbleZ1,quantile_uniform,Resample_2,0.6918604651162791,0.7034697331740344,0.8140895969698941,11.106474590832612
GesturePebbleZ1,quantile_uniform,Resample_3,0.75,0.7460196563691187,0.8515443241449512,9.010913347279288
GesturePebbleZ1,quantile_uniform,Resample_4,0.75,0.7504576267916253,0.848590627303902,9.010913347279288
GesturePebbleZ1,quantile_uniform,Resample_5,0.6976744186046512,0.7073365196168311,0.816905136969863,10.89691846647728
GesturePebbleZ1,quantile_uniform,Resample_6,0.7558139534883721,0.7678741274524028,0.8558177054644085,8.801357222923956
GesturePebbleZ1,quantile_uniform,Resample_7,0.7383720930232558,0.7392568266131484,0.8425533919159465,9.430025595989953
GesturePebbleZ1,quantile_uniform,Resample_8,0.7558139534883721,0.7413857441984554,0.8540539373900508,8.801357222923956
GesturePebbleZ1,quantile_uniform,Resample_9,0.7383720930232558,0.7386391625615764,0.8455728895149757,9.430025595989953
GesturePebbleZ1,quantile_uniform,Resample_10,0.7674418604651163,0.771513543927337,0.8599003246367078,8.382244974213291
GesturePebbleZ1,quantile_uniform,Resample_11,0.7034883720930233,0.712114021022067,0.8231124067479811,10.687362342121945
GesturePebbleZ1,quantile_uniform,Resample_12,0.7267441860465116,0.7134850355912975,0.8366323876350112,9.849137844700618
GesturePebbleZ1,quantile_uniform,Resample_13,0.813953488372093,0.8119005440102955,0.8882119063759886,6.705795979370634
GesturePebbleZ1,quantile_uniform,Resample_14,0.7093023255813954,0.7325594656239818,0.8242899700190619,10.477806217766615
GesturePebbleZ1,quantile_uniform,Resample_15,0.7267441860465116,0.7359460817809769,0.8382766748538562,9.849137844700618
GesturePebbleZ1,quantile_uniform,Resample_16,0.7674418604651163,0.7574882473637734,0.8608347478104036,8.382244974213291
GesturePebbleZ1,quantile_uniform,Resample_17,0.7790697674418605,0.7838415905082572,0.8667484571055105,7.963132725502627
GesturePebbleZ1,quantile_uniform,Resample_18,0.686046511627907,0.6835483086149113,0.8118672067769247,11.316030715187942
GesturePebbleZ1,quantile_uniform,Resample_19,0.7674418604651163,0.7636774145394835,0.8611485204000927,8.382244974213291
GesturePebbleZ1,quantile_uniform,Resample_20,0.7093023255813954,0.7115431264138161,0.827131651549583,10.477806217766615
GesturePebbleZ1,quantile_uniform,Resample_21,0.7383720930232558,0.7290378586930312,0.8429899911419362,9.430025595989953
GesturePebbleZ1,quantile_uniform,Resample_22,0.8023255813953488,0.8046965273976768,0.8828475308064558,7.124908228081297
GesturePebbleZ1,quantile_uniform,Resample_23,0.7093023255813954,0.7092206790123456,0.8259562162245504,10.477806217766615
GesturePebbleZ1,quantile_uniform,Resample_24,0.7441860465116279,0.735344408677742,0.84450875012506,9.220469471634619
GesturePebbleZ1,quantile_uniform,Resample_25,0.6976744186046512,0.7151115976403332,0.8190636657897813,10.89691846647728
GesturePebbleZ1,quantile_uniform,Resample_26,0.7325581395348837,0.730357142857143,0.8395844284928792,9.639581720345285
GesturePebbleZ1,quantile_uniform,Resample_27,0.75,0.7540357526864274,0.8507261298940305,9.010913347279288
GesturePebbleZ1,quantile_uniform,Resample_28,0.75,0.7555287273029209,0.8497685320120469,9.010913347279288
GesturePebbleZ1,quantile_uniform,Resample_29,0.6511627906976745,0.6750817809641338,0.7917453145896027,12.573367461319934
GunPointAgeSpan,quantile_uniform,Resample_0,0.9208860759493671,0.9209935897435897,0.9209935897435897,2.851554856733952
GunPointAgeSpan,quantile_uniform,Resample_1,0.8892405063291139,0.8899819675415749,0.889981967541575,3.9921767994275332
GunPointAgeSpan,quantile_uniform,Resample_2,0.9018987341772152,0.9021952489684734,0.9021952489684734,3.535928022350101
GunPointAgeSpan,quantile_uniform,Resample_3,0.879746835443038,0.8772626931567329,0.8772626931567329,4.3343633822356065
GunPointAgeSpan,quantile_uniform,Resample_4,0.8860759493670886,0.8869965938689641,0.8869965938689641,4.10623899369689
GunPointAgeSpan,quantile_uniform,Resample_5,0.870253164556962,0.8718292927269085,0.8718292927269085,4.67654996504368
GunPointAgeSpan,quantile_uniform,Resample_6,0.8955696202531646,0.8961339066832777,0.8961339066832776,3.7640524108888163
GunPointAgeSpan,quantile_uniform,Resample_7,0.8924050632911392,0.8918962267933759,0.8918962267933758,3.878114605158174
GunPointAgeSpan,quantile_uniform,Resample_8,0.9018987341772152,0.900633317299984,0.900633317299984,3.5359280223501
GunPointAgeSpan,quantile_uniform,Resample_9,0.9367088607594937,0.936698717948718,0.936698717948718,2.2812438853871617
GunPointAgeSpan,quantile_uniform,Resample_10,0.8670886075949367,0.866425702811245,0.8664257028112451,4.7906121593130395
GunPointAgeSpan,quantile_uniform,Resample_11,0.9113924050632911,0.912227214377407,0.912227214377407,3.1937414395420256
GunPointAgeSpan,quantile_uniform,Resample_12,0.8955696202531646,0.896628537025888,0.896628537025888,3.7640524108888163
GunPointAgeSpan,quantile_uniform,Resample_13,0.8892405063291139,0.8890292313244317,0.8890292313244316,3.9921767994275332
GunPointAgeSpan,quantile_uniform,Resample_14,0.8987341772151899,0.8966623876765083,0.8966623876765083,3.6499902166194587
GunPointAgeSpan,quantile_uniform,Resample_15,0.8955696202531646,0.8951923076923077,0.8951923076923078,3.7640524108888163
GunPointAgeSpan,quantile_uniform,Resample_16,0.879746835443038,0.8786215187337207,0.8786215187337206,4.334363382235607
GunPointAgeSpan,quantile_uniform,Resample_17,0.8924050632911392,0.8921934577563717,0.8921934577563717,3.8781146051581747
GunPointAgeSpan,quantile_uniform,Resample_18,0.8734177215189873,0.8788465416414599,0.87884654164146,4.5624877707743225
GunPointAgeSpan,quantile_uniform,Resample_19,0.8639240506329114,0.8648968142656782,0.8648968142656782,4.904674353582397
GunPointAgeSpan,quantile_uniform,Resample_20,0.8987341772151899,0.8990969295605057,0.8990969295605056,3.6499902166194587
GunPointAgeSpan,quantile_uniform,Resample_21,0.8987341772151899,0.8998355988612214,0.8998355988612213,3.6499902166194587
GunPointAgeSpan,quantile_uniform,Resample_22,0.8987341772151899,0.8981526104417671,0.8981526104417671,3.6499902166194587
GunPointAgeSpan,quantile_uniform,Resample_23,0.8734177215189873,0.8725961538461539,0.8725961538461539,4.5624877707743225
GunPointAgeSpan,quantile_uniform,Resample_24,0.8860759493670886,0.8860759493670887,0.8860759493670887,4.10623899369689
GunPointAgeSpan,quantile_uniform,Resample_25,0.8955696202531646,0.8939637503516458,0.8939637503516455,3.7640524108888163
GunPointAgeSpan,quantile_uniform,Resample_26,0.8829113924050633,0.8835578002244668,0.8835578002244668,4.220301187966249
GunPointAgeSpan,quantile_uniform,Resample_27,0.8955696202531646,0.8948192771084338,0.8948192771084337,3.7640524108888163
GunPointAgeSpan,quantile_uniform,Resample_28,0.8987341772151899,0.898989898989899,0.898989898989899,3.6499902166194587
GunPointAgeSpan,quantile_uniform,Resample_29,0.8765822784810127,0.8767576012498498,0.8767576012498498,4.448425576504965
MelbournePedestrian,quantile_uniform,Resample_0,0.7129971299712997,0.7127123669980813,0.8405422333017072,10.344631968996312
MelbournePedestrian,quantile_uniform,Resample_1,0.7150471504715047,0.715458706300402,0.8416885324367727,10.27074174064634
MelbournePedestrian,quantile_uniform,Resample_2,0.7093070930709308,0.707719179418737,0.8385763526724429,10.477634380026265
MelbournePedestrian,quantile_uniform,Resample_3,0.7129971299712997,0.7096186785484375,0.8405930282629039,10.344631968996312
MelbournePedestrian,quantile_uniform,Resample_4,0.7154571545715457,0.7158569237637092,0.8420490420959922,10.255963694976346
MelbournePedestrian,quantile_uniform,Resample_5,0.7154571545715457,0.7169508039417056,0.8419572568073155,10.255963694976346
