Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,quantile_uniform,Resample_0,0.55,0.5498001998001998,0.7375226988913672,16.219644025102717
DodgerLoopDay,quantile_uniform,Resample_1,0.4375,0.43941455370026794,0.6778451719084904,20.274555031378394
DodgerLoopDay,quantile_uniform,Resample_2,0.525,0.5051020408163266,0.7269707949055777,17.120735359830647
DodgerLoopDay,quantile_uniform,Resample_3,0.4625,0.4687162044304901,0.6892007124115332,19.373463696650468
DodgerLoopDay,quantile_uniform,Resample_4,0.3875,0.3836247086247086,0.6509679820779375,22.07673770083425
DodgerLoopDay,quantile_uniform,Resample_5,0.5625,0.5555773591487877,0.7445913533363606,15.769098357738752
DodgerLoopDay,quantile_uniform,Resample_6,0.525,0.49193943311590377,0.7251719101293078,17.120735359830647
DodgerLoopDay,quantile_uniform,Resample_7,0.5375,0.5238444095586952,0.732002890784995,16.670189692466682
DodgerLoopDay,quantile_uniform,Resample_8,0.475,0.5035964035964036,0.6917493659635655,18.922918029286503
DodgerLoopDay,quantile_uniform,Resample_9,0.3875,0.4335949764521193,0.6341035084318667,22.07673770083425
DodgerLoopDay,quantile_uniform,Resample_10,0.5,0.5010810617953475,0.7075121287970088,18.021826694558577
DodgerLoopDay,quantile_uniform,Resample_11,0.55,0.5383735312306741,0.7386129768998037,16.219644025102717
DodgerLoopDay,quantile_uniform,Resample_12,0.4625,0.47336552336552334,0.6854160936167558,19.373463696650468
DodgerLoopDay,quantile_uniform,Resample_13,0.4875,0.4767357642357642,0.7071196772595072,18.472372361922538
DodgerLoopDay,quantile_uniform,Resample_14,0.5,0.4862748362748363,0.7131677665342013,18.021826694558577
DodgerLoopDay,quantile_uniform,Resample_15,0.475,0.4831834831834832,0.6943934874404013,18.922918029286503
DodgerLoopDay,quantile_uniform,Resample_16,0.45,0.4622322122322123,0.6773002214807319,19.824009364014433
