Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,sigmoid_normalization,Resample_0,0.125,0.14285714285714285,0.24466711246471334,2.0356489365546473
DodgerLoopDay,sigmoid_normalization,Resample_1,0.4,0.3831890331890332,0.7498169952374676,1.6709448377317933
DodgerLoopDay,sigmoid_normalization,Resample_2,0.2625,0.2560296846011132,0.7440135046113308,1.795899790696114
DodgerLoopDay,sigmoid_normalization,Resample_3,0.375,0.3951048951048951,0.6946393767066943,1.68426771513388
DodgerLoopDay,sigmoid_normalization,Resample_4,0.375,0.36581751581751576,0.7653418428220886,1.6066497045989259
DodgerLoopDay,sigmoid_normalization,Resample_5,0.1875,0.21978021978021975,0.669052467223058,1.8355029720239693
DodgerLoopDay,sigmoid_normalization,Resample_6,0.2375,0.2415966386554622,0.725809334287354,1.6950320121745501
DodgerLoopDay,sigmoid_normalization,Resample_7,0.3,0.30612244897959184,0.6955445390838124,1.7450452962594771
DodgerLoopDay,sigmoid_normalization,Resample_8,0.2125,0.2619047619047619,0.6519822290558553,1.8084523043692247
DodgerLoopDay,sigmoid_normalization,Resample_9,0.2125,0.27472527472527475,0.5405881630807003,1.734033412522019
DodgerLoopDay,sigmoid_normalization,Resample_10,0.1375,0.13406593406593406,0.5491843577145329,1.8306122887050045
DodgerLoopDay,sigmoid_normalization,Resample_11,0.325,0.32074829931972787,0.7374813589821511,1.860644207446711
DodgerLoopDay,sigmoid_normalization,Resample_12,0.2625,0.30248917748917753,0.5505161653904745,1.7106261014502813
DodgerLoopDay,sigmoid_normalization,Resample_13,0.275,0.2857142857142857,0.6514988175883701,1.82293073512675
DodgerLoopDay,sigmoid_normalization,Resample_14,0.2125,0.19480519480519481,0.6010890794371603,1.8001309464085478
DodgerLoopDay,sigmoid_normalization,Resample_15,0.15,0.14285714285714285,0.24189150157142675,1.9887981231735754
DodgerLoopDay,sigmoid_normalization,Resample_16,0.2,0.23376623376623376,0.6866884720989159,1.8064369565894562
DodgerLoopDay,sigmoid_normalization,Resample_17,0.2875,0.28484848484848485,0.6745157014347155,1.7824002652486073
DodgerLoopDay,sigmoid_normalization,Resample_18,0.425,0.39377289377289376,0.7350018117926169,1.6436197932464218
DodgerLoopDay,sigmoid_normalization,Resample_19,0.25,0.2659245516388373,0.6244437292736114,1.8505649681453697
DodgerLoopDay,sigmoid_normalization,Resample_20,0.15,0.14285714285714285,0.24717969683006236,1.9488415008038504
DodgerLoopDay,sigmoid_normalization,Resample_21,0.1375,0.14285714285714285,0.5048086044930626,1.9003367492895158
