Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,sigmoid_normalization,Resample_0,0.3875,0.3900432900432901,0.6425363591250907,22.07673770083425
DodgerLoopDay,sigmoid_normalization,Resample_1,0.3375,0.3315398886827458,0.6178967131687341,23.87892037029011
DodgerLoopDay,sigmoid_normalization,Resample_2,0.325,0.29939703153988867,0.6100406236275802,24.329466037654075
DodgerLoopDay,sigmoid_normalization,Resample_3,0.3125,0.31585081585081587,0.6006234338131818,24.78001170501804
DodgerLoopDay,sigmoid_normalization,Resample_4,0.275,0.25926573426573424,0.5816210890918873,26.131648707109935
DodgerLoopDay,sigmoid_normalization,Resample_5,0.3625,0.39083813012384433,0.6356843382016809,22.977829035562184
DodgerLoopDay,sigmoid_normalization,Resample_6,0.3875,0.403640477169889,0.6538971759793549,22.07673770083425
DodgerLoopDay,sigmoid_normalization,Resample_7,0.375,0.3806732949590093,0.6403447502799541,22.52728336819822
DodgerLoopDay,sigmoid_normalization,Resample_8,0.425,0.4541791541791542,0.6654009778669693,20.72510069874236
DodgerLoopDay,sigmoid_normalization,Resample_9,0.35,0.42150706436420726,0.6155462945015183,23.428374702926146
DodgerLoopDay,sigmoid_normalization,Resample_10,0.4,0.4093549307835022,0.6497377595365915,21.62619203347029
DodgerLoopDay,sigmoid_normalization,Resample_11,0.45,0.41872651158365454,0.6818749280137989,19.824009364014433
DodgerLoopDay,sigmoid_normalization,Resample_12,0.3375,0.3622682872682873,0.6136050033002942,23.87892037029011
DodgerLoopDay,sigmoid_normalization,Resample_13,0.4375,0.3986097236097236,0.6757547270074349,20.274555031378394
DodgerLoopDay,sigmoid_normalization,Resample_14,0.3375,0.3174852924852925,0.6212581624904198,23.87892037029011
DodgerLoopDay,sigmoid_normalization,Resample_15,0.35,0.3445554445554445,0.6199014063769569,23.428374702926146
DodgerLoopDay,sigmoid_normalization,Resample_16,0.375,0.38947718947718946,0.6325185447601626,22.52728336819822
DodgerLoopDay,sigmoid_normalization,Resample_17,0.375,0.37033601319315607,0.6386275492215481,22.52728336819822
DodgerLoopDay,sigmoid_normalization,Resample_18,0.375,0.361965811965812,0.6370213378603492,22.52728336819822
DodgerLoopDay,sigmoid_normalization,Resample_19,0.3125,0.33259894867037726,0.6098997226765813,24.78001170501804
DodgerLoopDay,sigmoid_normalization,Resample_20,0.45,0.4393273393273393,0.6798531093164066,19.824009364014433
DodgerLoopDay,sigmoid_normalization,Resample_21,0.45,0.4652347652347653,0.6783381230493496,19.824009364014433
DodgerLoopDay,sigmoid_normalization,Resample_22,0.4625,0.4413950085002717,0.6904846640002383,19.373463696650468
DodgerLoopDay,sigmoid_normalization,Resample_23,0.3625,0.37455956741671026,0.628677821801732,22.97782903556218
DodgerLoopDay,sigmoid_normalization,Resample_24,0.4,0.3949082663368378,0.6558998575171974,21.62619203347029
DodgerLoopDay,sigmoid_normalization,Resample_25,0.375,0.36227106227106226,0.640642083065014,22.52728336819822
DodgerLoopDay,sigmoid_normalization,Resample_26,0.4,0.45842131724484664,0.6554968970777255,21.62619203347029
DodgerLoopDay,sigmoid_normalization,Resample_27,0.3125,0.3325325468182611,0.5962858147053521,24.78001170501804
DodgerLoopDay,sigmoid_normalization,Resample_28,0.4625,0.43789246467817894,0.6861806566624458,19.373463696650468
DodgerLoopDay,sigmoid_normalization,Resample_29,0.325,0.33523857095285664,0.6043902230887983,24.329466037654075
GesturePebbleZ1,sigmoid_normalization,Resample_0,0.8197674418604651,0.8159927685180283,0.8920998015249143,6.496239855015301
GesturePebbleZ1,sigmoid_normalization,Resample_1,0.8662790697674418,0.8672103108244412,0.921088058007705,4.819790860172643
GesturePebbleZ1,sigmoid_normalization,Resample_2,0.8430232558139535,0.8479141776184788,0.9055273169690415,5.658015357593971
GesturePebbleZ1,sigmoid_normalization,Resample_3,0.8662790697674418,0.8680015076520453,0.9200821763987712,4.819790860172643
GesturePebbleZ1,sigmoid_normalization,Resample_4,0.8372093023255814,0.840171446990707,0.9040641081167473,5.867571481949304
GesturePebbleZ1,sigmoid_normalization,Resample_5,0.8488372093023255,0.8521491522937573,0.9089012878300362,5.44845923323864
GesturePebbleZ1,sigmoid_normalization,Resample_6,0.8372093023255814,0.84084719886174,0.9031182600982736,5.867571481949304
GesturePebbleZ1,sigmoid_normalization,Resample_7,0.8662790697674418,0.8657346591254638,0.9194809005548442,4.819790860172642
GesturePebbleZ1,sigmoid_normalization,Resample_8,0.877906976744186,0.8763603266240182,0.9272750190809859,4.400678611461978
GesturePebbleZ1,sigmoid_normalization,Resample_9,0.872093023255814,0.8780326354679803,0.9243013296197122,4.6102347358173095
GesturePebbleZ1,sigmoid_normalization,Resample_10,0.8604651162790697,0.854325750877475,0.9159873764846164,5.029346984527975
GesturePebbleZ1,sigmoid_normalization,Resample_11,0.8313953488372093,0.839008352657778,0.9002127816838806,6.077127606304636
GesturePebbleZ1,sigmoid_normalization,Resample_12,0.8837209302325582,0.8792698680427966,0.9304340228534382,4.191122487106646
GesturePebbleZ1,sigmoid_normalization,Resample_13,0.8953488372093024,0.8964677898215162,0.9377927729174977,3.772010238395981
GesturePebbleZ1,sigmoid_normalization,Resample_14,0.8430232558139535,0.8570544151189313,0.9044083515180724,5.658015357593971
