Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,sigmoid_normalization,Resample_0,0.5375,0.5308025308025308,0.7306964901469997,16.670189692466682
DodgerLoopDay,sigmoid_normalization,Resample_1,0.425,0.41220366934652647,0.6699412326547293,20.72510069874236
DodgerLoopDay,sigmoid_normalization,Resample_2,0.525,0.48562152133580705,0.7260649978041283,17.120735359830647
DodgerLoopDay,sigmoid_normalization,Resample_3,0.45,0.4509482580911152,0.6823774197141725,19.824009364014433
DodgerLoopDay,sigmoid_normalization,Resample_4,0.3875,0.3693389943389943,0.6445327668497306,22.07673770083425
DodgerLoopDay,sigmoid_normalization,Resample_5,0.5,0.4989229024943311,0.7130146588865319,18.021826694558577
DodgerLoopDay,sigmoid_normalization,Resample_6,0.575,0.5109106579694815,0.7525877485573051,15.31855269037479
DodgerLoopDay,sigmoid_normalization,Resample_7,0.525,0.5107971393685679,0.7262172858900282,17.120735359830647
DodgerLoopDay,sigmoid_normalization,Resample_8,0.4875,0.518048618048618,0.7003855855807297,18.472372361922538
DodgerLoopDay,sigmoid_normalization,Resample_9,0.425,0.4684458398744113,0.6587303741035084,20.72510069874236
DodgerLoopDay,sigmoid_normalization,Resample_10,0.5375,0.539870843442272,0.7310852569450882,16.670189692466682
DodgerLoopDay,sigmoid_normalization,Resample_11,0.575,0.5588934874649161,0.753196935077494,15.31855269037479
DodgerLoopDay,sigmoid_normalization,Resample_12,0.45,0.47240537240537245,0.6778439118099893,19.824009364014433
DodgerLoopDay,sigmoid_normalization,Resample_13,0.5375,0.48810772560772564,0.7325817611758035,16.670189692466682
DodgerLoopDay,sigmoid_normalization,Resample_14,0.5,0.47851870351870357,0.7113786128084278,18.021826694558577
DodgerLoopDay,sigmoid_normalization,Resample_15,0.475,0.46923076923076923,0.6940736580160941,18.922918029286503
DodgerLoopDay,sigmoid_normalization,Resample_16,0.4625,0.4698024198024198,0.6824788098532752,19.373463696650468
DodgerLoopDay,sigmoid_normalization,Resample_17,0.4625,0.4616161616161616,0.6895737249074664,19.373463696650468
DodgerLoopDay,sigmoid_normalization,Resample_18,0.5,0.49743589743589745,0.7123236786831614,18.021826694558577
DodgerLoopDay,sigmoid_normalization,Resample_19,0.4875,0.5059137291280148,0.7117947656480406,18.472372361922538
DodgerLoopDay,sigmoid_normalization,Resample_20,0.5,0.4916583416583417,0.7099926927292657,18.021826694558577
DodgerLoopDay,sigmoid_normalization,Resample_21,0.55,0.5564435564435565,0.7376069960755229,16.219644025102717
DodgerLoopDay,sigmoid_normalization,Resample_22,0.55,0.5310663021189337,0.7428251348595281,16.219644025102717
DodgerLoopDay,sigmoid_normalization,Resample_23,0.5125,0.5096153846153846,0.7148201620485499,17.571281027194612
DodgerLoopDay,sigmoid_normalization,Resample_24,0.4875,0.45069057926200784,0.7093931406856359,18.472372361922538
DodgerLoopDay,sigmoid_normalization,Resample_25,0.4875,0.4615384615384616,0.7089256889347159,18.472372361922538
DodgerLoopDay,sigmoid_normalization,Resample_26,0.425,0.4840407958055017,0.6720560892202684,20.72510069874236
DodgerLoopDay,sigmoid_normalization,Resample_27,0.525,0.5481899053327625,0.7214406728258169,17.120735359830647
DodgerLoopDay,sigmoid_normalization,Resample_28,0.45,0.4531222745508459,0.6789441121124684,19.824009364014433
DodgerLoopDay,sigmoid_normalization,Resample_29,0.4625,0.4837900195043052,0.6847852805649264,19.373463696650468
GesturePebbleZ1,sigmoid_normalization,Resample_0,0.8604651162790697,0.8576688604622421,0.916475476144929,5.029346984527974
GesturePebbleZ1,sigmoid_normalization,Resample_1,0.877906976744186,0.8871255706853534,0.927908824649654,4.400678611461978
GesturePebbleZ1,sigmoid_normalization,Resample_2,0.9011627906976745,0.8944444444444444,0.9404322486644002,3.5624541140406487
GesturePebbleZ1,sigmoid_normalization,Resample_3,0.9709302325581395,0.9711668657905217,0.9826631977294228,1.0477806217766616
GesturePebbleZ1,sigmoid_normalization,Resample_4,0.9244186046511628,0.9257292122804458,0.955008519261499,2.72422961661932
GesturePebbleZ1,sigmoid_normalization,Resample_5,0.8953488372093024,0.8963336959666214,0.9368096407142502,3.772010238395981
GesturePebbleZ1,sigmoid_normalization,Resample_6,0.9127906976744186,0.915521032793042,0.9476395460771616,3.1433418653299845
GesturePebbleZ1,sigmoid_normalization,Resample_7,0.9069767441860465,0.907004500395305,0.9441045066045065,3.352897989685317
GesturePebbleZ1,sigmoid_normalization,Resample_8,0.8895348837209303,0.8915408607183782,0.9338943171641793,3.981566362751314
GesturePebbleZ1,sigmoid_normalization,Resample_9,0.9011627906976745,0.9031814449917898,0.940851185780114,3.5624541140406487
GesturePebbleZ1,sigmoid_normalization,Resample_10,0.9127906976744186,0.9054081933392278,0.947497027615067,3.1433418653299845
GesturePebbleZ1,sigmoid_normalization,Resample_11,0.9127906976744186,0.917166709551767,0.9491961891961892,3.1433418653299845
