Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,sigmoid_normalization,Resample_0,0.5375,0.5342657342657343,0.7301603509671226,16.670189692466682
DodgerLoopDay,sigmoid_normalization,Resample_1,0.4125,0.4129973201401772,0.6614445969507743,21.175646366106328
DodgerLoopDay,sigmoid_normalization,Resample_2,0.575,0.5347866419294991,0.7553798858146684,15.31855269037479
DodgerLoopDay,sigmoid_normalization,Resample_3,0.525,0.5248196248196249,0.7255451215775267,17.120735359830647
DodgerLoopDay,sigmoid_normalization,Resample_4,0.4375,0.4129120879120879,0.6753235633427067,20.274555031378394
DodgerLoopDay,sigmoid_normalization,Resample_5,0.5625,0.5810657596371883,0.7492916074769133,15.769098357738756
DodgerLoopDay,sigmoid_normalization,Resample_6,0.5875,0.5228154198742434,0.7605015548120726,14.868007023010824
DodgerLoopDay,sigmoid_normalization,Resample_7,0.55,0.5369876155590441,0.7406252129532991,16.219644025102717
DodgerLoopDay,sigmoid_normalization,Resample_8,0.5375,0.561072261072261,0.7283951121587947,16.670189692466682
DodgerLoopDay,sigmoid_normalization,Resample_9,0.425,0.4643642072213501,0.6586173030949151,20.72510069874236
DodgerLoopDay,sigmoid_normalization,Resample_10,0.55,0.5521585557299843,0.738651182259229,16.219644025102717
DodgerLoopDay,sigmoid_normalization,Resample_11,0.575,0.5683554540697399,0.7536298355103944,15.31855269037479
DodgerLoopDay,sigmoid_normalization,Resample_12,0.4375,0.4615828615828616,0.6712189103090827,20.274555031378394
DodgerLoopDay,sigmoid_normalization,Resample_13,0.5875,0.5380577755577756,0.7609078577368125,14.868007023010824
DodgerLoopDay,sigmoid_normalization,Resample_14,0.5125,0.48952158952158953,0.7200690964759476,17.571281027194612
DodgerLoopDay,sigmoid_normalization,Resample_15,0.5,0.4978021978021978,0.7085694563354219,18.021826694558577
DodgerLoopDay,sigmoid_normalization,Resample_16,0.5125,0.5186258186258186,0.7130861746579894,17.571281027194612
DodgerLoopDay,sigmoid_normalization,Resample_17,0.5,0.49307359307359316,0.7104963621803794,18.021826694558577
DodgerLoopDay,sigmoid_normalization,Resample_18,0.5,0.4909645909645909,0.7123148018930086,18.021826694558577
DodgerLoopDay,sigmoid_normalization,Resample_19,0.475,0.4946273964131107,0.7021776301936805,18.922918029286503
DodgerLoopDay,sigmoid_normalization,Resample_20,0.55,0.545987345987346,0.7386737303617099,16.219644025102717
DodgerLoopDay,sigmoid_normalization,Resample_21,0.6,0.6023976023976024,0.7671286425017769,14.41746135564686
DodgerLoopDay,sigmoid_normalization,Resample_22,0.6125,0.6024449234975552,0.7787378332722265,13.966915688282896
DodgerLoopDay,sigmoid_normalization,Resample_23,0.5875,0.5716248037676609,0.758996819308558,14.868007023010824
DodgerLoopDay,sigmoid_normalization,Resample_24,0.5875,0.5542156256441971,0.7651635383345831,14.868007023010824
DodgerLoopDay,sigmoid_normalization,Resample_25,0.5375,0.5362637362637362,0.7366742699731856,16.670189692466682
DodgerLoopDay,sigmoid_normalization,Resample_26,0.5,0.5686346333405157,0.7143945897677242,18.021826694558577
DodgerLoopDay,sigmoid_normalization,Resample_27,0.5,0.5193298764727337,0.7060972208489369,18.021826694558577
DodgerLoopDay,sigmoid_normalization,Resample_28,0.4625,0.4539072039072038,0.6851800556822905,19.373463696650468
DodgerLoopDay,sigmoid_normalization,Resample_29,0.4875,0.5093620665049237,0.7003598638877253,18.472372361922538
GesturePebbleZ1,sigmoid_normalization,Resample_0,0.8662790697674418,0.8637967340254605,0.9201663141822716,4.819790860172643
GesturePebbleZ1,sigmoid_normalization,Resample_1,0.8953488372093024,0.9065247252747253,0.9384763393267578,3.772010238395981
GesturePebbleZ1,sigmoid_normalization,Resample_2,0.9069767441860465,0.9013888888888889,0.9438805245264692,3.352897989685317
GesturePebbleZ1,sigmoid_normalization,Resample_3,0.9651162790697675,0.9649940262843488,0.9793519394512772,1.257336746131994
GesturePebbleZ1,sigmoid_normalization,Resample_4,0.9302325581395349,0.9304631623120714,0.9586402066080386,2.5146734922639875
GesturePebbleZ1,sigmoid_normalization,Resample_5,0.9244186046511628,0.9266879357201939,0.9545582650979559,2.72422961661932
GesturePebbleZ1,sigmoid_normalization,Resample_6,0.9244186046511628,0.9281437536906577,0.9545413500659281,2.72422961661932
GesturePebbleZ1,sigmoid_normalization,Resample_7,0.9302325581395349,0.9308292282430214,0.9580662393162392,2.5146734922639875
GesturePebbleZ1,sigmoid_normalization,Resample_8,0.8953488372093024,0.8979511171286347,0.9373908206606828,3.772010238395981
GesturePebbleZ1,sigmoid_normalization,Resample_9,0.9069767441860465,0.9115147783251233,0.9444226143515426,3.352897989685317
GesturePebbleZ1,sigmoid_normalization,Resample_10,0.9302325581395349,0.9254081933392279,0.9580871569102324,2.514673492263987
GesturePebbleZ1,sigmoid_normalization,Resample_11,0.9186046511627907,0.9233395490579399,0.9528998928998931,2.933785740974652
GesturePebbleZ1,sigmoid_normalization,Resample_12,0.9302325581395349,0.9354328350217028,0.9586567400122061,2.514673492263988
GesturePebbleZ1,sigmoid_normalization,Resample_13,0.9418604651162791,0.9430460296237085,0.9655974807286516,2.095561243553323
GesturePebbleZ1,sigmoid_normalization,Resample_14,0.9302325581395349,0.9354969045291627,0.9571135420102634,2.514673492263987
GesturePebbleZ1,sigmoid_normalization,Resample_15,0.8837209302325582,0.8903800364866706,0.9310194875966687,4.191122487106646
GesturePebbleZ1,sigmoid_normalization,Resample_16,0.8837209302325582,0.8809296162104134,0.9312824412338414,4.191122487106646
GesturePebbleZ1,sigmoid_normalization,Resample_17,0.9011627906976745,0.905959595959596,0.9419150310778921,3.5624541140406483
GesturePebbleZ1,sigmoid_normalization,Resample_18,0.8953488372093024,0.898031011921677,0.9380855293829596,3.772010238395981
GesturePebbleZ1,sigmoid_normalization,Resample_19,0.9011627906976745,0.9065656565656566,0.9421468162847576,3.5624541140406487
GesturePebbleZ1,sigmoid_normalization,Resample_20,0.9069767441860465,0.912748171368861,0.9447681781585892,3.352897989685317
GesturePebbleZ1,sigmoid_normalization,Resample_21,0.9244186046511628,0.9256078021595262,0.9548691093859413,2.72422961661932
GesturePebbleZ1,sigmoid_normalization,Resample_22,0.8953488372093024,0.9062899106002554,0.9380432211314567,3.772010238395981
GesturePebbleZ1,sigmoid_normalization,Resample_23,0.9127906976744186,0.9153108465608466,0.9482040229885058,3.1433418653299845
GesturePebbleZ1,sigmoid_normalization,Resample_24,0.8953488372093024,0.8890229523562856,0.9370255432903746,3.772010238395981
GesturePebbleZ1,sigmoid_normalization,Resample_25,0.9069767441860465,0.9052429605303168,0.9436052730933804,3.352897989685317
GesturePebbleZ1,sigmoid_normalization,Resample_26,0.9418604651162791,0.9388888888888888,0.9656941272258173,2.095561243553323
GesturePebbleZ1,sigmoid_normalization,Resample_27,0.877906976744186,0.8679719123122421,0.9262922491196947,4.400678611461978
GesturePebbleZ1,sigmoid_normalization,Resample_28,0.9418604651162791,0.9427229991746122,0.9660372340425533,2.095561243553323
GesturePebbleZ1,sigmoid_normalization,Resample_29,0.9418604651162791,0.944975939093586,0.9658514148585141,2.095561243553323
GunPointAgeSpan,sigmoid_normalization,Resample_0,0.9240506329113924,0.9241987179487179,0.924198717948718,2.7374926624645943
GunPointAgeSpan,sigmoid_normalization,Resample_1,0.9525316455696202,0.9526948507313164,0.9526948507313164,1.7109329140403713
GunPointAgeSpan,sigmoid_normalization,Resample_2,0.939873417721519,0.9398109201618395,0.9398109201618395,2.1671816911178032
GunPointAgeSpan,sigmoid_normalization,Resample_3,0.9335443037974683,0.9349588601244231,0.9349588601244232,2.3953060796565198
GunPointAgeSpan,sigmoid_normalization,Resample_4,0.939873417721519,0.9402724904828692,0.9402724904828692,2.1671816911178032
GunPointAgeSpan,sigmoid_normalization,Resample_5,0.9082278481012658,0.90909637347225,0.9090963734722499,3.307803633811384
GunPointAgeSpan,sigmoid_normalization,Resample_6,0.9556962025316456,0.956275368725636,0.9562753687256361,1.5968707197710132
GunPointAgeSpan,sigmoid_normalization,Resample_7,0.9145569620253164,0.9149725329804723,0.9149725329804724,3.079679245272668
GunPointAgeSpan,sigmoid_normalization,Resample_8,0.9113924050632911,0.9111752445085779,0.9111752445085778,3.1937414395420265
GunPointAgeSpan,sigmoid_normalization,Resample_9,0.9050632911392406,0.9050480769230769,0.9050480769230769,3.4218658280807426
GunPointAgeSpan,sigmoid_normalization,Resample_10,0.9525316455696202,0.9548192771084337,0.9548192771084337,1.7109329140403713
GunPointAgeSpan,sigmoid_normalization,Resample_11,0.9493670886075949,0.9495346598202824,0.9495346598202824,1.8249951083097293
GunPointAgeSpan,sigmoid_normalization,Resample_12,0.930379746835443,0.9299618703592214,0.9299618703592214,2.509368273925878
GunPointAgeSpan,sigmoid_normalization,Resample_13,0.9240506329113924,0.9233730301936726,0.9233730301936725,2.737492662464594
GunPointAgeSpan,sigmoid_normalization,Resample_14,0.9335443037974683,0.9340500641848524,0.9340500641848523,2.3953060796565198
GunPointAgeSpan,sigmoid_normalization,Resample_15,0.9208860759493671,0.9213942307692308,0.9213942307692308,2.851554856733952
GunPointAgeSpan,sigmoid_normalization,Resample_16,0.9651898734177216,0.9652374273692648,0.9652374273692648,1.2546841369629391
GunPointAgeSpan,sigmoid_normalization,Resample_17,0.9113924050632911,0.9120610074252458,0.9120610074252458,3.1937414395420265
GunPointAgeSpan,sigmoid_normalization,Resample_18,0.9240506329113924,0.9277273643879814,0.9277273643879814,2.737492662464594
GunPointAgeSpan,sigmoid_normalization,Resample_19,0.9050632911392406,0.9061109997996394,0.9061109997996394,3.4218658280807426
