Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,tanh_estimator,Resample_0,0.125,0.14285714285714285,0.21128356323061345,2.1393782479551633
DodgerLoopDay,tanh_estimator,Resample_1,0.175,0.14285714285714285,0.2879156151507195,1.975206302729637
DodgerLoopDay,tanh_estimator,Resample_2,0.1375,0.14285714285714285,0.7851771794027229,1.9620410881172419
DodgerLoopDay,tanh_estimator,Resample_3,0.1125,0.14285714285714285,0.6927857704988685,1.9569661205232776
DodgerLoopDay,tanh_estimator,Resample_4,0.1625,0.14285714285714285,0.7613732470100804,1.9789540819749392
DodgerLoopDay,tanh_estimator,Resample_5,0.1625,0.14285714285714285,0.7927560440283796,1.9950421015337287
DodgerLoopDay,tanh_estimator,Resample_6,0.05,0.14285714285714285,0.7890281156720803,2.064736094260169
DodgerLoopDay,tanh_estimator,Resample_7,0.1125,0.14285714285714285,0.6331208191897548,1.9648267098896117
DodgerLoopDay,tanh_estimator,Resample_8,0.0875,0.14285714285714285,0.7064596162341499,1.966012196383352
DodgerLoopDay,tanh_estimator,Resample_9,0.0625,0.14285714285714285,0.677333446404342,2.040114159846836
DodgerLoopDay,tanh_estimator,Resample_10,0.125,0.14285714285714285,0.5738599325858005,1.9722818249679974
DodgerLoopDay,tanh_estimator,Resample_11,0.125,0.14285714285714285,0.4851639567838227,1.9770435958642263
DodgerLoopDay,tanh_estimator,Resample_12,0.1,0.14285714285714285,0.5911408644078773,1.9804745564023576
DodgerLoopDay,tanh_estimator,Resample_13,0.075,0.14285714285714285,0.7415429764981851,2.007134548154766
DodgerLoopDay,tanh_estimator,Resample_14,0.1375,0.14285714285714285,0.698825815046019,1.9755245616527062
DodgerLoopDay,tanh_estimator,Resample_15,0.125,0.14285714285714285,0.23284497088906947,2.0148709603465007
DodgerLoopDay,tanh_estimator,Resample_16,0.1375,0.14285714285714285,0.7327247626510156,2.02765411861726
DodgerLoopDay,tanh_estimator,Resample_17,0.1125,0.14285714285714285,0.6635908105978529,1.9517488498374473
DodgerLoopDay,tanh_estimator,Resample_18,0.15,0.14285714285714285,0.7493275014441345,1.9480938296426213
DodgerLoopDay,tanh_estimator,Resample_19,0.0875,0.14285714285714285,0.6282543339454583,1.9597064420696022
DodgerLoopDay,tanh_estimator,Resample_20,0.1375,0.14285714285714285,0.5161824213786748,1.9556480596527634
DodgerLoopDay,tanh_estimator,Resample_21,0.1375,0.14285714285714285,0.5968441951732023,1.9660085192876289
DodgerLoopDay,tanh_estimator,Resample_22,0.1625,0.14285714285714285,0.6424944427550451,2.0445850400009236
DodgerLoopDay,tanh_estimator,Resample_23,0.1625,0.14285714285714285,0.5951121584766623,1.9569582401063692
DodgerLoopDay,tanh_estimator,Resample_24,0.175,0.14285714285714285,0.2203817902418368,1.9342687007710104
DodgerLoopDay,tanh_estimator,Resample_25,0.1625,0.14285714285714285,0.2683813220716885,1.9466032896884091
DodgerLoopDay,tanh_estimator,Resample_26,0.1125,0.14285714285714285,0.7008481864352161,1.9891309692696801
DodgerLoopDay,tanh_estimator,Resample_27,0.1125,0.14285714285714285,0.5996453825206761,1.9828937330936747
DodgerLoopDay,tanh_estimator,Resample_28,0.0875,0.14285714285714285,0.758551883607457,2.074547492478598
DodgerLoopDay,tanh_estimator,Resample_29,0.0875,0.14285714285714285,0.7601925372877968,1.970991720937978
GesturePebbleZ1,tanh_estimator,Resample_0,0.13372093023255813,0.13904761904761906,0.5644050438058413,1.7752697879674526
GesturePebbleZ1,tanh_estimator,Resample_1,0.43023255813953487,0.4141369047619048,0.7752092045925686,1.4483046870877372
GesturePebbleZ1,tanh_estimator,Resample_2,0.5058139534883721,0.49830246913580245,0.8752789274501619,1.2546912468480789
GesturePebbleZ1,tanh_estimator,Resample_3,0.5523255813953488,0.5269078554360812,0.8363783946435785,1.3544143896905787
GesturePebbleZ1,tanh_estimator,Resample_4,0.627906976744186,0.618938542196206,0.9051209179711136,1.2716483525331725
GesturePebbleZ1,tanh_estimator,Resample_5,0.563953488372093,0.5444011865035224,0.8952573890093065,1.3704879855006056
GesturePebbleZ1,tanh_estimator,Resample_6,0.47674418604651164,0.5010845831564504,0.9048136794050307,1.3824585622358356
GesturePebbleZ1,tanh_estimator,Resample_7,0.313953488372093,0.315915587179955,0.813536626719145,1.5380183689283018
GesturePebbleZ1,tanh_estimator,Resample_8,0.42441860465116277,0.41302957453735006,0.7820974391803349,1.445368800995375
GesturePebbleZ1,tanh_estimator,Resample_9,0.42441860465116277,0.3901016009852217,0.7968353926827044,1.4865047097774413
GesturePebbleZ1,tanh_estimator,Resample_10,0.1511627906976744,0.16666666666666666,0.6186174523019174,1.732514327565911
GesturePebbleZ1,tanh_estimator,Resample_11,0.29651162790697677,0.32275581485351595,0.846916689608012,1.5122735761873876
GesturePebbleZ1,tanh_estimator,Resample_12,0.313953488372093,0.30871330013486875,0.7516103767606703,1.5029106087432151
GesturePebbleZ1,tanh_estimator,Resample_13,0.4476744186046512,0.43282890481166336,0.8590323326417604,1.2566092698838545
GesturePebbleZ1,tanh_estimator,Resample_14,0.46511627906976744,0.4923737373737374,0.885573725304177,1.3288465484357517
GesturePebbleZ1,tanh_estimator,Resample_15,0.38953488372093026,0.4285912940335728,0.8642763986731522,1.3011917557577601
GesturePebbleZ1,tanh_estimator,Resample_16,0.36627906976744184,0.39852637525323353,0.8500708723096001,1.3825744011426724
GesturePebbleZ1,tanh_estimator,Resample_17,0.6395348837209303,0.6512634279300946,0.8899131958642129,1.1641769166611229
GesturePebbleZ1,tanh_estimator,Resample_18,0.5290697674418605,0.5431303761440164,0.8329233026596543,1.5025962169606604
GesturePebbleZ1,tanh_estimator,Resample_19,0.4883720930232558,0.4720418470418471,0.8585040801939853,1.4801507392786237
GesturePebbleZ1,tanh_estimator,Resample_20,0.5348837209302325,0.5104162480240066,0.8418158599262721,1.302194564169753
GesturePebbleZ1,tanh_estimator,Resample_21,0.19186046511627908,0.2088888888888889,0.6710229186724587,1.6665312236805452
GesturePebbleZ1,tanh_estimator,Resample_22,0.436046511627907,0.41160372194854955,0.859632955537096,1.3267949015947251
GesturePebbleZ1,tanh_estimator,Resample_23,0.1744186046511628,0.16666666666666666,0.14607588001052738,1.804046310825765
