Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,z_normalization,Resample_0,0.5,0.49768564768564766,0.707769110239813,18.021826694558577
DodgerLoopDay,z_normalization,Resample_1,0.3125,0.3055658627087198,0.6034266273033528,24.78001170501804
DodgerLoopDay,z_normalization,Resample_2,0.375,0.33534322820037105,0.6387241985068073,22.52728336819822
DodgerLoopDay,z_normalization,Resample_3,0.3375,0.34401154401154405,0.6145824184029289,23.87892037029011
DodgerLoopDay,z_normalization,Resample_4,0.35,0.33682983682983686,0.6221688299273519,23.428374702926146
DodgerLoopDay,z_normalization,Resample_5,0.3625,0.37380516309087736,0.6312477306170811,22.977829035562184
DodgerLoopDay,z_normalization,Resample_6,0.4,0.36750504397563216,0.6567997623813576,21.62619203347029
DodgerLoopDay,z_normalization,Resample_7,0.4375,0.4413047270190127,0.6779973961415552,20.274555031378394
DodgerLoopDay,z_normalization,Resample_8,0.4375,0.4664169164169164,0.6722584581589796,20.274555031378394
DodgerLoopDay,z_normalization,Resample_9,0.375,0.44521193092621664,0.6287665568262584,22.52728336819822
DodgerLoopDay,z_normalization,Resample_10,0.4625,0.47767946339374906,0.687241259353524,19.373463696650468
DodgerLoopDay,z_normalization,Resample_11,0.4625,0.44492412349555205,0.689224960823808,19.373463696650468
DodgerLoopDay,z_normalization,Resample_12,0.3375,0.36318403818403816,0.6113978295243944,23.87892037029011
DodgerLoopDay,z_normalization,Resample_13,0.475,0.42458374958374956,0.6961222140017064,18.922918029286503
DodgerLoopDay,z_normalization,Resample_14,0.3875,0.3662809412809413,0.6488281356497303,22.07673770083425
DodgerLoopDay,z_normalization,Resample_15,0.3875,0.38005328005328004,0.6411198937719149,22.07673770083425
DodgerLoopDay,z_normalization,Resample_16,0.4,0.41687201687201686,0.6493087079475451,21.62619203347029
DodgerLoopDay,z_normalization,Resample_17,0.4125,0.4159142444856731,0.6616465184132055,21.175646366106328
DodgerLoopDay,z_normalization,Resample_18,0.3875,0.3857753357753358,0.6444657408895869,22.07673770083425
DodgerLoopDay,z_normalization,Resample_19,0.3625,0.38064316635745205,0.6369566806613959,22.977829035562184
DodgerLoopDay,z_normalization,Resample_20,0.4125,0.4033966033966034,0.6586499817318232,21.175646366106328
DodgerLoopDay,z_normalization,Resample_21,0.425,0.4412587412587413,0.6647198788665369,20.72510069874236
DodgerLoopDay,z_normalization,Resample_22,0.45,0.4440410466726256,0.6841605267546214,19.824009364014433
DodgerLoopDay,z_normalization,Resample_23,0.4875,0.4851255886970173,0.6995561069612931,18.472372361922538
DodgerLoopDay,z_normalization,Resample_24,0.4875,0.4796021438878582,0.7069830716789247,18.472372361922538
DodgerLoopDay,z_normalization,Resample_25,0.4375,0.44023199023199017,0.6774742770121097,20.274555031378394
DodgerLoopDay,z_normalization,Resample_26,0.4125,0.46206277382747973,0.6656174654072489,21.175646366106328
DodgerLoopDay,z_normalization,Resample_27,0.325,0.34919049204763486,0.6053391811747918,24.329466037654075
DodgerLoopDay,z_normalization,Resample_28,0.525,0.47615777080062793,0.7245597450313113,17.120735359830647
DodgerLoopDay,z_normalization,Resample_29,0.375,0.3805385091099377,0.6352794947752752,22.52728336819822
GesturePebbleZ1,z_normalization,Resample_0,0.7906976744186046,0.7874226641692808,0.8750771086336018,7.544020476791962
GesturePebbleZ1,z_normalization,Resample_1,0.7558139534883721,0.7591230026012635,0.85541113809896,8.801357222923956
GesturePebbleZ1,z_normalization,Resample_2,0.7732558139534884,0.7766178813221823,0.8638028178323509,8.172688849857959
GesturePebbleZ1,z_normalization,Resample_3,0.8313953488372093,0.8333288886044262,0.898863496426726,6.077127606304636
GesturePebbleZ1,z_normalization,Resample_4,0.8081395348837209,0.8121126446428661,0.8853442226182576,6.915352103725965
GesturePebbleZ1,z_normalization,Resample_5,0.813953488372093,0.8142446430099377,0.8886103790330693,6.705795979370634
GesturePebbleZ1,z_normalization,Resample_6,0.75,0.7548301715331104,0.8510314151881558,9.010913347279288
GesturePebbleZ1,z_normalization,Resample_7,0.7848837209302325,0.7846469622331691,0.8708438406744623,7.7535766011472935
GesturePebbleZ1,z_normalization,Resample_8,0.7732558139534884,0.7634482062665885,0.8639412997955662,8.172688849857959
GesturePebbleZ1,z_normalization,Resample_9,0.8023255813953488,0.8126693349753696,0.8836718932665918,7.124908228081297
GesturePebbleZ1,z_normalization,Resample_10,0.8430232558139535,0.8380039117970153,0.905743571837058,5.658015357593971
GesturePebbleZ1,z_normalization,Resample_11,0.75,0.7588206022114069,0.8522551114885523,9.010913347279288
GesturePebbleZ1,z_normalization,Resample_12,0.8255813953488372,0.8212936608335091,0.895449705423309,6.286683730659969
GesturePebbleZ1,z_normalization,Resample_13,0.8081395348837209,0.809721863299913,0.8860338204514916,6.915352103725965
GesturePebbleZ1,z_normalization,Resample_14,0.7965116279069767,0.8089459107201042,0.8777933392359812,7.334464352436631
GesturePebbleZ1,z_normalization,Resample_15,0.7674418604651163,0.7728907544078084,0.8622007137778951,8.382244974213291
GesturePebbleZ1,z_normalization,Resample_16,0.7674418604651163,0.7614642312953439,0.8612286266242453,8.382244974213291
GesturePebbleZ1,z_normalization,Resample_17,0.8197674418604651,0.8215584415584415,0.8927304233918091,6.4962398550153
GesturePebbleZ1,z_normalization,Resample_18,0.7558139534883721,0.7570619330663022,0.8550191017865948,8.801357222923956
GesturePebbleZ1,z_normalization,Resample_19,0.813953488372093,0.8144436980643878,0.8897651202429896,6.705795979370634
GesturePebbleZ1,z_normalization,Resample_20,0.7848837209302325,0.7822125790875791,0.8708904695335415,7.7535766011472935
GesturePebbleZ1,z_normalization,Resample_21,0.8255813953488372,0.8212490957318543,0.8961404470355486,6.286683730659967
GesturePebbleZ1,z_normalization,Resample_22,0.7616279069767442,0.7664773763911694,0.8582606649543768,8.591801098568624
GesturePebbleZ1,z_normalization,Resample_23,0.7848837209302325,0.786711860670194,0.8716366204892189,7.753576601147295
GesturePebbleZ1,z_normalization,Resample_24,0.7906976744186046,0.7946499179832514,0.8754658825333332,7.544020476791962
GesturePebbleZ1,z_normalization,Resample_25,0.7906976744186046,0.799070121024144,0.8742267212948778,7.544020476791962
GesturePebbleZ1,z_normalization,Resample_26,0.7558139534883721,0.7540674603174602,0.8539122875390481,8.801357222923956
GesturePebbleZ1,z_normalization,Resample_27,0.7558139534883721,0.7502933598135998,0.8543954120394754,8.801357222923956
GesturePebbleZ1,z_normalization,Resample_28,0.7790697674418605,0.7807431597754179,0.8676725282554488,7.963132725502627
GesturePebbleZ1,z_normalization,Resample_29,0.7616279069767442,0.7708349820114527,0.8581174762911626,8.591801098568624
GunPointAgeSpan,z_normalization,Resample_0,0.9177215189873418,0.9180288461538462,0.9180288461538462,2.96561705100331
GunPointAgeSpan,z_normalization,Resample_1,0.8892405063291139,0.8892606692045683,0.8892606692045683,3.9921767994275332
GunPointAgeSpan,z_normalization,Resample_2,0.9208860759493671,0.9207026399070625,0.9207026399070625,2.851554856733952
GunPointAgeSpan,z_normalization,Resample_3,0.9145569620253164,0.9148103552077063,0.9148103552077061,3.079679245272668
GunPointAgeSpan,z_normalization,Resample_4,0.9272151898734177,0.9271288318974154,0.9271288318974155,2.623430468195236
GunPointAgeSpan,z_normalization,Resample_5,0.9588607594936709,0.9587858144660388,0.9587858144660389,1.4828085255016552
GunPointAgeSpan,z_normalization,Resample_6,0.9208860759493671,0.9218944661013544,0.9218944661013544,2.8515548567339515
GunPointAgeSpan,z_normalization,Resample_7,0.8860759493670886,0.8865632142427523,0.8865632142427522,4.10623899369689
GunPointAgeSpan,z_normalization,Resample_8,0.939873417721519,0.9410373577040243,0.9410373577040243,2.1671816911178037
GunPointAgeSpan,z_normalization,Resample_9,0.9367088607594937,0.9369391025641025,0.9369391025641026,2.2812438853871613
GunPointAgeSpan,z_normalization,Resample_10,0.9208860759493671,0.9243775100401606,0.9243775100401606,2.851554856733952
GunPointAgeSpan,z_normalization,Resample_11,0.9335443037974683,0.9340500641848524,0.9340500641848525,2.3953060796565198
GunPointAgeSpan,z_normalization,Resample_12,0.9082278481012658,0.9076259281557295,0.9076259281557295,3.307803633811384
GunPointAgeSpan,z_normalization,Resample_13,0.9145569620253164,0.9151730221741048,0.9151730221741049,3.079679245272668
GunPointAgeSpan,z_normalization,Resample_14,0.8765822784810127,0.8786906290115533,0.8786906290115533,4.448425576504965
GunPointAgeSpan,z_normalization,Resample_15,0.9177215189873418,0.9180288461538462,0.9180288461538462,2.9656170510033104
GunPointAgeSpan,z_normalization,Resample_16,0.9367088607594937,0.9366860348627529,0.936686034862753,2.2812438853871613
GunPointAgeSpan,z_normalization,Resample_17,0.9272151898734177,0.9286172988159743,0.9286172988159743,2.623430468195236
GunPointAgeSpan,z_normalization,Resample_18,0.9272151898734177,0.9259326477112322,0.9259326477112322,2.623430468195236
GunPointAgeSpan,z_normalization,Resample_19,0.9272151898734177,0.926768182728912,0.926768182728912,2.623430468195236
GunPointAgeSpan,z_normalization,Resample_20,0.9082278481012658,0.9090307043949428,0.9090307043949427,3.307803633811384
GunPointAgeSpan,z_normalization,Resample_21,0.9145569620253164,0.91397008701231,0.9139700870123101,3.079679245272668
GunPointAgeSpan,z_normalization,Resample_22,0.939873417721519,0.9421285140562249,0.942128514056225,2.1671816911178037
GunPointAgeSpan,z_normalization,Resample_23,0.8829113924050633,0.883173076923077,0.883173076923077,4.220301187966249
GunPointAgeSpan,z_normalization,Resample_24,0.9335443037974683,0.9335443037974683,0.9335443037974684,2.3953060796565198
GunPointAgeSpan,z_normalization,Resample_25,0.9145569620253164,0.9155447494273199,0.9155447494273198,3.079679245272668
