Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,z_normalization,Resample_0,0.5875,0.5816849816849816,0.7598858557050334,14.868007023010824
DodgerLoopDay,z_normalization,Resample_1,0.4625,0.47915893630179346,0.690760982129614,19.373463696650468
DodgerLoopDay,z_normalization,Resample_2,0.55,0.5060296846011132,0.7412439613526571,16.219644025102717
DodgerLoopDay,z_normalization,Resample_3,0.475,0.4821361178504035,0.6971808609927048,18.922918029286503
DodgerLoopDay,z_normalization,Resample_4,0.475,0.45961538461538465,0.6940496750622911,18.922918029286503
DodgerLoopDay,z_normalization,Resample_5,0.525,0.5343624629338916,0.7261868929542883,17.120735359830647
DodgerLoopDay,z_normalization,Resample_6,0.575,0.5554494525082762,0.7537321803956393,15.31855269037479
DodgerLoopDay,z_normalization,Resample_7,0.475,0.45931449502878074,0.6981613428141145,18.922918029286503
DodgerLoopDay,z_normalization,Resample_8,0.575,0.5967865467865467,0.7504736091094144,15.31855269037479
DodgerLoopDay,z_normalization,Resample_9,0.45,0.4978021978021978,0.674591329068941,19.824009364014433
DodgerLoopDay,z_normalization,Resample_10,0.525,0.5314792350506636,0.7246766707587602,17.120735359830647
DodgerLoopDay,z_normalization,Resample_11,0.6,0.5966295609152752,0.7695183034573041,14.41746135564686
DodgerLoopDay,z_normalization,Resample_12,0.5,0.5185092685092686,0.7079497770384655,18.021826694558577
DodgerLoopDay,z_normalization,Resample_13,0.6125,0.5671786546786547,0.7767459864665652,13.966915688282896
DodgerLoopDay,z_normalization,Resample_14,0.5125,0.5007992007992008,0.7201030994477267,17.571281027194612
DodgerLoopDay,z_normalization,Resample_15,0.55,0.5468864468864469,0.738310457213385,16.219644025102717
DodgerLoopDay,z_normalization,Resample_16,0.55,0.5579254079254079,0.7360409721915205,16.219644025102717
DodgerLoopDay,z_normalization,Resample_17,0.55,0.545124716553288,0.7408782583001813,16.219644025102717
DodgerLoopDay,z_normalization,Resample_18,0.55,0.5384615384615384,0.7405932963893989,16.219644025102717
DodgerLoopDay,z_normalization,Resample_19,0.4875,0.5056818181818181,0.7113379480116326,18.472372361922538
DodgerLoopDay,z_normalization,Resample_20,0.5875,0.5838661338661338,0.7612531969309462,14.868007023010824
DodgerLoopDay,z_normalization,Resample_21,0.575,0.5864135864135863,0.7518834399431414,15.31855269037479
DodgerLoopDay,z_normalization,Resample_22,0.625,0.6138585099111415,0.7841866502638728,13.516370020918933
DodgerLoopDay,z_normalization,Resample_23,0.55,0.5499956392813535,0.7358185896714258,16.219644025102717
