Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,z_normalization,Resample_0,0.5875,0.5868131868131867,0.7599922837402321,14.868007023010824
DodgerLoopDay,z_normalization,Resample_1,0.5,0.5009276437847866,0.713902247124904,18.021826694558577
DodgerLoopDay,z_normalization,Resample_2,0.5875,0.5422077922077922,0.7620498462889767,14.868007023010824
DodgerLoopDay,z_normalization,Resample_3,0.5125,0.5197984555127412,0.7177502745288702,17.571281027194612
DodgerLoopDay,z_normalization,Resample_4,0.425,0.40338827838827834,0.6669341379207967,20.72510069874236
DodgerLoopDay,z_normalization,Resample_5,0.5,0.5002354788069073,0.7117388410062364,18.021826694558577
DodgerLoopDay,z_normalization,Resample_6,0.5375,0.5245734657499364,0.7317799212311039,16.670189692466682
DodgerLoopDay,z_normalization,Resample_7,0.475,0.4623669980812838,0.6987126004490507,18.922918029286503
DodgerLoopDay,z_normalization,Resample_8,0.55,0.5744422244422244,0.7381786576840282,16.219644025102717
DodgerLoopDay,z_normalization,Resample_9,0.375,0.44317111459968606,0.6304548685145701,22.52728336819822
DodgerLoopDay,z_normalization,Resample_10,0.5125,0.5269302126444984,0.7178539239619707,17.571281027194612
DodgerLoopDay,z_normalization,Resample_11,0.5875,0.5860235003092146,0.7622623753058535,14.868007023010824
DodgerLoopDay,z_normalization,Resample_12,0.475,0.49799644799644804,0.693312524599531,18.922918029286503
DodgerLoopDay,z_normalization,Resample_13,0.5875,0.549579587079587,0.7600050616538072,14.868007023010824
DodgerLoopDay,z_normalization,Resample_14,0.525,0.5063408813408814,0.727830034082262,17.120735359830647
DodgerLoopDay,z_normalization,Resample_15,0.5375,0.532051282051282,0.7317069202762221,16.670189692466682
DodgerLoopDay,z_normalization,Resample_16,0.5125,0.5141247641247642,0.7140611590709629,17.571281027194612
DodgerLoopDay,z_normalization,Resample_17,0.5,0.5022057307771594,0.7142221832056492,18.021826694558577
DodgerLoopDay,z_normalization,Resample_18,0.5,0.49188034188034185,0.7122319518515836,18.021826694558577
DodgerLoopDay,z_normalization,Resample_19,0.45,0.4736008039579468,0.6901046230833761,19.824009364014433
DodgerLoopDay,z_normalization,Resample_20,0.55,0.544905094905095,0.7390938984289368,16.219644025102717
DodgerLoopDay,z_normalization,Resample_21,0.5,0.5164835164835164,0.7090541083402861,18.021826694558577
